#CODE;ENGLISH;;;;;;;;;x 
e_germany;Germania;;;;;;;;;x 
ERA_CHAR_INFO_478011;Hulegu was the grandson of Genghis Khan. When his brother Möngke became Great Khan, Hulegu was ordered to conquer the remaining Muslim territories in western Asia. For his campaign he was assigned the largest Mongol army assembled and with it he ravaged the important Muslim cities of Baghdad and Damascus. This effectively pushed the centre of Muslim power west to the Mamluks in Cairo. He was also responsible for destroying the Hashashins. The lands he conquered became the foundation for the Ilkhanate which became a major power in the Middle East.;;;;;;;;;x 
#ERA_CHAR_INFO_74656;Singhana II of Yadava;;;;;;;;;x 
#ERA_CHAR_INFO_454500;Edward III of England;;;;;;;;;x 
#ERA_CHAR_INFO_455500;Philippe VI of France;;;;;;;;;x 
ERA_CHAR_INFO_471500;Casimir the Great inherited the throne of Poland in 1333 and continued his fathers work in unifying the Polish kingdom. During his lifetime he went on military campaigns to expand his realm to the east and solidify his borders in the west. To get support from the Hungarian nobles he also promised them the Polish throne if he would end up heirless. Unfortunately he didn't manage to produce a legal male heir, in spite of his four different marriages, and after his death in 1370 the Hungarians pressed their claim to the Polish crown and ended the Piast dynasty.;;;;;;;;;x 
#ERA_CHAR_INFO_476500;Orhan Ottoman;;;;;;;;;x 
#ERA_CHAR_INFO_480000;Özbeg Khan of Golden Horde;;;;;;;;;x 
#ERA_CHAR_INFO_170258;Muhammad II Tughluq;;;;;;;;;x 
EVTTITLE_CM_1070;Ogier the Dane;;;;;;;;;x 
EVTDESC_CM_1070;My Lord, there is a visitor at the gate, a Norseman calling himself Ogier. He looks strong and rugged but also speaks with grace and has a noble bearing. He says he comes from the land of the Danes and has travelled far to offer his services to you, naming you rightful lord of all Christians. He also claims to have seen in a dream how you will conquer all and your name will rise in glory to the Heavens.;;;;;;;;;x 
EVTOPTA_CM_1070;Welcome this bringer of good prophecies!;;;;;;;;;x 
EVTOPTB_CM_1070;We don't need his kind here.;;;;;;;;;x 
tribal_count;Chief;;;;;;;;;x 
tribal_county_of;Chiefdom of;;;;;;;;;x 
EVTDESC_CM_2000;My [Root.GetLordLady], there is a noble warrior at the gate. He says he is a veteran of many battles and desires to become a champion of your house. He praises your wisdom and honor and pledges to always defend you and your household if you will accept him in your retinue.;;;;;;;;;x 
EVTOPTA_CM_2000;Welcome!;;;;;;;;;x 
EVTOPTB_CM_2000;No... there's no room.;;;;;;;;;x 
EVTDESC_CM_2012;You are riding through your domains in the company of your household guard, when you come upon a bridge crossing a rapid river. On the bridge stands a dark-clad warrior in heavy armor with his sword drawn. When challenged, he refuses to get out of the way, speaking only the words: 'None shall pass'.;;;;;;;;;x 
EVTOPTA_CM_2012;[From.GetFirstName], take care of this!;;;;;;;;;x 
EVTOPTB_CM_2012;What a strange man. I will kill him myself.;;;;;;;;;x 
EVTOPTC_CM_2012;Hmm, let's take another road.;;;;;;;;;x 
obj_become_king_title;Become [Root.GetKingQueen] of [This.Capital.Kingdom.GetName];;;;;;;;;x 
obj_become_king_desc;[This.GetTitledFirstName] wants to become [Root.GetKingQueen] of [This.Capital.Kingdom.GetName]. If pagan, it allows [This.GetObjectPronoun] the unlimited use of the Subjugation Casus Belli within the kingdom.;;;;;;;;;x 
obj_become_king_tip;Is [Root.GetKingQueen] of [This.Capital.Kingdom.GetName];;;;;;;;;x 
RULER_HAS_BECOME_KING_AMBITION;With the ambition to become [Root.GetKingQueen] of §Y[This.Capital.Kingdom.GetName]§!, §Y[GetTitledFirstName]§! is not allowed to move the capital outside the de jure kingdom.;;;;;;;;;x 
ct_barracks_1_desc;This is where the adult men of the city muster to join the militia in times of war.;;;;;;;;;x 
ca_training_grounds_1_desc;Training grounds is where the castle levies can practise and ready themselves for the inevitability of war.;;;;;;;;;x 
GOD_ZUN;Zun;;;;;;;;;x 
GOD_THE_SUN;the Sun;;;;;;;;;x 
GOD_THE_GIVER_OF_JUSTICE;the Giver of Justice;;;;;;;;;x 
THE_DARKNESS;the Darkness;;;;;;;;;x 
d_zun_warriors;Knights of the Sun;;;;;;;;;x 
d_zun_warriors_adj;Zun;;;;;;;;;x 
job_spiritual_zun_pagan;Diviner;;;;;;;;;x 
job_spiritual_zun_pagan_reformed;Diviner;;;;;;;;;x 
zun_pagan;Zunist;;;;;;;;;x 
zun_pagan_reformed;Zunist;;;;;;;;;x 
zun_pagan_reformed_adj;Zunist;;;;;;;;;x 
zun_pagan_reformed_DESC;Zun, the Sun-God and Giver of Justice, embodies wisdom, power, fire and the light that drives away the night. The reformed Zun faith has a Holy Book detailing things such as the creation myths and outlining church doctrine, as well as a standardized liturgy and a formal church hierarchy led by the High Priest. Defining features in-game:\n§Y*§! There is always a High Priest, even if unlanded\n§Y*§! Can raid neighbors for loot\n§Y*§! The High Priest can call Great Holy Wars;;;;;;;;;x 
RETTYPE_CUL_SOMALI;Somali Skirmishers;;;;;;;;;x 
RETTYPE_CUL_SUEBI;Suebian Longspearmen;;;;;;;;;x 
ca_culture_somali_1;Somali Light Infantry Barracks;;;;;;;;;x 
ca_culture_somali_2;Somali Light Infantry Barracks;;;;;;;;;x 
ca_culture_somali_3;Somali Light Infantry Barracks;;;;;;;;;x 
ca_culture_somali_4;Somali Light Infantry Barracks;;;;;;;;;x 
ca_culture_somali_1_desc;Highly trained light infantry is used to patrol and defend the borders of a Somali ruler's domain. This is where they train and hone their skills.;;;;;;;;;x 
ca_culture_germanic_1;Germanic Infantry Barracks;;;;;;;;;x 
ca_culture_germanic_2;Germanic Infantry Barracks;;;;;;;;;x 
ca_culture_germanic_3;Germanic Infantry Barracks;;;;;;;;;x 
ca_culture_germanic_4;Germanic Infantry Barracks;;;;;;;;;x 
ca_culture_suebi_1;Free Warrior Camp;;;;;;;;;x 
ca_culture_suebi_2;Free Warrior Camp;;;;;;;;;x 
ca_culture_suebi_3;Free Warrior Camp;;;;;;;;;x 
ca_culture_suebi_4;Free Warrior Camp;;;;;;;;;x 
ca_culture_suebi_1_desc;The Suebi warrior tradition is held in high regard by every free man. Groups of highly mobile infantry armed with longspear, shield and axe train here in order to better defend their community in times of danger.;;;;;;;;;x 
RETTYPE_CUL_FRA;Frankish Heavy Infantry;;;;;;;;;x 
RETTYPE_CUL_LOM;Lombard Heavy Infantry;;;;;;;;;x 
duchy_of_norse;Jarldom of;;;;;;;;;x 
duke_finnish_pagan;High Chief;;;;;;;;;x 
duke_female_finnish_pagan;High Chieftess;;;;;;;;;x 
duke_finnish_pagan_reformed;High Chief;;;;;;;;;x 
duke_female_finnish_pagan_reformed;High Chieftess;;;;;;;;;x 
duchy_of_finnish_pagan;High Chiefdom of;;;;;;;;;x 
duchy_of_finnish_pagan_reformed;High Chiefdom of;;;;;;;;;x 
duke_baltic_pagan;High Chief;;;;;;;;;x 
duke_female_baltic_pagan;High Chieftess;;;;;;;;;x 
duke_baltic_pagan_reformed;High Chief;;;;;;;;;x 
duke_female_baltic_pagan_reformed;High Chieftess;;;;;;;;;x 
duchy_of_baltic_pagan;High Chiefdom of;;;;;;;;;x 
duchy_of_baltic_pagan_reformed;High Chiefdom of;;;;;;;;;x 
duke_tengri_pagan;High Chief;;;;;;;;;x 
duke_female_tengri_pagan;High Chieftess;;;;;;;;;x 
duke_tengri_pagan_reformed;High Chief;;;;;;;;;x 
duke_female_tengri_pagan_reformed;High Chieftess;;;;;;;;;x 
duke_slavic_pagan;High Chief;;;;;;;;;x 
duke_female_slavic_pagan;High Chieftess;;;;;;;;;x 
duke_slavic_pagan_reformed;High Chief;;;;;;;;;x 
duke_female_slavic_pagan_reformed;High Chieftess;;;;;;;;;x 
duchy_of_slavic_pagan;High Chiefdom of;;;;;;;;;x 
duchy_of_slavic_pagan_reformed;High Chiefdom of;;;;;;;;;x 
tribal_duke_old_saxon;High Chief;;;;;;;;;x 
tribal_duke_female_old_saxon;High Chieftess;;;;;;;;;x 
tribal_duchy_of_old_saxon;High Chiefdom of;;;;;;;;;x 
tribal_king_old_saxon;Grand Chief;;;;;;;;;x 
tribal_king_female_old_saxon;Grand Chieftess;;;;;;;;;x 
tribal_kingdom_of_old_saxon;Grand Chiefdom of;;;;;;;;;x 
tribal_duke_norse;Jarl;;;;;;;;;x 
k_saxony;Saxony;;;;;;;;;x 
RETTYPE_CUL_PICTISH;Pictish Raiders;;;;;;;;;x 
ca_culture_pictish_1;Hall of War;;;;;;;;;x 
ca_culture_pictish_2;Hall of War;;;;;;;;;x 
ca_culture_pictish_3;Hall of War;;;;;;;;;x 
ca_culture_pictish_4;Hall of War;;;;;;;;;x 
ca_culture_pictish_1_desc;The Hall of War is where the most experienced and fierce of the Pictish warriors gather to train their skills and exchange stories of battle. When the horns call them to war they are a fearsome force - woe to those that come in their path!;;;;;;;;;x 
TRIBAL_NAME_PROV;Tribe of $PROV$;;;;;;;;;x 
TRIBAL_NAME_PROV_CLAN;Clan of $PROV$;;;;;;;;;x 
TRIBAL_PROVINCE_MODIFIER;Empty Holding Slots in Province;;;;;;;;;x 
IS_TRIBAL;Government is Tribal;;;;;;;;;x 
ISNT_TRIBAL;Government is NOT Tribal;;;;;;;;;x 
COST_DAYS_PRESTIGE;Cost: §Y$AMOUNT$§b Prestige\nBuildtime: §Y$TIME$§b Days;;;;;;;;;x 
COST_MONTHS_PRESTIGE;This building has cost $AMOUNT$ Prestige and has a buildtime of $TIME$ Months.;;;;;;;;;x 
#NOT_ENOUGH_PRESTIGE;(§R*§!)Has §G$COST$§! Prestige;;;;;;;;;x 
ACQUISITION_UNKNOWN; ;;;;;;;;;x 
ACQUISITION_INHERITANCE;Inherited;;;;;;;;;x 
ACQUISITION_INVASION;Conquered in a War;;;;;;;;;x 
ACQUISITION_CREATED;Created;;;;;;;;;x 
ACQUISITION_ELECTION;Elected;;;;;;;;;x 
ACQUISITION_REVOKE;Revoked;;;;;;;;;x 
ACQUISITION_GRANT;Granted;;;;;;;;;x 
ACQUISITION_HOLY_WAR;Conquered in a Holy War;;;;;;;;;x 
tribal;Tribal;;;;;;;;;x 
#LIEGE_LEVY_TRIBAL;Independent Tribal Rulers do not get liege levies from their vassals;;;;;;;;;x 
TRIBAL_VASSAL;Tribal Vassal;;;;;;;;;x 
CHRONICLE_MARRIED_FATHER_IMPORTANT;[From.GetTitledName] married [New.GetTitledFirstName], [New.GetSonDaughter] of [New.Father.GetTitledName].;;;;;;;;;x 
CHRONICLE_MARRIED_MOTHER_IMPORTANT;[From.GetTitledName] married [New.GetTitledFirstName], [New.GetSonDaughter] of [New.Mother.GetTitledName].;;;;;;;;;x 
CHRONICLE_MARRIED_NO_PARENT;[From.GetTitledName] married [New.GetTitledFirstName].;;;;;;;;;x 
TRIBAL_VASSAL_CALL_TO_ARMS_BUTTON;Call §Y$VASSAL$§! to Arms ( $ANSWER_LIKELYNESS$ ) ( §Y$MEN$§! men );;;;;;;;;x 
TRIBAL_VASSAL_CALL_TO_ARMS_ANSWER_POS;§GWill likely Accept§!;;;;;;;;;x 
TRIBAL_VASSAL_CALL_TO_ARMS_ANSWER_NEU;§YMight Accept§!;;;;;;;;;x 
TRIBAL_VASSAL_CALL_TO_ARMS_ANSWER_NEG;§RWill likely Decline§!;;;;;;;;;x 
TRIBAL_VASSAL_CANT_CALL_TO_ARMS_BUTTON;Can't Call §Y$VASSAL$§! to Arms;;;;;;;;;x 
TRIBAL_VASSAL_CANT_CALL_NOT_AT_WAR;You are not at war;;;;;;;;;x 
STAT_VASSAL_LIMIT;Vassal Limit;;;;;;;;;x 
#STAT_VASSAL_LIMIT_DESC;Your vassal limit indicate how many direct vassals you can have at count tier or higher. Having too many direct vassals will negatively affect the amount of taxes and levies you get from your vassals, and you might lose the grip of your vassals upon death.;;;;;;;;;x 
VASSAL_LIMIT_FORMULA;Vassal Limit Formula;;;;;;;;;x 
VASSAL_LIMIT;Vassal Limit;;;;;;;;;x 
alert_over_vassal_limit_instant;§YOver Vassal Limit§!;;;;;;;;;x 
alert_over_vassal_limit_delayed;You have §R$NUM$§!/§Y$MAX$§! vassals, giving you less taxes and levies from your vassals. You risk losing vassals if your character dies.;;;;;;;;;x 
alert_over_vassal_limit_name;Over Vassal Limit;;;;;;;;;x 
EXPORT;Export Chronicle;;;;;;;;;x 
EXPORT_DEL;Export Chronicle to a .txt file;;;;;;;;;x 
CONFIRMEXPORTTITLE;Export Chronicle to a .txt file;;;;;;;;;x 
CONFIRMEXPORTTEXT;The chronicle will be exported with the name $NAME$. This might take a couple of minutes.;;;;;;;;;x 
CONFIRMEXPORTTEXT_WARNING;The chronicle will be exported with the name $NAME$.\n\n THIS NAME IS ALREADY IN USE!\nAre you sure you want to continue?;;;;;;;;;x 
CONFIRMCONVERTTITLE;Export CK2 Game to EU4;;;;;;;;;x 
CONFIRMCONVERTTEXT;The game will be exported with the name $NAME$. This might take a couple of minutes.;;;;;;;;;x 
CONFIRMCONVERTTEXT_WARNING;The game will be exported with the name $NAME$.\n\n THIS NAME IS ALREADY IN USE!\nAre you sure you want to continue?;;;;;;;;;x 
OPEN_CHRONICLE;Open Chronicle;;;;;;;;;x 
GIVE_WRONG_TYPE_TITLE_TOOLTIP;Hand out titles that are of wrong type for you;;;;;;;;;x 
GIVE_BARONIES_TITLE_TOOLTIP;Hand out baronis to local nobles;;;;;;;;;x 
GIVE_COUNTIES_TITLE_TOOLTIP;Hand out counties to nobles;;;;;;;;;x 
GIVE_DUCHIES_TITLE_TOOLTIP;Hand out duchies to nobles;;;;;;;;;x 
OVER_MAX_DEMESNE_SIZE_BY_AT_LEAST;Over max demesne size by at least ;;;;;;;;;x 
help_liege_manage_titles;Offer to Help With Liege Titles;;;;;;;;;x 
help_liege_manage_titles_desc;Give your assistance to your liege to manage his recently acquired titles and hand them out to new holders in his realm.;;;;;;;;;x 
NOT_PROPOSED_TITLE_HELP_RECENTLY_TOOLTIP;Liege has not been recently proposed to be helped.\n;;;;;;;;;x 
NOT_REFUSED_ANY_HELP_WITH_TITLES_TOOLTIP;Liege has not refused any notion of help.\n;;;;;;;;;x 
NOT_GETTING_HELP_WITH_TITLES_TOOLTIP;Liege is not already being helped with his titles.;;;;;;;;;x 
#EVTDESC_108000;"Chancellor wants to ""help"" you with your abundance of titles...";;;;;;;;;x 
EVTOPTA_108000;Yes I would appreciate some help!;;;;;;;;;x 
EVTOPTB_108000;No thanks I'm fine!;;;;;;;;;x 
EVTOPTC_108000;Stop bothering me about this nonsense!;;;;;;;;;x 
EVTOPTC_108000_TOOLTIP;None of your council members will bother you about this matter in the near future.;;;;;;;;;x 
#EVTDESC_108001;"Steward wants to ""help"" you with your abundance of titles...";;;;;;;;;x 
#EVTDESC_108002;"Spiritual leader wants to ""help"" you with your abundance of titles...";;;;;;;;;x 
b_haapsalu;Haapsalu;;;;;;;;;x 
b_lihula;Lihula;;;;;;;;;x 
b_parnu;Parnu;;;;;;;;;x 
b_martna;Martna;;;;;;;;;x 
b_kullamaa;Kullamaa;;;;;;;;;x 
b_karuse;Karuse;;;;;;;;;x 
b_pooravere;Pööravere;;;;;;;;;x 
b_piirsalu;Piirsalu;;;;;;;;;x 
d_ilmenians;Ilmenians;;;;;;;;;x 
d_ilmenians_adj;Ilmenian;;;;;;;;;x 
d_zun_pagan_reformed;The Church of Zun;;;;;;;;;x 
temple_baron_zun_pagan;Sun Guardian;;;;;;;;;x 
temple_baron_zun_pagan_reformed;Sun Guardian;;;;;;;;;x 
b_gaujiena;Gaujiena;;;;;;;;;x 
b_antenoreo;Antenoreo;;;;;;;;;x 
b_galbaio;Galbaio;;;;;;;;;x 
b_monegario;Monegario;;;;;;;;;x 
b_gaulo;Gaulo;;;;;;;;;x 
b_amalfinos;Amalfinos;;;;;;;;;x 
b_manginos;Manginos;;;;;;;;;x 
b_kanakares;Kanakares;;;;;;;;;x 
b_sorrenti;Sorrenti;;;;;;;;;x 
b_ravelli;Ravelli;;;;;;;;;x 
CHRONICLE_OF_HOUSE;The Chronicle of House [GetOnlyDynastyName];;;;;;;;;x 
CHRONICLE_START;This is the Chronicle of House [Root.GetOnlyDynastyName], in which is contained the record of its yearly fortunes, glories and difficulties.;;;;;;;;;x 
CHRONICLE_FILL0001;A dragon was seen in the province of [Root.GetName].;;;;;;;;;x 
CHRONICLE_FILL0002;A giant destroyed several villages in [Root.GetName], but then disappeared without trace.;;;;;;;;;x 
CHRONICLE_FILL0003;Strange and wonderful serpents were seen in [Root.GetName].;;;;;;;;;x 
CHRONICLE_FILL0004;Several people in [Root.Capital.GetName] spoke of seeing strange shapes dancing on the moon.;;;;;;;;;x 
CHRONICLE_FILL0005;A ten feet tall woman was crucified in the province of [Root.GetName].;;;;;;;;;x 
CHRONICLE_FILL0006;Villagers saw blood raining from the sky in the province of [Root.GetName].;;;;;;;;;x 
CHRONICLE_FILL0007;A strange plague killed thousands of wild rabbits in the province of [Root.GetName].;;;;;;;;;x 
CHRONICLE_FILL0008;The earth shook for three days in [Root.GetName], killing two hundred peasants and a priest.;;;;;;;;;x 
CHRONICLE_FILL0009;A river flooded parts of [Root.GetName] in the spring.;;;;;;;;;x 
#CHRONICLE_FILL00010;People in [Root.GetName] claimed to have seen two suns at the same time.;;;;;;;;;x 
#CHRONICLE_FILL00011;A goat with three heads was born in [Root.GetName].;;;;;;;;;x 
#CHRONICLE_FILL00012;Tens of thousands of crows birds invaded [Root.GetName] just before the harvest, causing much damage to the farmers's fields.;;;;;;;;;x 
#CHRONICLE_FILL00013;An uncommonly great number of children were born this year in [Root.GetName].;;;;;;;;;x 
#CHRONICLE_FILL00014;In [Root.GetName], the people celebrated the benevolent rule of [From.GetTitledFirstName].;;;;;;;;;x 
#CHRONICLE_FILL00015;A star fell from the sky in [Root.GetName], killing three cows.;;;;;;;;;x 
CHRONICLE_DEATH_OF_LIEGE;[Root.GetTitledName], the liege [Root.GetLordLady] of [Player.GetTitledFirstNameWithNick], [From.GetDeathReason] on [GetDateText].;;;;;;;;;x 
CHRONICLE_DEATH_OF_SPOUSE;[Root.GetTitledFirstNameWithNick], the [Root.GetHusbandWife] of [Player.GetTitledName], [From.GetDeathReason] on [GetDateText].;;;;;;;;;x 
CHRONICLE_DEATH_OF_PARENT;[Root.GetTitledFirstNameWithNick], the [Root.GetFatherMother] of [Player.GetTitledName], [From.GetDeathReason] on [GetDateText].;;;;;;;;;x 
CHRONICLE_DEATH_OF_HEIR;[Root.GetTitledFirstNameWithNick], the heir of [Player.GetTitledName], [From.GetDeathReason] on [GetDateText].;;;;;;;;;x 
CHRONICLE_DEATH_OF_RELIGION_HEAD;[Root.GetBestName], leader of all [Root.Religion.GetName] faithful, [Root.GetDeathReason] on [GetDateText].;;;;;;;;;x 
CHRONICLE_BIRTH_FATHER;[Root.GetFirstName], the firstborn [Root.GetSonDaughter], was born to [Root.Father.GetTitledName].;;;;;;;;;x 
CHRONICLE_BIRTH_MOTHER;[Root.GetFirstName], the firstborn [Root.GetSonDaughter], was born to [Root.Mother.GetTitledName].;;;;;;;;;x 
CHRONICLE_WAR_DECLARED_ATTACKER;[From.GetTitledName] went to war against [Prev.GetTitledName].;;;;;;;;;x 
CHRONICLE_WAR_DECLARED_DEFENDER;[Prev.PrimaryTitle.GetName] was attacked by the [From.Culture.GetName] realm of [From.PrimaryTitle.GetName], ruled by [From.GetTitledFirstNameWithNick].;;;;;;;;;x 
#CHRONICLE_JOINED_ALLY_IN_WAR;[Root.GetTitledName] supported [From.GetTitledName] in war against [From.GetHerHis] enemies.;;;;;;;;;x 
#CHRONICLE_JOINED_ALLY_IN_WAR_2;[From.GetTitledName] supported [Root.GetTitledName] in war against [Root.GetHerHis] enemies.;;;;;;;;;x 
CHRONICLE_FRIENDLY_CRUSADE_STARTED;[Root.GetTitledName] declared a [Root.Religion.GetCrusadeName], wherein all faithful [Root.Religion.GetName]s were called to help conquer [From.GetName] from the [New.Religion.GetName]s.;;;;;;;;;x 
CHRONICLE_UNFRIENDLY_CRUSADE_STARTED;[Root.GetTitledName] declared a [Root.Religion.GetCrusadeName], wherein all unfaithful [Root.Religion.GetName]s were called to conquer [From.GetName] from the [New.Religion.GetName]s.;;;;;;;;;x 
CHRONICLE_CRUSADE_WON;The [From.Religion.GetCrusadeName] declared by [From.RelHead.GetDynName] ended with the successful conquest of [Root.GetName] from the [New.Religion.GetName]s.;;;;;;;;;x 
CHRONICLE_CRUSADE_WON_AND_I_GOT_THE_TITLE;The [From.Religion.GetCrusadeName] declared by [From.RelHead.GetDynName] ended with the successful conquest of [Root.GetName] from the [New.Religion.GetName]s. [From.GetDynName] became the new [From.GetLordLady] of the conquered lands.;;;;;;;;;x 
CHRONICLE_CRUSADE_LOST;The [From.Religion.GetCrusadeName] declared by [From.GetDynName] ended in defeat as the armies failed to conquer [Root.GetName].;;;;;;;;;x 
CHRONICLE_MONGOL_RUMORS;Strange rumors reached the [Player.Culture.GetName] lands, speaking of strong armies gathering in the Eastern steppes under the Great Khan, with men too numerous to count.;;;;;;;;;x 
CHRONICLE_AZTECS_FIRST_CONTACT;Strangers in strange ships landed in the [FromFromFrom.Holder.PrimaryTitle.GetAdjective] province of [FromFromFrom.GetName], bringing rise to much worry and rumours across the lands.;;;;;;;;;x 
CHRONICLE_AZTEC_INVASION;A terrible scourge was unleashed upon [FromFromFrom.Holder.PrimaryTitle.GetName] as the hordes of the Aztec Emperor arrived from beyond the sea to wreak havoc and destruction.;;;;;;;;;x 
CHRONICLE_CREATED_TITLE;[Root.GetDynName] created the title of [From.GetFullName], confirming [Root.GetHerHis] growing power with much ceremony and celebration.;;;;;;;;;x 
CHRONICLE_USURPED_TITLE;[Root.GetDynName] usurped the [From.GetFullName] from [FromFrom.GetDynName].;;;;;;;;;x 
CHRONICLE_RUNESTONE_FATHER;[Root.GetTitledName] raised a runestone in honor of [Root.GetHerHis] father, [Root.Father.GetTitledFirstNameWithNick].;;;;;;;;;x 
CHRONICLE_RUNESTONE_MOTHER;[Root.GetTitledName] raised a runestone in honor of [Root.GetHerHis] mother, [Root.Mother.GetTitledFirstNameWithNick].;;;;;;;;;x 
CHRONICLE_RUNESTONE_GENERIC;[Root.GetTitledName] raised a runestone in memory of [Root.GetHerselfHimself].;;;;;;;;;x 
CHRONICLE_RUNESTONE_LUNATIC;[Root.GetTitledNameWithNick] raised a runestone in memory of [Root.GetHerHis] extraordinary exploits in a flying longship.;;;;;;;;;x 
CHRONICLE_RUNESTONE_DRUNKARD;[Root.GetTitledName] raised a runestone celebrating [Root.GetHerHis] love for mead.;;;;;;;;;x 
CHRONICLE_RUNESTONE_FAIR;[Root.GetTitledName] raised a runestone celebrating [Root.GetHerHis] great beauty.;;;;;;;;;x 
CHRONICLE_RUNESTONE_DWARF;[Root.GetTitledName] raised a runestone celebrating [Root.GetHerHis] great willpower, which was said to be that of a giant.;;;;;;;;;x 
CHRONICLE_RUNESTONE_GENIUS;[Root.GetTitledName] raised a runestone celebrating [Root.GetHerHis] great wisdom.;;;;;;;;;x 
CHRONICLE_RUNESTONE_IMBECILE;[Root.GetTitledName] managed to raise a runestone in spite of the things men said about [Root.GetHerHis] intellect.;;;;;;;;;x 
CHRONICLE_RUNESTONE_STRONG;[Root.GetTitledName] raised a runestone celebrating [Root.GetHerHis] great strength.;;;;;;;;;x 
CHRONICLE_RUNESTONE_SCHOLAR;[Root.GetTitledName] raised a runestone celebrating [Root.GetHerHis] great knowledge of the world and everything in it.;;;;;;;;;x 
CHRONICLE_RUNESTONE_IMPALER;[Root.GetTitledName] raised a runestone warning the world of the horrors awaiting any who would defy [Root.GetHerHis].;;;;;;;;;x 
CHRONICLE_RUNESTONE_POET;[Root.GetTitledName] raised a runestone with poetic words carved into it.;;;;;;;;;x 
CHRONICLE_RUNESTONE_LUSTFUL;[Root.GetTitledName] raised a runestone celebrating [Root.GetHerHis] love for others.;;;;;;;;;x 
CHRONICLE_RUNESTONE_GLUTTONOUS;[Root.GetTitledName] raised a runestone celebrating [Root.GetHerHis] love for food.;;;;;;;;;x 
CHRONICLE_RUNESTONE_CHARITABLE;[Root.GetTitledName] raised a runestone celebrating [Root.GetHerHis] charity.;;;;;;;;;x 
CHRONICLE_RUNESTONE_KIND;[Root.GetTitledName] raised a runestone celebrating [Root.GetHerHis] kindness.;;;;;;;;;x 
CHRONICLE_RUNESTONE_PROUD;[Root.GetTitledName] raised a runestone celebrating [Root.GetHerHis] own greatness.;;;;;;;;;x 
CHRONICLE_RUNESTONE_HUMBLE;[Root.GetTitledName] raised a runestone celebrating the joys of a simple life.;;;;;;;;;x 
CHRONICLE_RUNESTONE_BRAVE;[Root.GetTitledName] raised a runestone celebrating [Root.GetHerHis] great valor.;;;;;;;;;x 
CHRONICLE_RUNESTONE_JUST;[Root.GetTitledName] raised a runestone celebrating [Root.GetHerHis] fairness and sense of justice.;;;;;;;;;x 
CHRONICLE_RUNESTONE_ZEALOUS_NORSE;[Root.GetTitledName] raised a runestone honoring the Gods.;;;;;;;;;x 
CHRONICLE_RUNESTONE_ZEALOUS_CHRISTIAN;[Root.GetTitledName] raised a runestone honoring Christ and Saint Michael.;;;;;;;;;x 
CHRONICLE_RUNESTONE_CRUEL;[Root.GetTitledName] raised a runestone boasting of the cruelty shown to [Root.GetHerHis] enemies.;;;;;;;;;x 
CHRONICLE_PLAYER_IMPRISONED;[Root.GetTitledName] was imprisoned in a dungeon in [From.Capital.GetName] by [From.GetTitledName].;;;;;;;;;x 
CHRONICLE_LIEGE_IMPRISONED;[Root.GetTitledName] was imprisoned in a dungeon in [From.Capital.GetName] by [From.GetTitledName].;;;;;;;;;x 
CHRONICLE_SPOUSE_IMPRISONED;[Root.GetTitledName] was imprisoned in a dungeon in [From.Capital.GetName] by [From.GetTitledName].;;;;;;;;;x 
CHRONICLE_PARENT_IMPRISONED;[Root.GetTitledName] was imprisoned in a dungeon in [From.Capital.GetName] by [From.GetTitledName].;;;;;;;;;x 
CHRONICLE_HEIR_IMPRISONED;[Root.GetTitledName] was imprisoned in a dungeon in [From.Capital.GetName] by [From.GetTitledName].;;;;;;;;;x 
CHRONICLE_RELIGION_HEAD_IMPRISONED;[Root.GetTitledName] was imprisoned in a dungeon in [From.Capital.GetName] by [From.GetTitledName].;;;;;;;;;x 
CHRONICLE_PLAYER_RELEASED;[Root.GetTitledName] was released from imprisonment by [From.GetTitledName].;;;;;;;;;x 
CHRONICLE_LIEGE_RELEASED;[Root.GetTitledName] was released from imprisonment by [From.GetTitledName].;;;;;;;;;x 
CHRONICLE_SPOUSE_RELEASED;[Root.GetTitledName] was released from imprisonment by [From.GetTitledName].;;;;;;;;;x 
CHRONICLE_PARENT_RELEASED;[Root.GetTitledName] was released from imprisonment by [From.GetTitledName].;;;;;;;;;x 
CHRONICLE_HEIR_RELEASED;[Root.GetTitledName] was released from imprisonment by [From.GetTitledName].;;;;;;;;;x 
CHRONICLE_RELIGION_HEAD_RELEASED;[Root.GetTitledName] was released from imprisonment by [From.GetTitledName].;;;;;;;;;x 
CHRONICLE_PLAYER_CONVERTED_RELIGION;[Root.GetTitledName] converted from [From.Religion.GetName] to [Root.Religion.GetName].;;;;;;;;;x 
CHRONICLE_LIEGE_CONVERTED_RELIGION;[Root.GetTitledName] converted from [From.Religion.GetName] to [Root.Religion.GetName].;;;;;;;;;x 
CHRONICLE_MAJOR_VASSAL_CONVERTED_RELIGION;[Root.GetTitledName], a powerful vassal of [Root.Liege.GetTitledName], converted from [From.Religion.GetName] to [Root.Religion.GetName].;;;;;;;;;x 
CHRONICLE_PLAYER_CONVERTED_CULTURE;[Root.GetTitledName] adopted new customs to embrace [Root.Culture.GetName] culture, no longer considering [Root.GetHerselfHimself] [From.Culture.GetName].;;;;;;;;;x 
CHRONICLE_HERESY_TAKEOVER_PLAYER_IS_NEW;There was much talk of the [From.Religion.GetName] faith now becoming so prevalent that the [FromFrom.Religion.GetName] had come to be considered a heresy.;;;;;;;;;x 
