#CODE;ENGLISH;;;;;;;;;x 
AIREASON_ALL_HELP_IS_APPRECIATED;All help is appreciated;;;;;;;;;x 
EVTOPTB100020;I fear the competition...;;;;;;;;;x 
EVTDESC100021;I have never had any luck with women, no matter what subject I try to talk about they just seem to leave as soon as I utters the first word. [From.GetFirstName] interrupted my self-loathing thoughts and offered to help me charm or at least be able to talk to women without them leaving in the middle of a sentence.;;;;;;;;;x 
EVTOPTA100021;Of course I accept [From.GetHerHis] help!;;;;;;;;;x 
EVTTOOLTIP100022;[Root.GetFirstName] accepted [This.GetTitledFirstName] offer to help;;;;;;;;;x 
EVTOPTB100021;I can do it on my own!;;;;;;;;;x 
EVTTOOLTIP100023;[Root.GetTitledFirstName] rejected [This.GetTitledFirstName] offer to help;;;;;;;;;x 
EVTOPTC100021;I am happy as I am, thank you!;;;;;;;;;x 
EVTDESC100022;[From.GetFirstName] was willing to learn but had no idea how [From.GetFirstName] should talk to women or what subject would interest them. We started small, I let [From.GetHerHim] talk to the cook who were more than happy to talk about her cooking. Then it got harder and harder until [From.GetFirstName] finally was able to talk to every woman in the castle and charm her nearly as well as I can.;;;;;;;;;x 
EVTOPTA100022;During that time, we became friends;;;;;;;;;x 
EVTDESC100023;I had honestly thought [From.GetFirstName] would enthusiastically accept my help or at least show some interest in learning some of what I knew about women and how to charm them.;;;;;;;;;x 
EVTOPTA100023;[From.GetFirstName] rejected my offer brusquely;;;;;;;;;x 
EVTOPTB100023;[From.GetFirstName] politely told me [From.GetSheHe] needed no help;;;;;;;;;x 
EVTDESC100025;Charming, pleasant and amusing is not words people would describe me with, but the man talking to the small group of women is all that and perhaps more. I wish I could be as charming and be able to talk to women without stuttering or inadvertently insulting them...;;;;;;;;;x 
EVTOPTA100025;Will he help me if I ask nicely?;;;;;;;;;x 
EVTTOOLTIP100026;is asked by [Root.GetTitledFirstName] to help [Root.GetHerHim] conquer [Root.GetHerHis] fear of women;;;;;;;;;x 
EVTOPTB100025;He can have whatever he wants if only he helps me!;;;;;;;;;x 
EVTTOOLTIP100030;is bribed by [Root.GetTitledFirstName] to help [Root.GetHerHim] conquer [Root.GetHerHis] fear of women;;;;;;;;;x 
EVTOPTC100025;Forget it, I'm a nobody and women knows it;;;;;;;;;x 
EVTDESC100026;At first I found it unsettling that [From.GetFirstName] asked me to help [From.GetHerHim] conquer [From.GetHerHis] shyness and teach [From.GetHerHim] to be able to at least talk to a woman without unintentionally insulting her. [From.GetFirstName] said [From.GetSheHe] wanted be as charming and pleasant as I am.;;;;;;;;;x 
EVTOPTA100026;I'll help you, but it's gonna cost you;;;;;;;;;x 
EVTTOOLTIP100027;[Root.GetTitledFirstName] agrees to help [This.GetTitledFirstName], but for a prize...;;;;;;;;;x 
EVTOPTB100026;I would be glad to!;;;;;;;;;x 
EVTTOOLTIP100028;Under [Root.GetTitledFirstName] watchful eye, [This.GetTitledFirstName] learns how to talk to women;;;;;;;;;x 
EVTDESC38303;I have gone so long without craving the touch of another human, but now I have grown wiser. I have lost the Chaste trait.;;;;;;;;;x 
EVTOPTC100026;As if I would want someone to compete with me about women's hearts!;;;;;;;;;x 
EVTTOOLTIP100029;The rivalry between [Root.GetTitledFirstName] and [This.GetTitledFirstName] reveals itself;;;;;;;;;x 
EVTDESC100027;[From.GetFirstName] listened thoughtfully when I asked [From.GetHerHim] to help me get over my shyness and learn how to charm or at least talk to a woman! I looked at [From.GetHerHim] pleadingly and after hesitating at first [From.GetFirstName] agreed to help me, for a small sum of money.;;;;;;;;;x 
EVTOPTA100027;Yes! Of course! Here you go...;;;;;;;;;x 
EVTOPTB100027;No, I don't think so...;;;;;;;;;x 
EVTDESC100028;I was willing to learn but I could decipher from [From.GetFirstName] sighs that [From.GetSheHe] thought that I was almost unteachable. No matter who I talked to I made a fool out of myself until [From.GetFirstName] made me talk to the cook who were more than happy to talk about her cooking. From on then it got easier until I finally was able to talk to every woman in the castle and charm them nearly as well as [From.GetFirstName].;;;;;;;;;x 
EVTOPTA100028;[From.GetFirstName] is a true friend!;;;;;;;;;x 
EVTDESC100029;No matter what I said, promised or did, [From.GetFirstName] refused to help me with my problem, being unable to to talk to women. [From.GetSheHeCap] even told me it was because I '...would ruin [From.GetHerHis] chances with women...' But all I asked about was to be able to have a conversation...;;;;;;;;;x 
EVTOPTA100029;This means WAR! Nah, we're just rivals...;;;;;;;;;x 
EVTDESC100030;[From.GetFirstName] promised me a lot of gold if only I could help [From.GetHerHim] conquer [From.GetHerHis] shyness and teach [From.GetHerHim] to charm and talk to women without unintentionally insulting them.;;;;;;;;;x 
EVTOPTB100030;I'll take your gold, you'll lose your pride;;;;;;;;;x 
EVTTOOLTIP100031;[Root.GetTitledFirstName] helps [This.GetTitledFirstName];;;;;;;;;x 
EVTOPTC100030;I'll help you with this if you can help me with that;;;;;;;;;x 
EVTDESC100031;After the money had exchanged hands, [From.GetFirstName] became almost merciless in correcting and teaching me how I should talk to women, what subjects might interest them and how I could stand, sit or smile at them in different ways to get them relaxed or interested. A whole new world opened up before my eyes.;;;;;;;;;x 
EVTOPTA100031;...and now I can talk to women!;;;;;;;;;x 
EVTDESC100035;I was playing with my doll by myself, trying to remember a song to sing to my poppet when I saw a girl my age look at my beautiful doll with longing in her eyes...;;;;;;;;;x 
EVTOPTA100035;Do you want to play with her?;;;;;;;;;x 
EVTTOOLTIP100036;[Root.GetTitledFirstName] tries to befriend [This.GetTitledFirstName];;;;;;;;;x 
EVTOPTB100035;You're no fun, go away!;;;;;;;;;x 
EVTTOOLTIP100037;[Root.GetTitledFirstName] becomes [This.GetTitledFirstName] rival;;;;;;;;;x 
EVTDESC100036;[From.GetFirstName] was playing with [From.GetHerHis] doll by the pond. It was beautiful with long, braided hair, buttons for eyes and even a dress made of grass. I wanted the doll so much I asked [From.GetFirstName] if I could play with her...;;;;;;;;;x 
EVTOPTA100036;We played for so long, we almost forgot supper!;;;;;;;;;x 
EVTTOOLTIP100038;[Root.GetTitledFirstName] and [This.GetTitledFirstName] becomes friends;;;;;;;;;x 
EVTOPTB100036;...then I grabbed the doll and ran!;;;;;;;;;x 
EVTTOOLTIP100039;[Root.GetTitledFirstName] stole [Root.GetTitledFirstName]'s doll, making them rivals;;;;;;;;;x 
EVTDESC100037;I just wanted to play with [From.GetFirstName]'s beautiful doll, but when I asked [From.GetHerHim] if I could just hold the doll [From.GetSheHe] screamed at me to go away and threatened to tell my parents I had hit [From.GetHerHim] if I didn't!;;;;;;;;;x 
EVTOPTA100037;[From.GetFirstName] will never be my friend!;;;;;;;;;x 
EVTDESC100038;I didn't like how [From.GetFirstName] looked at my doll but when [From.GetSheHe] told me how beautiful my doll was I forgave [From.GetFirstName] at once. We played together for so long, we almost missed supper!;;;;;;;;;x 
EVTOPTA100038;We will play again tomorrow!;;;;;;;;;x 
EVTDESC100039;I hugged my doll and then gave her to [From.GetFirstName], who grabbed her and ran away! I tried following [From.GetHerHim], crying the whole time for my doll but [From.GetFirstName] got away!;;;;;;;;;x 
EVTOPTA100039;Give my doll back! I hate you [From.GetFirstName], so much!;;;;;;;;;x 
EVTDESC100040;There's a girl at court that is very flirtatious and knows how to play on people's feelings to get what she wants, when she wants it. She is more brave than any other girl I ever met and I envy her sometimes, to be as courageous as she is would be wonderful...;;;;;;;;;x 
EVTOPTA100040;Could she find it in her heart to help me?;;;;;;;;;x 
EVTTOOLTIP100041;[Root.GetTitledFirstName] asks [This.GetTitledFirstName] to help [Root.GetHerHim] become courageous;;;;;;;;;x 
EVTOPTB100040;She's a trollop!;;;;;;;;;x 
EVTTOOLTIP100042;[Root.GetTitledFirstName] shouldn't have called [This.GetTitledFirstName] a trollop;;;;;;;;;x 
EVTOPTC100040;How I envy her...;;;;;;;;;x 
EVTDESC100041;I was kind of flirting with the cute stable boy when [From.GetFirstName] asked me to come help [From.GetHerHim] with something. Thinking it was yet another boring task I couldn't flirt my way out of, I reluctantly followed [From.GetFirstName]. It did surprise me when [From.GetSheHe] asked, no begged me to help [From.GetHerHim] become as courageous as I am.;;;;;;;;;x 
EVTOPTA100041;I would be my pleasure!;;;;;;;;;x 
EVTTOOLTIP100043;[Root.GetTitledFirstName] finds a friend in [This.GetTitledFirstName];;;;;;;;;x 
EVTOPTB100041;This court is not big enough for both of us!;;;;;;;;;x 
EVTTOOLTIP100044;[Root.GetTitledFirstName] refusal makes [This.GetTitledFirstName] [Root.GetHerHis] rival;;;;;;;;;x 
EVTOPTC100041;I don't have time for this!;;;;;;;;;x 
EVTDESC100042;I cannot flirt my way out of everything. [From.GetFirstName] thinks I'm a trollop after watching me flirt and use my charm to get my will through.;;;;;;;;;x 
EVTOPTA100042;Why would I care what [From.GetFirstName] thinks?;;;;;;;;;x 
EVTDESC100043;[From.GetFirstName] agreed to help me become more confident and courageous, gave me advice on how to talk to people to get them to like me more and how to use flattery to get my will through. It didn't take long before I could charm the pants off the spymaster if I wanted. Somewhere along my way to confidence, [From.GetFirstName] and I became friends.;;;;;;;;;x 
EVTOPTA100043;Best friends, forever!;;;;;;;;;x 
EVTDESC100044;I asked [From.GetFirstName] to help me, begged for a bit of understanding and even tried threatening [From.GetHerHim] into helping me gain some confidence and courage, but [From.GetFirstName] refused. [From.GetSheHeCap] did not want to share [From.GetHerHis] hard-earned secrets to confidence and courage.;;;;;;;;;x 
EVTOPTA100044;[From.GetFirstName] must have feared the competition!;;;;;;;;;x 
EVTDESC100050;I wanted someone I could confide in, someone who were a bit more gregarious than me so [Root.GetSheHe] could introduce me to people without making me feel like a fool. A girl my age I could share secrets with, gossip and giggle over boys.;;;;;;;;;x 
EVTOTPA100050;There should be someone I could talk to!;;;;;;;;;x 
EVTTOOLTIP100051;[Root.GetTitledFirstName] meets [This.GetTitledFirstName];;;;;;;;;x 
EVTOTPB100050;What? Her? Never!;;;;;;;;;x 
EVTTOOLTIP100054;[Root.GetTitledFirstName] dismisses [This.GetTitledFirstName];;;;;;;;;x 
EVTOTPC100050;I will never find a good friend...;;;;;;;;;x 
EVTDESC100051;[From.GetFirstName] seemed very lonely, so I decided to talk to [From.GetHerHim] a bit and see if I could make [From.GetHerHim] cheer up. It was if a dam had burst open, we talked and gossiped about everything, from the cook who always smelled of liquor to the cute guards.;;;;;;;;;x 
EVTOPTA100051;I'd like [From.GetFirstName] to be my friend;;;;;;;;;x 
EVTTOOLTIP100052;A strong friendship forms between [Root.GetTitledFirstName] and [This.GetTitledFirstName];;;;;;;;;x 
EVTOPTB100051;But... I like that guard!;;;;;;;;;x 
EVTTOOLTIP100053;Rivalry bloom between [Root.GetTitledFirstName] and [This.GetTitledFirstName];;;;;;;;;x 
EVTOPTC100051;I hope you feel better now;;;;;;;;;x 
EVTDESC100052;I felt as if a dam had burst and swept away with me. When [From.GetFirstName] started talking to me I couldn't stop, we gossiped, laughed and talked for what felt like for ever. I had such a good time I forgot how lonely I had felt just a couple of hours before.;;;;;;;;;x 
EVTOPTA100052;Let's do this again, tomorrow perhaps?;;;;;;;;;x 
EVTOPTB100052;I do feel better now, thank you;;;;;;;;;x 
EVTDESC100053;I thought [From.GetFirstName] had enjoyed our [Root.GetManWoman]-to-[From.GetManWoman] talk yesterday, and I had really poured my heart out, told [From.GetHerHim] all my secrets and even that I thought one of the guards especially handsome. So when I saw that wench kiss 'my' guard this morning it broke my heart...;;;;;;;;;x 
EVTOPTA100053;I... I thought you were my friend!;;;;;;;;;x 
EVTDESC100054;I see no reason why but [From.GetFirstName] clearly does not like me. If I were a bit more paranoid than I am I might think [From.GetSheHe] believes me to be a rival.;;;;;;;;;x 
EVTOPTA100054;So, [From.GetFirstName], are we rivals now then? Fine!;;;;;;;;;x 
EVTDESC100060;I thought I finally had a chance winning a friendly duel during the swordstraining, my opponent clearly wasn't as comfortable with a sword as I was and I had read our teacher's treatise through and through several times. For all his unease, my opponent showed he knew what end of a sword you are supposed to hold and I lost once again.;;;;;;;;;x 
EVTOPTA100060;Good game;;;;;;;;;x 
EVTOPTB100060;How dare you! You, sir, have gained a new rival this day!;;;;;;;;;x 
EVTTOOLTIP100061;The defeated [Root.GetTitledFirstName] marks [This.GetTitledFirstName] as [Root.GetHerHis] new rival;;;;;;;;;x 
EVTOPTC100060;I'll defeat you tomorrow!;;;;;;;;;x 
EVTDESC100061;[From.GetFirstName] certainly handled a sword expertly, but when we started fencing I realized [From.GetSheHe] probably had only read our teacher's treatise without ever practicing any of the moves. I easily disarmed [From.GetFirstName] and when I extended my hand to thank [From.GetHerHim] for the practice [From.GetSheHe] slapped it aside and named me [From.GetHerHis] rival.;;;;;;;;;x 
EVTOPTA100061;Do you really want me as your rival?;;;;;;;;;x 
EVTDESC100065;I am sick and tired of being called all sorts of names, dodging kicks and punches and never be left alone. My tormentor is able to sniff me out and find me wherever I try to hide, and I don't know if I can take it any longer!;;;;;;;;;x 
EVTOPTA100065;Fight back!;;;;;;;;;x 
EVTTOOLTIP100066;[Root.GetTitledFirstName] punches [This.GetTitledFirstName];;;;;;;;;x 
EVTOPTB100065;Bribe my tormentor with a sweetmeat;;;;;;;;;x 
EVTTOOLTIP100067;Will [This.GetTitledFirstName]'s sweetmeat tooth make [This.GetHerHim] leave [Root.GetTitledFirstName] alone?;;;;;;;;;x 
EVTOPTC100065;Try to ignore the tormentor;;;;;;;;;x 
EVTDESC100066;It's a delight tormenting [From.GetFirstName], calling [From.GetHerHim] [From.GetFirstName] the cowardly chicken and other epithets and, if that does not work, punches, kicks or destroying [From.GetHerHis]'s things. [From.GetFirstName] was easy prey, until [From.GetSheHe] punched back!;;;;;;;;;x 
EVTOPTA100066;Ow, my nose! You'll pay for this!;;;;;;;;;x 
EVTDESC100067;I was looking forward to another day of tormenting [From.GetFirstName] with name-calling and kicks when [From.GetSheHe] came up to me and gave me a sweetmeat.;;;;;;;;;x 
EVTOPTA100067;Throw the sweetmeat away and kick [From.GetHerHis] butt!;;;;;;;;;x 
EVTTOOLTIP100068;[Root.GetTitledFirstName] will always be [This.GetTitledFirstName] rival;;;;;;;;;x 
EVTOPTB100067;Eh... thank you;;;;;;;;;x 
EVTTOOLTIPA100069;[Root.GetTitledFirstName] stops harassing [This.GetTitledFirstName];;;;;;;;;x 
EVTDESC100068;I watched nervously as [From.GetFirstName] looked at the offered sweetmeat in my outstretched hand and then gently took it, sniffing it before stuffing [From.GetHerHis] face with it. [From.GetFirstName] beamed at me and told me I wasn't as bad as [From.GetSheHe] thought I was.;;;;;;;;;x 
EVTOPTA100068;I'm... flattered?;;;;;;;;;x 
EVTOPTB100068;Now can we be friends?;;;;;;;;;x 
EVTTOOLTIPB100069;[Root.GetTitledFirstName] and [This.GetTitledFirstName] lays their differences behind them, becoming fast friends;;;;;;;;;x 
EVTDESC100069;It felt wrong to keep harassing [From.GetFirstName] after [From.GetSheHe] gave me that sweetmeat, so I decided I would stop calling [From.GetHerHim] things like '[From.GetFirstName] the cowardly chicken' and apologise for kicking [From.GetHerHim].;;;;;;;;;x 
EVTOPTA100069;Do you think we can be friends?;;;;;;;;;x 
EVTOPTB100069;Thank you for the sweetmeat!;;;;;;;;;x 
EVTDESC100070;There's something about that [Root.GetLadLass] that I cannot stand, and I take the opportunity to show that whenever I can. I should feel bad for making [Root.GetHerHim] miserable, but my loathing for [Root.GetHerHim] is too great.;;;;;;;;;x 
EVTOPTA100070;[Root.GetSheHeCap] truly is my rival;;;;;;;;;x 
EVTTOOLTIP100071;The rivalry between [Root.GetTitledFirstName] and [This.GetTitledFirstName] escalates;;;;;;;;;x 
EVTOPTB100070;Oh [Root.Religion.GetRandomGodName], what am I doing?!;;;;;;;;;x 
EVTOPTC100070;[Root.GetSheHeCap] is a coward, [Root.GetSheHe] will never defend [Root.GetHerselfHimself]!;;;;;;;;;x 
EVTTOOLTIP100072;[Root.GetTitledFirstName] harasses [This.GetTitledFirstName];;;;;;;;;x 
EVTDESC100071;As long as I can remember, [From.GetFirstName] has pestered me in any way [From.GetSheHe] could think off. I'm getting tired of being used for 'innocent' pranks like getting the contents of a chamber pot poured over me, tripped in the stairs or my food stolen.;;;;;;;;;x 
EVTOPTA100071;You've gotten a rival in me, [From.GetFirstName]!;;;;;;;;;x 
EVTDESC100072;[From.GetFirstName] has been bothering me for a long time, at first I thought it was [From.GetHerHis] way of making friends. The pranks started to escalate, from being rather harmless to me finding my clothes sprinkled over the yard in the morning or getting the contents of a chamber pot poured over me. I don't think [From.GetFirstName] likes me, at all...;;;;;;;;;x 
EVTOPTA100072;It's time to get revenge!;;;;;;;;;x 
EVTTOOLTIP100073;[Root.GetTitledFirstName] gets [Root.GetHerHis] revenge on [This.GetTitledFirstName];;;;;;;;;x 
EVTOPTB100072;I'm sure I can get [From.GetFirstName] to like me;;;;;;;;;x 
EVTTOOLTIP100074;[Root.GetTitledFirstName] tries to make friends with [This.GetTitledFirstName];;;;;;;;;x 
EVTOPTC100072;[From.GetSheHeCap] will get bored someday, hopefully...;;;;;;;;;x 
EVTDESC100073;I waited until exactly the right moment, when [From.GetFirstName] was directly underneath me, to pour the day-old contents of the chamber pot over [From.GetHerHim]. The horrified look on [From.GetFirstName] face when the contents hit [From.GetHerHim] had me on the floor laughing out loud. [From.GetFirstName] swore at me, calling me all kinds of ugly words and that [From.GetSheHe] would never forget this...;;;;;;;;;x 
EVTOPTA100073;So I believe [From.GetHerHim] is my rival now?;;;;;;;;;x 
EVTDESC100074;No matter what I expose [From.GetFirstName] for, [From.GetSheHe] still tries to make me [From.GetHerHis] friend. I have started to feel a reluctant respect for [From.GetFirstName] and even though I still get great ideas for pranks, such as freeze in [From.GetFirstName]'s clothes in a block of ice or empty a chamber pot over [From.GetHerHis] head, it feels wrong doing it.;;;;;;;;;x 
EVTOPTA100074;I hope [From.GetFirstName] forgives me, maybe we can be friends?;;;;;;;;;x 
EVTTOOLTIPA100075;[Root.GetTitledFirstName] regrets the harassment of [This.GetTitledFirstName];;;;;;;;;x 
EVTOPTB100074;Naah, I have too much fun. I won't stop now!;;;;;;;;;x 
EVTTOOLTIPB100075;[Root.GetTitledFirstName]'s harassment of [This.GetTitledFirstName] leads to rivalry;;;;;;;;;x 
EVTDESC100075;[From.GetFirstName] has almost stopped pestering me, there's the occasional prank but I can put up with it as long as they are harmless.;;;;;;;;;x 
EVTOPTA100075;I think... I think you could say we are friends now;;;;;;;;;x 
EVTOPTB100075;...and then [From.GetSheHe] ruined everything!;;;;;;;;;x 
EVTDESC100080;I pray to [Root.Religion.GetRandomGodName] every day and listen carefully to the priest whenever he preaches about God's will. When I saw a [Root.GetLadLass] my age clearly disrespecting the word's of God and boisterously proclaimed [Root.GetHerHis] disbeliefs and refusal to accept that there is a God I felt shocked. Something must be done to save this lost soul!;;;;;;;;;x 
EVTOPTA100080;I will pray for [Root.GetHerHis] soul!;;;;;;;;;x 
EVTOPTB100080;I will convince [Root.GetHerHim] there's a God!;;;;;;;;;x 
EVTTOOLTIP100081;Pious little [Root.GetTitledFirstName] tries to help [This.GetTitledFirstName] find [Root.Religion.GetRandomGodName] and save [This.GetHerHis] soul;;;;;;;;;x 
EVTDESC100081;I don't believe in God, religion is stupid and the priests boring! [From.GetFirstName] couldn't understand how someone could not believe in [From.Religion.GetRandomGodName] and tried to convince me there is a God and He loves me. I decided to listen to [From.GetFirstName], I was curious as to why [From.GetSheHe] is so convinced there's a God.;;;;;;;;;x 
EVTOPTA100081;Leave me alone! I don't like you nor your [From.Religion.GetRandomGodName]!;;;;;;;;;x 
EVTTOOLTIP100082;[Root.GetTitledFirstName] cannot be saved by [This.GetTitledFirstName];;;;;;;;;x 
EVTOPTB100081;If I tell you I believe in [From.Religion.GetRandomGodName], will you leave?;;;;;;;;;x 
EVTTOOLTIP100083;[Root.GetTitledFirstName] deceives [This.GetTitledFirstName];;;;;;;;;x 
EVTOPTC100081;Bless you! You have made me believe again;;;;;;;;;x 
EVTTOOLTIP100084;[Root.GetTitledFirstName]'s immortal soul is saved by [This.GetTitledFirstName];;;;;;;;;x 
EVTDESC100082;No matter what I said, no matter what evidence I showed [From.GetFirstName] that there is a God and He loves all His children, [From.GetSheHe] refused to be convinced and held on to [From.GetHerHis] belief that there is no God. [From.GetSheHeCap] said to me: 'If there is a God and He loves everyone, why is there war in the world? Why do people starve? Why do people hurt each other?';;;;;;;;;x 
EVTOPTA100082;I had no answer, only my faith;;;;;;;;;x 
EVTDESC100083;It took longer than I thought it would to convince [From.GetFirstName] that our God is a loving God. I am still unsure if [From.GetFirstName] really meant it when [From.GetSheHe] said that [From.GetSheHe] believed in [Root.Religion.GetRandomGodName] or if [From.GetFirstName] only said that to make me feel better...;;;;;;;;;x 
EVTOPTA100083;Pray some more for [From.GetFirstName]'s soul...;;;;;;;;;x 
EVTDESC100084;[From.GetFirstName] were unwilling at first but as I talked about God and His love for mankind [From.GetSheHe] started to be interested and soon we were discussing [Root.Religion.GetRandomGodName]. It took several hours of discussing, reading the Bible and answering all [From.GetFirstName]'s questions and then I saw how [From.GetFirstName] started believing...;;;;;;;;;x 
EVTOPTA100084;How great for you!;;;;;;;;;x 
EVTDESC100090;I toiled long and hard to try to embroider the most beautiful embroidery but I was beaten, and beaten hard by a nobody... My stitches were small, but hers was smaller. My motif was beautiful, but hers were even more so. My embroidery was praised, but hers people admired and loved.;;;;;;;;;x 
EVTOPTA100090;I swallow my pride and praise her embroidery;;;;;;;;;x 
EVTOPTB100090;I will hate her from afar;;;;;;;;;x 
EVTTOOLTIP100091;The rivalry between [Root.GetTitledFirstName] and [This.GetTitledFirstName] knows no bounds;;;;;;;;;x 
EVTOPTC100090;No one is better than me!;;;;;;;;;x 
EVTTOOLTIP100092;[Root.GetTitledFirstName] destroys [This.GetTitledFirstName] embroidery;;;;;;;;;x 
EVTOPTD100090;I ask her to teach me;;;;;;;;;x 
EVTTOOLTIP100094;[Root.GetTitledFirstName] humbles [Root.GetHerselfHimself]  and asks [This.GetTitledFirstName] for help;;;;;;;;;x 
EVTDESC100091;I was beaming from all the praise I got about my embroidery, 'Oh, the stitches are so tiny they are almost invisible!' 'Such a lovely motif!' but when I saw anger cloud [From.GetFirstName] my smile shrank and disappeared. [From.GetSheHeCap] had made a lovely embroidery but people obviously liked mine better and [From.GetFirstName] couldn't stand it.;;;;;;;;;x 
EVTOPTA100091;I did not want this, I don't want a rival!;;;;;;;;;x 
EVTDESC100092;My embroidery was lovely and I had worked so hard and gotten so much praise for it that I almost felt physically sick when [From.GetFirstName] grabbed it and started tearing it apart, almost screaming in anger and jealousy as [From.GetSheHe] destroyed my embroidery.;;;;;;;;;x 
EVTOPTA100092;I hate you so much! How could you? I HATE you!;;;;;;;;;x 
EVTTOOLTIP100093;[Root.GetTitledFirstName] will never forgive [This.GetTitledFirstName] for destroying [Root.GetHerHis] beautiful embroidery;;;;;;;;;x 
EVTOPTB100092;You are right, I can do better than this...;;;;;;;;;x 
EVTDESC100093;It was as if madness and jealousy had taken control over my body, the embroidery lay in pieces by my feet without me having any memory of grabbing it and ripping it apart. [From.GetFirstName] stared at me before [From.GetSheHe] burst into tears and was soothed by the other women whose accusatory eyes I fled. I heard [From.GetFirstName] announcing that [From.GetSheHe] would never forgive me for destroying [From.GetHerHis] embroidery.;;;;;;;;;x 
EVTOPTA100093;I have just gained a rival...;;;;;;;;;x 
EVTDESC100094;[From.GetFirstName] really tried to humble [From.GetHerselfHimself], ooohed and aaahed over my embroidery and agreed with the other women that my stitches were the tiniest and the motif even more beautiful than [From.GetHersHis]. I wasn't surprised then when [From.GetFirstName] lingered and asked me if I could teach [From.GetHerHim] to embroider as well as I can.;;;;;;;;;x 
EVTOPTA100094;It would be my pleasure. Come, let us start immediately!;;;;;;;;;x 
EVTTOOLTIP100095;[Root.GetTitledFirstName] and [This.GetTitledFirstName] bond over their embroidery;;;;;;;;;x 
EVTOPTB100094;You are unteachable - just look at that mess!;;;;;;;;;x 
EVTTOOLTIP100096;[Root.GetTitledFirstName] scornful comment angers [This.GetTitledFirstName];;;;;;;;;x 
EVTDESC100095;[From.GetFirstName] was so sweet and told me my embroidery was beautiful, no matter what other people thought about it. We talked while [From.GetFirstName] showed me how [From.GetSheHe] managed to make [From.GetHerHis] stitches so, so small and even gave me a motif [From.GetSheHe] had designed [From.GetHerselfHimself]!;;;;;;;;;x 
EVTOPTA100095;I forgot my jealousy and won a friend!;;;;;;;;;x 
EVTDESC100096;Even though I humbled myself, agreed with the other women that [From.GetFirstName]'s embroidery was much more lovely than mine in every way, [From.GetFirstName] weren't as gracious as [From.GetSheHe] should've been when I asked [From.GetHerHim] to give me some advice about embroidery. [From.GetFirstName] was outright scornful and told me I had made a mess out of my embroidery!;;;;;;;;;x 
EVTOPTA100096;What! That's not true, take that back!;;;;;;;;;x 
EVTDESC100100;I have lost my doll! She's nowhere to be found, could someone have taken her? I miss her so much, she's my bestest friend!;;;;;;;;;x 
EVTOPTA100100;I will find the one who took her and make them give her back!;;;;;;;;;x 
EVTTOOLTIP100101;[Root.GetTitledFirstName] confronts [This.GetTitledFirstName];;;;;;;;;x 
EVTOPTB100100;I will never, ever find her...;;;;;;;;;x 
EVTDESC100101;I was playing with my new doll I've found forgotten in the kitchen when [From.GetFirstName] attacked me and tried to take the doll from me. [From.GetFirstName] screamed at me to give back her doll and grew more agitated as I kept holding on to the doll.;;;;;;;;;x 
EVTOPTA100101;Can I still play with her sometimes?;;;;;;;;;x 
EVTTOOLTIPA100102;[Root.GetTitledFirstName] gives the doll back to [This.GetTitledFirstName];;;;;;;;;x 
EVTOPTB100101;Fine, whatever. It's not even a pretty doll;;;;;;;;;x 
EVTOPTC100101;This doll is mine now!;;;;;;;;;x 
EVTTOOLTIPB100102;[Root.GetTitledFirstName] refuses to give back the doll to [Root.GetTitledFirstName];;;;;;;;;x 
EVTDESC100102;I saw my doll in [From.GetFirstName]'s arms and screamed at [From.GetHerHim] to give me my Dolly back! I was so upset, where had [From.GetFirstName] found my doll? And why hadn't [From.GetSheHe] given Dolly back to me yet?;;;;;;;;;x 
EVTOPTA100102;I got my doll back! I decided we could both play with her as a thank-you;;;;;;;;;x 
EVTOPTB100102;[From.GetFirstName] called Dolly ugly! But [From.GetSheHe] gave her back...;;;;;;;;;x 
EVTOPTC100102;[From.GetFirstName] refused to give me Dolly back!;;;;;;;;;x 
EVTDESC100105;Crusading in [Root.Location.GetName], so far away from friends and family is wearying. It is good I have my fellow commanders I can rely on for some good talks and laughs. We are all here for the same thing:;;;;;;;;;x 
EVTOPTA100105;Deus Vult! For the Glory of God!;;;;;;;;;x 
EVTTOOLTIP100106;agrees with [Root.GetTitledFirstName];;;;;;;;;x 
EVTOPTB100105;Deus Vult! For the prestige!;;;;;;;;;x 
EVTOPTC100105;Deus Vult! For the lands and wealth!;;;;;;;;;x 
EVTOPTD100105;I'm here only because I have to;;;;;;;;;x 
EVTDESC100106;When you are fighting a Holy War against the infidels, you need the commanders and soldiers beside you to be good, strong men you can trust. [From.GetTitledFirstName] and I have been crusading for a long time together in [From.Location.GetName] and we were discussing the reasons behind why we where here, in this God-forsaken land, fighting the infidels.;;;;;;;;;x 
EVTOPTA100106;[From.GetTitledFirstName] is wrong, not for the prestige;;;;;;;;;x 
EVTOPTB100106;[From.GetTitledFirstName] is wrong, not for the Glory of God;;;;;;;;;x 
EVTTOOLTIP100107;[Root.GetTitledFirstName] disagrees with [This.GetTitledFirstName];;;;;;;;;x 
EVTOPTC100106;I agree with [From.GetTitledFirstName]: For the prestige!;;;;;;;;;x 
EVTTOOLTIP100108;[Root.GetTitledFirstName] concurs with [This.GetTitledFirstName];;;;;;;;;x 
EVTOPTD100106;I agree with [From.GetTitledFirstName]: For the Glory of God!;;;;;;;;;x 
