#CODE;ENGLISH;;;;;;;;;x 
INTERACTION_CANNOT_INVITE_MARRIED;[Recipient.GetBestName] must not be married;;;;;;;;;x 
FORM_BLOOD_OATH_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§W has Formed a Blood Oath with [Recipient.GetBestName].;;;;;;;;;x 
FORM_BLOOD_OATH_INTERACTION_DECLINE_SETUP;Blood Oath offer Refused;;;;;;;;;x 
FORM_BLOOD_OATH_INTERACTION_DECLINE_LOG;§Y[Recipient.GetBestName]§W refused to form a Blood Oath with [Actor.GetBestName].;;;;;;;;;x 
FORM_BLOOD_OATH_INTERACTION_LETTER;I propose we form a Blood Oath to help each other throughout our lifespan.;;;;;;;;;x 
AI_AMBITION_LESS_THAN;AI Ambition less than ;;;;;;;;;x 
AI_AMBITION_AT_LEAST;AI Ambition at least ;;;;;;;;;x 
AI_HONOR_LESS_THAN;AI Honor less than ;;;;;;;;;x 
AI_HONOR_AT_LEAST;AI Honor at least ;;;;;;;;;x 
AI_RATIONALITY_LESS_THAN;AI Rationality less than ;;;;;;;;;x 
AI_RATIONALITY_AT_LEAST;AI Rationality at least ;;;;;;;;;x 
AI_GREED_LESS_THAN;AI Greed less than ;;;;;;;;;x 
AI_GREED_AT_LEAST;AI Greed at least ;;;;;;;;;x 
AI_ZEAL_LESS_THAN;AI Zeal less than ;;;;;;;;;x 
AI_ZEAL_AT_LEAST;AI Zeal at least ;;;;;;;;;x 
AIREASON_CLAN_OPINION;Clan Sentiment of §Y[Clan.GetName]§!;;;;;;;;;x 
AIREASON_MY_KHAN;My Khan;;;;;;;;;x 
AIREASON_BLOOD_BROTHER;[GetTitledFirstName] is my Blood Brother;;;;;;;;;x 
AIREASON_FEUD;At feud with [GetTitledFirstName];;;;;;;;;x 
clan_opinion_absorbed_clan;Absorbed Clan;;;;;;;;;x 
clan_opinion_absorbed_blood_brother_clan;Absorbed the Clan of my Blood Brother;;;;;;;;;x 
clan_opinion_absorbed_my_clan;Tried to Absorb My Clan;;;;;;;;;x 
SETTLE_FEUD_INTERACTION_TITLE;Settle Feud;;;;;;;;;x 
#SETTLE_FEUD_INTERACTION_DESC;Attempt to reconcile with the [Recipient.Clan.GetName].;;;;;;;;;x 
#SETTLE_FEUD_INTERACTION_LONG_DESC;Attempt to reconcile with the [Recipient.Clan.GetName].;;;;;;;;;x 
SETTLE_FEUD_INTERACTION_ACCEPT_SETUP;Feud Settled;;;;;;;;;x 
SETTLE_FEUD_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§W Settled the Feud with the [Recipient.Clan.GetName].;;;;;;;;;x 
SETTLE_FEUD_INTERACTION_DECLINE_SETUP;Settle Feud Offer Declined;;;;;;;;;x 
SETTLE_FEUD_INTERACTION_DECLINE_LOG;§Y[Recipient.GetBestName]§W refused to Settle the Feud with the [Actor.Clan.GetName].;;;;;;;;;x 
SETTLE_FEUD_INTERACTION_LETTER;[Actor.GetBestName] has sent a messenger bringing luxurious gifts in hopes that these extravagencies shall make me forget the conflict between the [Actor.Clan.GetName] and the [Recipient.Clan.GetName].;;;;;;;;;x 
EVTDESC507;The feud has finally come to an end and our people can again know peace.;;;;;;;;;x 
EVTOPTA507;At last!;;;;;;;;;x 
EVTDESC508;The [From.Clan.GetName] are stubborn and refuses to put our issues behind us.;;;;;;;;;x 
EVTOPTA508;They are a simple people...;;;;;;;;;x 
AIREASON_OTHER_FEUDS;Have Other Feuds;;;;;;;;;x 
NUM_OF_TITLES_IN_REALM_LESS;Less than §Y$VAL$§W $TIER$ titles in realm.;;;;;;;;;x 
NUM_OF_TITLES_IN_REALM_LEAST;At least §Y$VAL$§W $TIER$ titles in realm.;;;;;;;;;x 
NUM_OF_TITLES_IN_REALM_LESS_2;Less than §Y$VAL$§W titles in realm.;;;;;;;;;x 
NUM_OF_TITLES_IN_REALM_LEAST_2;At least §Y$VAL$§W titles in realm.;;;;;;;;;x 
LOOTING_BLOOD_BROTHER;Cannot raid our Blood Brothers.;;;;;;;;;x 
SPLIT_CLAN_INTERACTION_TITLE;Split Clan;;;;;;;;;x 
SPLIT_CLAN_INTERACTION_DESC;Split the §Y[Recipient.Clan.GetName]§!.;;;;;;;;;x 
SPLIT_CLAN_INTERACTION_LONG_DESC;Splitting Clans is a good way to keep your Clan vassals weak. Creating too many Clans however will make them upset about the competition. The new Clan will appreciate the power given to them and be loyal to you, for a while..;;;;;;;;;x 
SPLIT_CLAN_INTERACTION_ACCEPT_SETUP;Clan Splitted;;;;;;;;;x 
SPLIT_CLAN_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§! splitted the §Y[Recipient.Clan.GetName]§! clan.;;;;;;;;;x 
SPLIT_CLAN_INTERACTION_DECLINE_SETUP;Clan Splitting Refused;;;;;;;;;x 
SPLIT_CLAN_INTERACTION_DECLINE_LOG;§Y[Recipient.GetBestName]§! refused the splitting of the §Y[Recipient.Clan.GetName]§! clan, requested by §Y[Actor.GetBestName]§!;;;;;;;;;x 
SPLIT_CLAN_INTERACTION_0;Split the §Y[Recipient.Clan.GetName]§! and give §Y$TITLE$§! to a new Clan.;;;;;;;;;x 
SPLIT_CLAN_INTERACTION_1;This will lower §Y[Recipient.GetTitledFirstName]§!'s Clan Sentiment of you by §R$VAL$§!.;;;;;;;;;x 
SPLIT_CLAN_INTERACTION_2;[Recipient.GetHerHis] Blood Brother §Y$BLOOD_BROTHER$§!'s Clan Sentiment towards you will also be lowered by §R$VAL$§!.;;;;;;;;;x 
SPLIT_CLAN_INTERACTION_3;All clan vassals will become upset as there is already enough clans in the realm, decreasing their Sentiment towards you by §R$VAL$§!.;;;;;;;;;x 
SPLIT_CLAN_INTERACTION_4;Other clan vassals will not mind, as they do not think there are too many clans in the realm.;;;;;;;;;x 
EVTDESC509;I humbly accept your decision to split my Clan, though it grieves me deeply.;;;;;;;;;x 
EVTDESC510;I will not allow you to steal my people without a fight! You are no longer my Khan.;;;;;;;;;x 
#clan_opinion_splitted_blood_brother_clan;Splitted the Clan of my Blood Brother;;;;;;;;;x 
#clan_opinion_splitted_my_clan;Splitted My Clan;;;;;;;;;x 
clan_opinion_created;Loyal Clan;;;;;;;;;x 
INTERACTION_REQUIRES_NOT_BLOOD_BROTHER;[Recipient.GetBestName] is not Blood Brother of [Actor.GetBestName].;;;;;;;;;x 
INTERACTION_REQUIRES_NOT_FEUD;[Recipient.GetBestName] is not at Feud with [Actor.GetBestName].;;;;;;;;;x 
INTERACTION_REQUIRES_RECIPIENT_IS_ACTOR_OR_RECIPIENT_MOST_POPULOUS_VASSAL;Can only be used against self or the most Populous Clan vassal.;;;;;;;;;x 
INTERACTION_REQUIRES_VALID_EMPTY_PROVINCE;[Recipient.GetBestName] must have a valid province without a capital settlement to take.;;;;;;;;;x 
alert_over_clan_limit_instant;§YOver Clan Limit§!;;;;;;;;;x 
alert_over_clan_limit_delayed;You have §R$NUM$§!/§Y$MAX$§! Clans, giving you a Clan Sentiment penalty towards all Clan vassals.;;;;;;;;;x 
alert_over_clan_limit_name;Over Clan Limit;;;;;;;;;x 
#CLAN_SIZE;Desired Clan Size;;;;;;;;;x 
TOTAL_POPULATION_DESC;§YTotal Population in Realm§!;;;;;;;;;x 
#CLAN_SIZE_DESC;The Desired Clan Size is determined by the size of the realm. Having too many clans will negatively affect the Clan Sentiment of all vassal clans towards their liege. Being too far below the Desired Clan Size will put the Khan at the risk of a Clan Revolt. When the Maximum Possible Clan Size has been reached, you can no longer use the Split Clan interaction and any subjugated Nomad will become a Tribal ruler instead.;;;;;;;;;x 
#CLAN_LIMIT_FORMULA;Desired Clan Size Formula;;;;;;;;;x 
alert_too_few_clans_instant;§YClans Want More Land§!;;;;;;;;;x 
alert_too_few_clans_delayed;You hold too much land compared to the other Clans. Hand out §Y$NUM$§! counties or you might face revolts from the existing Clans as it negatively affects their §YClan Sentiment§! of you. You can also face a §YMinor Clan Rising§! revolt to seize its rightful position among the major Clans...;;;;;;;;;x 
alert_too_few_clans_name;Clans Want More Land;;;;;;;;;x 
#MIN_CLAN_LIMIT_FORMULA;Minimum Clan Size Formula;;;;;;;;;x 
#MIN_CLAN_LIMIT;Minimum Clan Size;;;;;;;;;x 
MAX_CLAN_LIMIT;Maximum Possible Clans;;;;;;;;;x 
SPLIT_CLAN_INTERACTION_LETTER;I have decided to revoke the lands of [ThirdPartyTitle.GetFullName] and give it to a new clan. Failure to hand it over peacefully will lead to war.;;;;;;;;;x 
ABSORB_CLAN_INTERACTION_LETTER;I have decided to seize your lands and merge your clan with mine. Failure to hand over your lands peacefully will lead to war.;;;;;;;;;x 
MODIFIER_RETINUE_MAINTENENCE_COST;Retinue Maintenence Cost;;;;;;;;;x 
MODIFIER_HORDE_MAINTENENCE_COST;Horde Maintenence Cost;;;;;;;;;x 
MODIFIER_CLAN_SENTIMENT;Clan Sentiment;;;;;;;;;x 
CAPITAL_AT_TRADE_POST_MODIFIER;In Capital;;;;;;;;;x 
CAPITAL_ADJACADENT_TO_TRADE_POST_MODIFIER;Adjacadent to Capital;;;;;;;;;x 
NOMAD_HORSE_OFFENSIVE_MODIFIER;Capital is in a Steppe, Desert or Plains province;;;;;;;;;x 
NOMAD_HORSE_DEFENSIVE_MODIFIER;Capital is in a Mountains, Hills or Arctic province;;;;;;;;;x 
MODIFIER_GLOBAL_WINTER_SUPPLY;Global Winter Supply;;;;;;;;;x 
BUILDING_ACTIVE;This building is only active while;;;;;;;;;x 
CAPITAL_AT_HOLY_SITE;Capital at $RELIGION$ Holy Site: §G+$VALUE$§!;;;;;;;;;x 
COMMANDER_LIMIT;Commander Limit: §Y$LIMIT$§!;;;;;;;;;x 
RULER_HAS_MOVED_CAPITAL_RECENTLY;§Y[GetTitledFirstName]§! is not allowed to move the capital again in $MONTHS$ months - unless it's back to the traditional capital of [PrimaryTitle.GetName].;;;;;;;;;x 
CONFIRM_MAKE_CAPITAL_DESC;Are you sure you want to move your court to $PROVINCE$, making it your capital?;;;;;;;;;x 
CONFIRM_MAKE_CAPITAL_DESC_0;$GOVERNMENT$ Rulers can only do this once in their lifetime.;;;;;;;;;x 
CONFIRM_MAKE_CAPITAL_DESC_1;You will not be able to change capital again for $MONTHS$ months.;;;;;;;;;x 
MOVED_CAPITAL_MONTHS_MULT;Capital Movement Delay Modifier;;;;;;;;;x 
convert_fort_to_city_desc;I can upgrade the Fort of [Root.County.GetBaseName] to a prosperous City.;;;;;;;;;x 
convert_fort_to_castle_desc;I can upgrade the Fort of [Root.County.GetBaseName] to a glorious Castle.;;;;;;;;;x 
convert_fort_to_temple_desc;I can upgrade the Fort of [Root.County.GetBaseName] to a holy Temple.;;;;;;;;;x 
convert_fort_to_tribal_desc;I can upgrade the Fort of [Root.County.GetBaseName] to a Tribal Holding.;;;;;;;;;x 
NOMAD_CANNOT_MOVE_CAPITAL_TO_HOLDING;Nomads can only move their Capital to provinces with an empty primary holding slot.;;;;;;;;;x 
#MANPOWER_BREAKDOWN;Manpower Breakdown;;;;;;;;;x 
INTERACTION_REQUIRES_RECIPIENT_NO_OCCUPIED_PROVINCES;[Recipient.GetBestName] have no occupied provinces.;;;;;;;;;x 
#EMPTY_PROVINCES_IN_REALM;Empty Provinces in Realm;;;;;;;;;x 
MAPMODE_TRADE_ZONES;§YTrade Zones§!;;;;;;;;;x 
#MAPMODE_TRADE_ZONES_DESC;All Trade Zones, separated by their owner.;;;;;;;;;x 
TRADEZONE_OWNER_REPUBLIC;This Trade Zone is owned by the §Y$FAMILY$§! Family of §YThe $REPUBLIC$§!;;;;;;;;;x 
TRADEZONE_OWNER;This Trade Zone is owned by §Y$HOLDING$§!;;;;;;;;;x 
tut_2c_9;Spymaster - Scheme, build spy network, study technology.;;;;;;;;;x 
tut_2c_10;Court Chaplain - Proselytize, research cultural tech, improve religious relations.;;;;;;;;;x 
#PROVINCE_EXTEND_DESC;Forts and Trade Posts;;;;;;;;;x 
MAKE_CONSORT_INTERACTION_LONG_DESC;You can have up to three concubines in addition to your wife. Concubines are not truly married, but will bear their liege's legitimate children. A woman who is the prisoner of a ruler can be forced to become his concubine, even if she is already married.;;;;;;;;;x 
TECH_DESC_NOMAD_CAPITAL;Advancements in your Capital Holding of $NAME$;;;;;;;;;x 
SPREAD_FROM_NOMAD_CAPITAL;Nomad Capital Bonus;;;;;;;;;x 
SPREAD_TO_NOMAD_CAPITAL;Province Bonus;;;;;;;;;x 
TECH_GROWTH_NOMAD_CAPITAL_SETUP;Advancement in Nomad Capital;;;;;;;;;x 
TECH_GROWTH_NOMAD_CAPITAL_LOG;Local knowledge of $TECH$ in $NAME$ increased to level §Y$LEVEL$§!;;;;;;;;;x 
TECH_GROWTH_PROG_NOMAD_CAPITAL_SETUP;Advancement Progress in Nomad Capital;;;;;;;;;x 
TECH_GROWTH_PROG_NOMAD_CAPITAL_LOG;Local progress of $TECH$ advancement in $NAME$ increased to §Y$PROG$§!;;;;;;;;;x 
RULER_CANNOT_MOVE_CAPITAL_AT_WAR;You can only move your Capital during peacetime.;;;;;;;;;x 
faction_overthrow;Overthrow Khan;;;;;;;;;x 
faction_overthrow_title;Overthrow Khan;;;;;;;;;x 
faction_overthrow_desc;Members desire §Y[From.GetBestName]§! as the new leader for the §Y[This.GetFullName]§!. When sufficiently powerful, §Y[From.GetBestName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§!;;;;;;;;;x 
#CB_NAME_INSTALLKHAN;Install $ATTACKER$ as Khan of $SECOND$;;;;;;;;;x 
WAR_NAME_INSTALLKHAN;Install $ATTACKER$ as Khan of $SECOND$;;;;;;;;;x 
EVTDESC8210;You have shown yourself weak and I speak for all the clans when I say that it is time for you to hand over the bridle to someone more worthy.\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTDESC8211;The weak Khan has agreed to our demands and have to surrender himself to us.;;;;;;;;;x 
EVTDESC8212;A faction led by disgruntled Clan-Chiefs have ended without bloodshed as the previous Khan surrendered.;;;;;;;;;x 
EVTDESC8213;I surrender myself to you [Root.GetTitledName] and only beg of you to have mercy upon me and my house...;;;;;;;;;x 
EVTOPTA8213;Your clan has served us well, you shall live for now...;;;;;;;;;x 
EVTOPTB8213;Cowards like you have no place among us!;;;;;;;;;x 
NOMAD_TECH_LEECH;Tributary tech contribution;;;;;;;;;x 
IMPRISON_INTERACTION_FORCED;Because of their different way of governance, none of your Clans will object to the imprisonment of this outsider.;;;;;;;;;x 
EXECUTE_INTERACTION_FORCED;Because of their different way of governance, none of your Clans will object to the execution of this outsider.;;;;;;;;;x 
EXILE_INTERACTION_FORCED;Because of their different way of governance, none of your Clans will object to the exile of this outsider.;;;;;;;;;x 
PILLAGE_DESTROY_BUILDINGS;Pillaging this land will result in buildings being destroyed!\n;;;;;;;;;x 
burnt_the_land;Burned the Land;;;;;;;;;x 
recently_burnt_the_land;Recently burned the Land;;;;;;;;;x 
pillage_settlement;Pillage Holding;;;;;;;;;x 
pillage_settlement_desc;Pillage Holding;;;;;;;;;x 
REVOKE_TITLE_INTERACTION_LARGE_NOMAD;Since this ruler has a larger realm than us we can revoke some of their land with just cause.;;;;;;;;;x 
faction_overthrow_ultimatum;Overthrow Khan;;;;;;;;;x 
faction_overthrow_ultimatum_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding [Root.Liege.GetHerHim] to step down from the throne and install you as the new khan. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.;;;;;;;;;x 
#;;;;;;;;;;x 
