#CODE;ENGLISH;;;;;;;;;x 
set_government_type;Government is changed to §Y$GOVERNMENT$§!\n;;;;;;;;;x 
EVTOPTC_WOL_5011_VELES;Poor Veles!;;;;;;;;;x 
EVTOPTC_WOL_5011_GURUHI;Poor Guruhi!;;;;;;;;;x 
EVTOPTC_WOL_5011_DARKNESS;Poor Darkness!;;;;;;;;;x 
EVTOPTC_WOL_5011_AHRIMAN;Poor Ahriman!;;;;;;;;;x 
EVTOPTC_WOL_5011_SATAN;Poor Satan!;;;;;;;;;x 
EVTOPTC_WOL_5011_VINAYAKA;Poor Vinayaka!;;;;;;;;;x 
EVTOPTC_WOL_5011_MARA;Poor Mara!;;;;;;;;;x 
EVTOPTC_WOL_5011_PUNISHER;Poor Punisher!;;;;;;;;;x 
EVTOPTD_WOL_5011;I'll have [FromFrom.GetHerHis] head for this!;;;;;;;;;x 
EVTDESC_HL_5014;You are out taking a walk together with [FromFrom.GetFirstName] when [From.GetFirstName] approaches you with a concern. According to Chinese law [From.GetSheHe] is required to get a woman to continue his services more permanently.;;;;;;;;;x 
EVTOPTA_HL_5014;Ahem.. We were just discussing that matter, [FromFrom.GetFirstName]. Right?;;;;;;;;;x 
EVTOPTB_HL_5014;I guess I have no more need of your services then.;;;;;;;;;x 
EVTDESC_HL_5016;Dust rise in your wake as you head for the local tavern with heavy steps. As you enter, you instantly notice [From.GetFirstName], seemingly involved in a game of chance. You approach [From.GetHerHim] and realize that [From.GetSheHe] is betting your money on games of chance... and losing. [From.GetFirstName] looks up at you with a smile and says: 'Hey. Your drinksch are taschty'.;;;;;;;;;x 
EVTOPTA_HL_5016;Just stay away from these people.;;;;;;;;;x 
EVTOPTB_HL_5016;Arrest this [From.GetManWoman].;;;;;;;;;x 
EVTDESC_HL_5045;[Root.GetTitledFirstName],\n\nI hereby inform you that I'm leaving the position at your court because of the less than preferable way that you have treated me.\n\nSigned\n[From.GetFirstName];;;;;;;;;x 
EVTOPTA_HL_5045;That's too bad.;;;;;;;;;x 
EVTDESC_HL_5048;[Root.GetTitledFirstName]\n\nYour insolence has not gone unnoticed. I will henceforth punish all travellers who are suspected of having have visited your city. \n\nSigned,\nThe Emperor.;;;;;;;;;x 
EVTOPTA_HL_5048;This could be bad for trade.;;;;;;;;;x 
EVTDESC_HL_5050;Reports have reached us that traders and travellers are being harassed by raiders in your lands of [Root.GetName].;;;;;;;;;x 
EVTOPTA_HL_5050;I'll let them continue if they share the loot.;;;;;;;;;x 
EVTOPTB_HL_5050;Send my marshal to hunt them down.;;;;;;;;;x 
EVTOPTC_HL_5050;Ready my horse. I'll get rid of the scoundrel.;;;;;;;;;x 
LOST_CONTROL_PROVINCE;Lost control of §Y$PROVINCE$§W;;;;;;;;;x 
HAS_CONTROL_PROVINCE;Occupation of §Y$PROVINCE$§W;;;;;;;;;x 
NOMAD_TECH_POINTS;Nomads do not generate technology points.;;;;;;;;;x 
fort;Fort;;;;;;;;;x 
convert_fort_to_city;Upgrade to City;;;;;;;;;x 
convert_fort_to_castle;Upgrade to Castle;;;;;;;;;x 
convert_fort_to_temple;Upgrade to Temple;;;;;;;;;x 
convert_fort_to_tribal;Upgrade to Tribal;;;;;;;;;x 
HOLY_SITE_NO_SETTLEMENT;(not settled);;;;;;;;;x 
CANNOT_BUILD;Your government doesn't allow you to build this.;;;;;;;;;x 
b_argh;Argh;;;;;;;;;x 
b_anthrachs;Anthrachs;;;;;;;;;x 
b_dunkheger;Dünkheger;;;;;;;;;x 
b_muztau;Muztau;;;;;;;;;x 
b_kyzyl;Kyzyl;;;;;;;;;x 
b_otuken;Ötüken;;;;;;;;;x 
b_erchis;Erchis;;;;;;;;;x 
b_gorgol;Gorgol;;;;;;;;;x 
b_khangai;Khangai;;;;;;;;;x 
b_kara_khorum;Kara Khorum;;;;;;;;;x 
b_baygal;Baygal;;;;;;;;;x 
b_aj_bogd;Aj Bogd;;;;;;;;;x 
b_ikh_bogd;Ikh Bogd;;;;;;;;;x 
b_tsagaannuur;Tsagaanuur;;;;;;;;;x 
b_yarkand;Yarkand;;;;;;;;;x 
b_kashgar;Kashgar;;;;;;;;;x 
b_aksu_mongolia;Aksu;;;;;;;;;x 
b_tumshuk;Tumshuk;;;;;;;;;x 
b_khotan;Khotan;;;;;;;;;x 
b_keriya;Keriya;;;;;;;;;x 
b_niya;Niya;;;;;;;;;x 
b_cherchen;Cherchen;;;;;;;;;x 
b_charkliq;Charkliq;;;;;;;;;x 
b_miran;Miran;;;;;;;;;x 
b_karashar;Karashar;;;;;;;;;x 
b_kucha;Kucha;;;;;;;;;x 
b_kara_khoja;Kara Khoja;;;;;;;;;x 
b_luntai;Luntai;;;;;;;;;x 
b_dunhuang;Dunhuang;;;;;;;;;x 
b_anxi;Anxi;;;;;;;;;x 
b_kumul;Kumul;;;;;;;;;x 
b_gobi;Gobi;;;;;;;;;x 
d_trondelag;Nidaros;;;;;;;;;x 
c_trondelag;Nidaros;;;;;;;;;x 
c_trondelag_adj;Trondish;;;;;;;;;x 
PROV275;Nidaros;;;;;;;;;x 
PROV1438;Yarkand;;;;;;;;;x 
PROV1439;Kashgar;;;;;;;;;x 
PROV1440;Khotan;;;;;;;;;x 
PROV1441;Cherchen;;;;;;;;;x 
PROV1442;Charkliq;;;;;;;;;x 
PROV1443;Karashar;;;;;;;;;x 
PROV1444;Kucha;;;;;;;;;x 
PROV1445;Aksu;;;;;;;;;x 
PROV1446;Kara Khoja;;;;;;;;;x 
PROV1447;Loulan;;;;;;;;;x 
PROV1448;Dunhuang;;;;;;;;;x 
PROV1449;Luntai;;;;;;;;;x 
PROV1450;Kumul;;;;;;;;;x 
PROV1451;Altay;;;;;;;;;x 
PROV1452;Dünkheger;;;;;;;;;x 
PROV1453;Aj Bogd;;;;;;;;;x 
PROV1454;Muztau;;;;;;;;;x 
PROV1455;Tsagaannuur;;;;;;;;;x 
PROV1456;Ikh Bogd;;;;;;;;;x 
PROV1457;Kara Khorum;;;;;;;;;x 
PROV1458;Khangai;;;;;;;;;x 
PROV1459;Kyzyl;;;;;;;;;x 
PROV1460;Baygal;;;;;;;;;x 
PROV1461;Ötüken;;;;;;;;;x 
PROV1462;Gorgol;;;;;;;;;x 
PROV1463;Erchis;;;;;;;;;x 
PROV1408;Anxi;;;;;;;;;x 
empire_of_altaic;Empire of;;;;;;;;;x 
duke_sogdian;Ikhshid;;;;;;;;;x 
create_title_interaction_TITLE;Create Title;;;;;;;;;x 
destroy_title_interaction_TITLE;Destroy;;;;;;;;;x 
make_primary_title_interaction_TITLE;Make Primary Title;;;;;;;;;x 
make_primary_title_interaction_DESC;I can declare this my primary title.;;;;;;;;;x 
UNREFORMED_TRIBAL_VASSAL_OPINION;Unreformed Pagan Tribal Vassal Opinion;;;;;;;;;x 
EVTDESC8031;For too long, you have restricted our rights. The time has come to Lower Tribal Organization! With your regent, [Root.Regent.GetTitledName], among my supporters you have no other choice than to accept.\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
tribal_contract_0_option;Min;;;;;;;;;x 
tribal_contract_1_option;Normal;;;;;;;;;x 
tribal_contract_2_option;Large;;;;;;;;;x 
tribal_contract_3_option;Max;;;;;;;;;x 
tribal_tax_0_option;None;;;;;;;;;x 
tribal_tax_1_option;Min;;;;;;;;;x 
tribal_tax_2_option;Medium;;;;;;;;;x 
tribal_tax_3_option;Large;;;;;;;;;x 
TRIBAL_CANT_BUILD_HOLDINGS_DESC;Empty Holding slots actually provide more troops for Tribes. To build proper Holdings you need to become either a Feudal state or a Republic (check your Decisions.);;;;;;;;;x 
GREAT;Great!;;;;;;;;;x 
GLORY;Glory!;;;;;;;;;x 
alert_powerful_factions_name;Dangerous Factions;;;;;;;;;x 
has_fewer_trade_post_than;Has fewer than §Y$NUM$§! Trade Posts;;;;;;;;;x 
has_more_trade_post_than;Has at least §Y$NUM$§! Trade Posts;;;;;;;;;x 
num_trade_post_diff_lower_than;Difference between §Y$FIRST$§! and §Y$SECOND$§!'s Trade Posts lower than §Y$VAL$§!;;;;;;;;;x 
num_trade_post_diff_at_least;Difference between §Y$FIRST$§! and §Y$SECOND$§!'s Trade Posts at least §Y$VAL$§!;;;;;;;;;x 
#;;;;;;;;;;x 
