#CODE;ENGLISH;;;;;;;;;x 
EVTOPTA_TOG_118;Punish the fool!;;;;;;;;;x 
EVTOPTB_TOG_118;A reprimand will be enough.;;;;;;;;;x 
EVTDESC_TOG_150;The horde of frantic animals has been corralled into a clearing and they are now completely surrounded by your forces. As the [Root.GetTitle], you and your closest retinue will be given the first opportunity to engage in the killing sport. Only after you are finished will your vassals be allowed to hunt.;;;;;;;;;x 
EVTOPTA_TOG_150;Hand me my bow.;;;;;;;;;x 
EVTDESC_TOG_151;The horde of frantic animals has been corralled into a clearing and they are now completely surrounded by the [Root.Liege.GetTitle]'s forces. As is [Root.Liege.GetHerHis] right, the [Root.Liege.GetTitle] and [Root.Liege.GetHerHis] closest retinue will start the killing. When [Root.Liege.GetSheHe] is finished, it will be your turn along with the other vassals.;;;;;;;;;x 
EVTOPTA_TOG_151;At last.;;;;;;;;;x 
EVTDESC_TOG_152;You spend a few hours hunting the trapped game, and it soon becomes obvious to everyone that you have a real knack for this. The arrows from your bow easily find their marks, and you seem better able than most in predicting the behavior of the animals.;;;;;;;;;x 
EVTOPTA_TOG_152;These furs will warm me in the cold winter months.;;;;;;;;;x 
EVTDESC_TOG_158;One of your warriors has demonstrated exceptional skill during the Nerge, both in sheer martial ability and in the art of effectively commanding a large body of men. He is brought before his [Root.GetTitle], and your advisors suggest that you consider elevating him into a position in your court.;;;;;;;;;x 
EVTOPTA_TOG_158;Yes, make it so.;;;;;;;;;x 
EVTOPTB_TOG_158;No, he belongs with the other soldiers.;;;;;;;;;x 
EVTDESC_TOG_159;As a gift, one of your warriors participating in the Great Hunt has offered you an exceptional bear cub that he managed to tie up and capturing while advancing with the rest of your forces. The animal's fur is white and its eyes are a deep red ?it seems to be an albino.;;;;;;;;;x 
EVTOPTA_TOG_159;Thank you for this gift.;;;;;;;;;x 
EVTOPTB_TOG_159;Rid me of this abomination!;;;;;;;;;x 
EVTDESC_TOG_160;A high-pitched shriek outside your yurt draws your attention. As you push the flaps aside, you spot [From.GetTitledFirstName] lying wounded on the ground not far from your chained pet albino bear. It looks like [From.GetSheHe] got too close to the powerful animal. You return back inside your yurt to focus on more important matters.;;;;;;;;;x 
EVTOPTA_TOG_160;Now where was I...;;;;;;;;;x 
EVTDESC_TOG_161;A high-pitched shriek outside your yurt draws your attention. As you push the flaps aside, you spot [From.GetTitledFirstName] lying maimed on the ground not far from your chained pet albino bear. It looks like [From.GetSheHe] got too close to the powerful animal. You return back inside your yurt to focus on more important matters.;;;;;;;;;x 
EVTDESC_TOG_162;A high-pitched shriek outside your yurt draws your attention. As you push the flaps aside, you spot [From.GetTitledFirstName] lying dead on the ground not far from your chained pet albino bear. It looks like [From.GetSheHe] got too close to the powerful animal. You return back inside your yurt to focus on more important matters.;;;;;;;;;x 
EVTDESC_TOG_163;Some visiting foreign dignitaries who have come to offer tribute to you, the great [Root.GetTitle], have become very impressed with your pet albino bear. They claim never to have seen such a magnificent beast, and that you must be a powerful leader indeed to have enslaved it.;;;;;;;;;x 
EVTOPTA_TOG_163;It is the truth.;;;;;;;;;x 
EVTDESC_TOG_164;Some travelers from faraway Hindustan have offered to teach your pet bear to dance, and you have accepted their offer. After spending many months at your court, they have succeeded and you have become renowned throughout the world as the mighty [Root.GetTitle] with the dancing white bear.;;;;;;;;;x 
EVTOPTA_TOG_164;I... I can't stop... dancing...;;;;;;;;;x 
EVTDESC_TOG_165;Your pet albino bear does not seem to be feeling well. It refuses to eat, and its handlers are at a loss to explain what might be wrong with it. Could it be that the proud animal has grown tired of its chains and yearns to be free?;;;;;;;;;x 
EVTOPTA_TOG_165;Release the bear back into the wilds.;;;;;;;;;x 
EVTOPTB_TOG_165;Nonsense. It's better off here.;;;;;;;;;x 
EVTDESC_TOG_166;Sadly, you discovered this morning that your pet albino bear has passed away. The poor animal will get a proper funeral.;;;;;;;;;x 
EVTOPTA_TOG_166;A dark day...;;;;;;;;;x 
EVTDESC_TOG_169;As per tradition, some of your older soldiers have come before you to plead for the life of those few animals that remain in the encircled clearing. Their release, as a display of the [Root.GetTitle]'s mercy, usually signals the end of the Nerge, and the beginning of nine days of feasting.;;;;;;;;;x 
EVTOPTA_TOG_169;Yes. As is tradition, these animals shall not be harmed.;;;;;;;;;x 
EVTOPTB_TOG_169;No, kill them all! No survivors!;;;;;;;;;x 
EVTDESC_TOG_170;With the hunt over and the fallen game collected, a magnificent feast has been prepared for all who took part. The next nine days will be ones of drunken revelry and celebration.;;;;;;;;;x 
EVTOPTA_TOG_170;Let us drink and be merry!;;;;;;;;;x 
EVTDESC_TOG_180;With the feasting over, the remaining spoils of the hunt are divided evenly between all of the forces that participated. As everyone departs, you survey the surrounding land. It will be some time before the wildlife in this region recovers from this slaughter, but when that happens, the time will be ripe for another Great Hunt.;;;;;;;;;x 
EVTOPTA_TOG_180;May it go as well as this one did.;;;;;;;;;x 
EVTDESC_TOG_181;With the present war, the Great Hunt has been called off and you and your men will have to get your training hunting the most dangerous game of all ?Man. Perhaps when the dust has settled and peace returned, a new Nerge can be organized.;;;;;;;;;x 
EVTOPTA_TOG_181;A different breed of hunt, but a hunt all the same.;;;;;;;;;x 
hold_blot;Hold a Great Blot;;;;;;;;;x 
hold_blot_desc;Hold a great blot together with your vassals and offer sacrifice to the gods for good harvests and success on the battlefield. This can only be done every ninth year.;;;;;;;;;x 
held_blot_modifier;Sacrificed to the Gods;;;;;;;;;x 
prepare_blot;You begin preparations for the blot.;;;;;;;;;x 
blot_begins;The hangman readies his rope.;;;;;;;;;x 
feast_begins;Vassal opinion increases by §G+15? for §Y12? months.\nYou move inside the large feast hall...;;;;;;;;;x 
ukon_juhla_begins;You watch as the dancing flames rise towards the sky.;;;;;;;;;x 
uzgavenes_begins;It looks like spring shall come this year.;;;;;;;;;x 
EVTDESC_TOG_600;You have sent out summons to all of your vassals for the blot. Those that have been baptized or profess to follow the teachings of the Prophet will have to offer gold to be exempted from this magnificent feast.;;;;;;;;;x 
EVTOPTA_TOG_600;I can hardly wait!;;;;;;;;;x 
EVTTOOLTIP_TOG_601;Summoned to blot.;;;;;;;;;x 
EVTTOOLTIP_TOG_602;Exempted from blot.;;;;;;;;;x 
EVTDESC_TOG_601;Your wise liege, [From.GetTitledFirstName], has summoned you and [From.GetHerHis] other vassals to a blot. There you will worship and give sacrifice to the gods before taking part in a great feast where you drink to their name.;;;;;;;;;x 
EVTOPTA_TOG_601;I wouldn't miss it.;;;;;;;;;x 
EVTDESC_TOG_602;Your liege, [From.GetTitledFirstName], remains trapped in [From.GetHerHis] heathen ways, and now [From.GetSheHe] has summoned all of [From.GetHerHis] vassals to a blot where [From.GetSheHe] intends to give sacrifice to [From.GetHerHis] pagan gods. Since you do not practise their heathen religion, you will be expected to contribute gold in order to be exempted from this ceremony.;;;;;;;;;x 
EVTOPTA_TOG_602;I suppose I have no choice in the matter.;;;;;;;;;x 
EVTOPTB_TOG_602;As [This.Religion.GetRandomGodNameCap] is my witness, I shan't pay!;;;;;;;;;x 
EVTTOOLTIP_TOG_603;Your payment is received.;;;;;;;;;x 
EVTDESC_TOG_603;[From.GetTitledFirstName], your vassal, is stubborn in [From.GetHerHis] ways and speaks only of the mercy of [From.Religion.GetRandomGodNameCap], but [From.GetSheHe] has wisely decided to offer you some gold to be exempted from the blot.;;;;;;;;;x 
EVTOPTA_TOG_603;As well [From.GetSheHe] should.;;;;;;;;;x 
EVTTOOLTIP_TOG_636;Your refusal to pay is received.;;;;;;;;;x 
EVTDESC_TOG_636;Despite having sworn you fealty, [From.GetTitledFirstName] refuses to offer gold in order to be exempted from the blot! According to [From.GetFirstName], [From.Religion.GetRandomGodName] would not forgive [From.GetHerHim] if [From.GetSheHe] contributed as much as a single copper to a heathen festival.;;;;;;;;;x 
EVTOPTA_TOG_636;This insult will not be forgotten.;;;;;;;;;x 
EVTDESC_TOG_604;The guests have arrived, and the time has come for the blot to begin! You gather outside the temple, and start by offering animals as sacrifice to the gods. While their meat is prepared for the feast that is to follow, the blood is sprinkled on statues of Odin, Thor, Freyr and the other gods, as well as on the worshippers themselves.;;;;;;;;;x 
EVTOPTA_TOG_604;Now for the human sacrifice...;;;;;;;;;x 
EVTDESC_TOG_605;The time has come for the blot held by [From.GetTitledFirstName] to begin! You gather outside the temple, and start by offering animals as sacrifice to the gods. While their meat is prepared for the feast that is to follow, the blood is sprinkled on statues of Odin, Thor, Freyr and the other gods, as well as on the worshippers themselves.;;;;;;;;;x 
EVTDESC_TOG_606;Although you have been told little, the noise from outside your dungeon is enough to make it clear that your captor, [Root.Host.GetTitledFirstName] is holding a blot where [Root.Host.GetSheHe] will offer sacrifice in worship of [Root.Host.GetHerHis] gods. Guards burst inside your cell and drag you away to the gallows outside the local temple... ;;;;;;;;;x 
EVTOPTA_TOG_606;No! Not like this!;;;;;;;;;x 
EVTDESC_TOG_610;[From.GetTitledFirstName] is brought up from your dungeons and escorted to the temple. A noose is placed around [From.GetHerHis] neck and the rope is thrown over a sturdy branch of a nearby oak. A small yellow pool forms at [From.GetFirstName]'s feet.;;;;;;;;;x 
EVTOPTA_TOG_610;Allfather, we offer you this sacrifice...;;;;;;;;;x 
EVTOPTB_TOG_610;No, I have changed my mind.;;;;;;;;;x 
EVTDESC_TOG_611;[From.GetTitledFirstName] is brought up from your dungeons and escorted to the temple. As the noose is placed around [From.GetHerHis] neck, [From.GetSheHe] steadies [From.GetHerselfHimself] and murmurs several passages that you recognize as being from the Christian holy book.;;;;;;;;;x 
EVTOPTA_TOG_611;Where is your Blessed Virgin now, [From.GetFirstName]?;;;;;;;;;x 
EVTOPTB_TOG_611;No, perhaps this is a bad idea...;;;;;;;;;x 
EVTDESC_TOG_612;[From.GetTitledFirstName] is brought up from your dungeons and escorted to the temple. Your guards place the noose around [From.GetHerHis] neck while [From.GetSheHe] murmurs a passage with closed eyes from the Mohammedan holy book.;;;;;;;;;x 
EVTOPTA_TOG_612;Soon you shall meet your Prophet, friend.;;;;;;;;;x 
EVTOPTB_TOG_612;No, perhaps this is a bad idea...;;;;;;;;;x 
EVTDESC_TOG_613;Your brother, [From.GetTitledFirstName], is brought up from his dungeon and escorted to the temple. As the noose is placed around his neck, he looks at you with pleading eyes. Don't do this, [Root.GetFirstName]. There has to be some other way...;;;;;;;;;x 
EVTOPTA_TOG_613;I'm afraid not. Do it, men.;;;;;;;;;x 
EVTOPTB_TOG_613;No, I can't do this to my own brother...;;;;;;;;;x 
EVTDESC_TOG_614;Your sister, [From.GetTitledFirstName], is dragged up from her dungeon and escorted to the temple. She looks up at you with tears streaming down her face as your guards place the noose around her neck. Please, [Root.GetFirstName], she says with a trembling voice. Don't let them do this.;;;;;;;;;x 
EVTOPTA_TOG_614;There can be no turning back now. I'm sorry.;;;;;;;;;x 
EVTOPTB_TOG_614;No... not my own sister...;;;;;;;;;x 
EVTDESC_TOG_615;The guards drag your father, [From.GetTitledFirstName], from his dungeon and escort him to the temple where they place the noose around his neck. My [Root.GetSonDaughter], he croaks while looking at you. Can't you find it in your heart to forgive me?;;;;;;;;;x 
EVTOPTA_TOG_615;No.;;;;;;;;;x 
EVTOPTB_TOG_615;I can't do this to my own father...;;;;;;;;;x 
EVTDESC_TOG_616;Distant screaming can be heard as your guards drag your mother, [From.GetTitledFirstName], from her dungeon. They bring her to the temple and as they place the noose around her neck, she looks at you with pleading eyes. W-why would you do this to your own mother?;;;;;;;;;x 
EVTOPTA_TOG_616;Because I can.;;;;;;;;;x 
EVTOPTB_TOG_616;I... I wouldn't...;;;;;;;;;x 
EVTDESC_TOG_617;The guards fetch your son, [From.GetTitledFirstName], from his dungeon and lead him to the temple. There a noose is placed around his neck and the rope is thrown over a sturdy branch of a nearby oak. Before your men pull at the rope, your son looks at you with tearful eyes. Please don't, [Root.GetFatherMother]... please don't.;;;;;;;;;x 
EVTOPTA_TOG_617;Do it, men.;;;;;;;;;x 
EVTOPTB_TOG_617;I can't do this... not to my own boy...;;;;;;;;;x 
EVTDESC_TOG_618;Your daughter, [From.GetTitledFirstName], is pulled from her dungeon and brought to the temple by your guards. As they place the noose around her neck, she looks at you with a desperate yet piercing glare. Is this really what you have been reduced to, [Root.GetFatherMother]? To do this... against your own daughter?;;;;;;;;;x 
EVTOPTA_TOG_618;You have left me with little choice.;;;;;;;;;x 
EVTOPTB_TOG_618;No, send her back... not to my girl...;;;;;;;;;x 
EVTDESC_TOG_619;[From.GetTitledFirstName] is brought from your dungeons by the guards and placed at the gallows in front of the temple. As they place the noose around [From.GetHerHis] neck, [From.GetFirstName] cries out to you. Don't do this, [Root.GetFirstName]! We are family and of the same blood!;;;;;;;;;x 
EVTOPTA_TOG_619;Yes, and that only proves my devotion to Odin.;;;;;;;;;x 
EVTOPTB_TOG_619;It is true... [From.GetSheHe] is kin.;;;;;;;;;x 
EVTDESC_TOG_620;Your spouse, [From.GetTitledFirstName], is dragged to the gallows in front of the temple and your guards place the noose around [From.GetHerHis] neck. In a last desperate effort to save  [From.GetHerselfHimself], [From.GetFirstName] calls out to you for mercy. I have always loved you, [Root.GetFirstName]... and I always will.;;;;;;;;;x 
EVTOPTA_TOG_620;Forgive me then, my love, but this is how it must be.;;;;;;;;;x 
EVTOPTB_TOG_620;No, this is too much... I can't permit it.;;;;;;;;;x 
EVTDESC_TOG_621;From deep within your dungeons, your guards bring out [From.GetTitledFirstName], your Skræling prisoner. As they drag [From.GetHerHim] to the front of the temple and place the noose around [From.GetHerHis] neck, the Skræling shouts something in [From.GetHerHis] own language and stares at you defiantly.;;;;;;;;;x 
EVTOPTA_TOG_621;Let us show you how a proper human sacrifice is done.;;;;;;;;;x 
EVTOPTB_TOG_621;No, this brave Skræling shall live to see another day.;;;;;;;;;x 
EVTDESC_TOG_622;[FromFrom.GetTitledFirstName] is dragged to the great oak in front of the temple and a noose is placed around [FromFrom.GetHerHis] neck. Soon [FromFrom.GetFirstName]'s body dangles limply in the cold breeze from one of the tree branches.;;;;;;;;;x 
EVTOPTA_TOG_622;This should please the gods!;;;;;;;;;x 
EVTDESC_TOG_623;Your liege's guards have brought a Christian, [FromFrom.GetTitledFirstName], to the big oak in front of the temple. As the noose is placed around [FromFrom.GetHerHis] neck, [FromFrom.GetSheHe] continues to prattle on about the Holy Spirit and how we shall all suffer in Hell for our sins... but soon [FromFrom.GetSheHe] speaks no more.;;;;;;;;;x 
EVTDESC_TOG_624;[FromFrom.GetTitledFirstName], a Mohammedan from your liege's dungeons, has been brought to the temple and will now be sacrificed to the gods. As the noose is placed around [FromFrom.GetHerHis] neck, [FromFrom.GetSheHe] quotes a passage from their holy book right up until the rope tightens and [FromFrom.GetHerHis] feet rise off the ground.;;;;;;;;;x 
EVTDESC_TOG_625;Your liege has told [From.GetHerHis] men to fetch [FromFrom.GetTitledFirstName], [From.GetHerHis] own brother, from the dungeons. [From.GetFirstName] betrays no emotion as [FromFrom.GetFirstName] is brought up to the gallows in front of the temple, and soon his limp body can be seen slowly dangling back and forth in the wind.;;;;;;;;;x 
EVTDESC_TOG_626;It seems your liege has decided to sacrifice [FromFrom.GetTitledFirstName], [From.GetHerHis] own sister, to the gods. She has been brought out from [From.GetFirstName]'s dark dungeons, and while she squints her eyes in the unfamiliar daylight, the guards place a noose around her neck. Moments later her eyes are forever dead and listless.;;;;;;;;;x 
EVTDESC_TOG_627;To your surprise, [FromFrom.GetTitledFirstName] orders [FromFrom.GetHerHis] guards to bring out [FromFrom.GetTitledFirstName] - [FromFrom.GetHerHis] own father. He is brought to the gallows in front of the temple, and soon he joins the others hanging limply from the branches with dead, gaping eyes.;;;;;;;;;x 
EVTDESC_TOG_628;[FromFrom.GetTitledFirstName], the mother of your liege, appears at the temple flanked by guards, and to your surprise they escort her right up to the gallows. She pleads in vain with [From.GetTitledFirstName], but [From.GetSheHe] will not be moved. Within moments, she dangles next to the other offerings in the trees outside the temple.;;;;;;;;;x 
EVTDESC_TOG_629;[From.GetTitledFirstName] marches [From.GetTitledHerHis] own son, [FromFrom.GetTitledFirstName], to the gallows outside the temple. He is to be the next sacrifice. All of his pleas fall on deaf ears, and moments later the guards place the noose around his neck and he is made forever silent.;;;;;;;;;x 
EVTDESC_TOG_630;Those assembled at the blot gasp in surprise when [FromFrom.GetTitledFirstName], daughter of [From.GetTitledFirstName], is dragged up to the gallows for the next sacrifice. She asks her [From.GetFatherMother] for mercy, but none is forthcoming.;;;;;;;;;x 
EVTDESC_TOG_631;[FromFrom.GetTitledFirstName], a member of [From.GetFirstName]'s own extended family, is dragged from the dungeons and brought to the temple. Despite, or perhaps because of, the fact that they are of the same blood, [From.GetFirstName] shows no mercy and the sacrifice takes place as planned.;;;;;;;;;x 
EVTDESC_TOG_632;[From.GetTitledFirstName] has apparently decided to sacrifice [From.GetHerHis] own spouse, [FromFrom.GetTitledFirstName], to the gods, and [FromFrom.GetSheHe] has been brought in chains to the temple. Despite professing [FromFrom.GetHerHis] continued love, [From.GetFirstName] has decided to go ahead with the sacrifice.;;;;;;;;;x 
EVTDESC_TOG_633;In honor of this blot, your liege produces a Skræling from deep within [From.GetHerHis] dungeons. [FromFrom.GetTitledFirstName] is brought to the temple for the sacrifice, and everyone agrees that this is a most worthy sacrifice.;;;;;;;;;x 
EVTDESC_TOG_634;As you have no prisoners languishing in your dungeons that are suitable for sacrifice at the blot, you are forced to make do with some randomly purchased thralls. They are brought to the big oak outside the temple, and soon their limp and lifeless bodies are hanging from its thick branches.;;;;;;;;;x 
EVTOPTA_TOG_634;It is better than nothing.;;;;;;;;;x 
EVTDESC_TOG_635;As [From.GetTitledFirstName] had no prisoners languishing in [From.GetHerHis] dungeons that were suitable for sacrifice at the blot, your liege was forced to make do with some randomly purchased thralls. They are brought to the big oak outside the temple, and soon their limp and lifeless bodies are hanging from its thick branches.;;;;;;;;;x 
EVTOPTA_TOG_635;Better than nothing, I suppose.;;;;;;;;;x 
EVTTOOLTIP_TOG_637;Execution is stayed.;;;;;;;;;x 
EVTDESC_TOG_637;As you stand trembling with the noose around your neck, [From.GetTitledFirstName] suddenly seems to have had a change of mind. The noose is removed and you are brought back to the dungeon. It looks like you will live to see another day.;;;;;;;;;x 
EVTOPTA_TOG_637;I... how... what?;;;;;;;;;x 
EVTDESC_TOG_640;With the sacrifice over, the feast at the end of the blot can now begin. The meat of the animals that were sacrificed has already been prepared, and there is plenty of mead to go around.;;;;;;;;;x 
EVTOPTA_TOG_640;Let the celebrations begin!;;;;;;;;;x 
EVTOPTA_TOG_641;About time!;;;;;;;;;x 
EVTDESC_TOG_642;The feast is over and with it the blot. It will be at least nine years until you hold the next one, but as your vassals return home, most seem to agree that the ceremony was well worth the trip.;;;;;;;;;x 
EVTOPTA_TOG_642;Until next time!;;;;;;;;;x 
EVTDESC_TOG_643;The feast is over and with it the blot. It will be at least nine years until your liege holds the next one, but as you and the other vassals return home, most seem to agree that the ceremony was well worth the trip.;;;;;;;;;x 
EVTDESC_TOG_650;The mead and the spirits being served at the feast have gotten the better of you. You tried to be strong this time, and you did your best to stay away, but the pull was just too great...;;;;;;;;;x 
EVTOPTA_TOG_650;*hic* Letsch drrink s-schome morr... ;;;;;;;;;x 
EVTDESC_TOG_651;[From.GetTitledFirstName] has been drinking more and more since the feast began, and [From.GetSheHe] has now reached a point where [From.GetSheHe] he can no longer stand upright. Surrounded by empty tankards and singing at the top of [From.GetHerHis] lungs, you find [From.GetFirstName] lying on the table amidst the food.;;;;;;;;;x 
EVTOPTA_TOG_651;I think [From.GetSheHe] has had enough.;;;;;;;;;x 
EVTOPTB_TOG_651;*hic* I k-know thisch schong!;;;;;;;;;x 
EVTDESC_TOG_653;Your mouth waters as servants place tray after tray of food on the table, and when the other guests engage in conversation, the only sounds coming from your corner are grunts and burps as you begin stuffing yourself. A sudden nausea sets in and you hurry towards the exit, but only make it as far as the lap of [From.GetTitledFirstName]...;;;;;;;;;x 
EVTOPTA_TOG_653;UUAARGGHHHH...;;;;;;;;;x 
EVTTOOLTIP_TOG_654;Is vomited on.;;;;;;;;;x 
EVTDESC_TOG_654;Morsels of food and clean-picked bones fly everywhere from the direction of [From.GetTitledFirstName] as [From.GetSheHe] greedily stuffs [From.GetHerselfHimself] with the delicacies served at the table. Suddenly [From.GetHerHis] face turns a strange shade of green, and [From.GetSheHe] rushes towards the exit but only make it as far as your seat before [From.GetSheHe] starts retching [From.GetHerHis] stomach contents into your lap...;;;;;;;;;x 
EVTOPTA_TOG_654;Those were my best trousers!;;;;;;;;;x 
EVTDESC_TOG_655;Morsels of food and clean-picked bones fly everywhere from the direction of [From.GetTitledFirstName] as [From.GetSheHe] greedily stuffs [From.GetHerselfHimself] with the delicacies served at the table. Suddenly [From.GetHerHis] face turns a strange shade of green, and [From.GetSheHe] rushes towards the exit but only make it as far as [FromFrom.GetTitledFirstName] before [From.GetSheHe] starts retching [From.GetHerHis] stomach contents into poor [FromFrom.GetFirstName]'s lap...;;;;;;;;;x 
EVTOPTA_TOG_655;That could have been me...;;;;;;;;;x 
EVTDESC_TOG_656;As you enjoy the feast, you are struck by the warmth and kindness of those sitting next to you at the table. In fact, it's getting just a little too warm. You strip off your clothes and jump up on the table. Help, I'm on fire! you scream at the top of your lungs while waving your arms as the other bewildered guests look on.;;;;;;;;;x 
EVTOPTA_TOG_656;Put me out, put me out!;;;;;;;;;x 
EVTDESC_TOG_657;You are enjoying the feast when a shrill scream from the other end of the room suddenly draws your attention. Stark naked, [From.GetTitledFirstName] is running around on the table waving [From.GetHerHis] arms while screaming that [From.GetSheHe] is on fire. You groan and bury your face in your hands.;;;;;;;;;x 
EVTOPTA_TOG_657;That lunatic...;;;;;;;;;x 
EVTOPTB_TOG_657;So [From.GetSheHe] is! And... and so am I! AAAHHH!;;;;;;;;;x 
EVTDESC_TOG_658;One of the serving girls has been eyeing you ever since you arrived at the feast, and now, fortified with mead, your hands grope at her body and she returns the favor. You pull off each other's clothes and give in to passion. Just as you join in her screams of pleasure, it dawns on you that you're doing this in full view of all the other stunned guests...;;;;;;;;;x 
EVTOPTA_TOG_658;Oops...;;;;;;;;;x 
EVTOPTB_TOG_658;[Root.Spouse.GetFirstName] will not be happy about this...;;;;;;;;;x 
EVTDESC_TOG_659;You are conversing with another guest when loud screams of passion interrupt. In one corner of the room, in full view of everyone else, [From.GetTitledFirstName] is engaged in carnal pleasures with one of the serving girls. Both are completely naked, and only when they notice the stunned silence in the room do they seem to remember where they are.;;;;;;;;;x 
EVTOPTA_TOG_659;By [This.Religion.GetRandomGodNameCap]...;;;;;;;;;x 
EVTOPTB_TOG_659;Haha, you old dog! Nicely done!;;;;;;;;;x 
EVTOPTC_TOG_659;No! [From.GetFirstName], what have you done?!;;;;;;;;;x 
EVTDESC_TOG_661;You have been seated next to [From.GetTitledFirstName] for the duration of the feast, and you have found [From.GetHerHim] to be a most agreeable person. There seems to be much you have in common.;;;;;;;;;x 
EVTOPTA_TOG_661;It would seem I have a new friend.;;;;;;;;;x 
EVTDESC_TOG_664;Your mind wanders as you sit at your table during the feast, when suddenly you lock eyes with [From.GetTitledFirstName]. Something about [From.GetHerHis] gaze seems to reach into your heart, and when [From.GetSheHe] steps outside for some fresh air, you quickly excuse yourself to join [From.GetHerHim].;;;;;;;;;x 
EVTOPTA_TOG_664;I thought I was the only one...;;;;;;;;;x 
EVTTOOLTIP_TOG_669;You are discovered!;;;;;;;;;x 
EVTDESC_TOG_669;You are locked in the embrace of your lover, and just as you kiss each other another guest wanders out of the feast hall and notices you. Though you immediately let go of each other, the damage is already done as the outraged guest rushes back inside to tell everyone what he saw.;;;;;;;;;x 
EVTOPTA_TOG_669;It... it's not what it looks like!;;;;;;;;;x 
EVTDESC_TOG_670;With everything spinning from all the mead you drank, you stumble towards the exit to relieve yourself. As you step outside, you are treated to the sight of [From.GetTitledFirstName] and [FromFrom.GetTitledFirstName], embracing each other and kissing passionately. They immediately stop when they notice you.;;;;;;;;;x 
EVTOPTA_TOG_670;By [This.Religion.GetRandomGodNameCap]! You... you two were...!;;;;;;;;;x 
EVTOPTB_TOG_670;Oh, don't mind me. Carry on, friends.;;;;;;;;;x 
opinion_held_blot;Held Blot;;;;;;;;;x 
opinion_feast_scandal;Questionable Behavior at Feast;;;;;;;;;x 
opinion_vomit;Vomited in Lap;;;;;;;;;x 
opinion_drinking_buddy;Drinking Companion;;;;;;;;;x 
opinion_lustful_buddy;Impressed by Virility;;;;;;;;;x 
opinion_feast_friend;Befriended at Feast;;;;;;;;;x 
opinion_homosexual_sympathy;Sympathetic to Sexual Preferences;;;;;;;;;x 
opinion_ukon_juhla;Held Ukon Juhla;;;;;;;;;x 
opinion_uzgavenes;Held Užgavenes;;;;;;;;;x 
hold_ukon_juhla;Hold Ukon Juhla Festival;;;;;;;;;x 
hold_ukon_juhla_desc;Celebrate the coming of summer and pay tribute to Ukko, the god of weather and crops, by hosting the Ukon juhla festival.;;;;;;;;;x 
prepare_ukon_juhla;You begin preparations for the Ukon juhla festival.;;;;;;;;;x 
EVTDESC_TOG_700;Invitations have gone out to your vassals asking them to join you in this summer's Ukon juhla festival. You have decided to make the festival this year a special one, remembered by both gods and men for many years to come.;;;;;;;;;x 
EVTOPTA_TOG_700;Let us begin preparations.;;;;;;;;;x 
EVTTOOLTIP_TOG_701;Invitation to the Ukon juhla festival is sent.;;;;;;;;;x 
EVTDESC_TOG_701;[From.GetTitledFirstName], your liege, has invited you to join [From.GetHerHim] for this summer's Ukon juhla festival. There you will celebrate the coming of summer and pay tribute to Ukko, the god of weather and crops.;;;;;;;;;x 
EVTOPTA_TOG_701;I will be there.;;;;;;;;;x 
EVTOPTB_TOG_701;I will have nothing to do with that nonsense!;;;;;;;;;x 
EVTDESC_TOG_702;[From.GetTitledFirstName] has declined your invitation to attend the Ukon juhla festival! Apparently [From.GetSheHe] has no faith in Ukko, Jumi and the other gods, and instead follows the strange rituals of some other religion that is foreign to our ways.;;;;;;;;;x 
EVTOPTA_TOG_702;A foolish mistake.;;;;;;;;;x 
EVTDESC_TOG_703;Your vassals have arrived and the time of the Ukon juhla festival is upon us. The night comes late during the summer months, but when darkness begins to set in the bonfires you have prepared light up the forest. The largest bonfire is called Ukon-kokko to honor the god Ukko in the hope of receiving bountiful harvests.;;;;;;;;;x 
EVTOPTA_TOG_703;We honor you, Ukko.;;;;;;;;;x 
EVTDESC_TOG_704;At last, the time of the Ukon juhla festival is upon us. The night comes late during the summer months, but when darkness begins to set in your liege's servants light the bonfires that have been prepared. The largest bonfire is called Ukon-kokko to honor the god Ukko in the hope of receiving bountiful harvests.;;;;;;;;;x 
EVTDESC_TOG_705;With the bonfires still lighting up the woods outside in the warm summer night, you and your vassals gather for the great feast your servants have prepared!;;;;;;;;;x 
EVTOPTA_TOG_705;Let us drink together!;;;;;;;;;x 
EVTDESC_TOG_706;With the bonfires still lighting up the woods outside in the warm summer night, you gather together with your liege and the rest of [From.GetHerHis] vassals for the great feast [From.GetSheHe] has prepared!;;;;;;;;;x 
EVTDESC_TOG_707;The bonfires have finished burning for this summer, and the feast has come to an end. Your vassals are returning home, but most seem to agree that the Ukon juhla festival was well worth the trip.;;;;;;;;;x 
EVTOPTA_TOG_707;Until next time!;;;;;;;;;x 
EVTDESC_TOG_708;The bonfires have finished burning for this summer, and the feast has come to an end. You and the other vassals are returning home, but you all agree that the Ukon juhla festival was well worth the trip.;;;;;;;;;x 
hold_uzgavenes;Hold Užgavenes Festival;;;;;;;;;x 
hold_uzgavenes_desc;The Užgavenes festival takes place in spring to celebrate the end of winter and the coming of summer.;;;;;;;;;x 
prepare_uzgavenes;You begin preparations for the Užgavenes festival.;;;;;;;;;x 
EVTDESC_TOG_750;Invitations have gone out to your vassals asking them to join you in this spring's Užgavenes festival. You have decided to make the festival this year a special one, remembered by both spirits and men for many years to come.;;;;;;;;;x 
