#CODE;ENGLISH;;;;;;;;;x 
AIREASON_CAN_PAY_OWN_RANSOM;§Y[GetTitledFirstName]§! can afford [GetHerHis] own ransom;;;;;;;;;x 
EVTDESC_SOA_2009;The mighty Sky-Father of the Tengri faith is all-seeing, but still has need of human instruments on the ground. The Lords of the Sky, a new holy order that has been founded in the wake of the Tengri Reformation, ride to do battle against infidels and to spread the will of the Sky-Father to all corners of the world. The deafening sound of these knights approaching on their mounts is like thunder in the sky, and the noise alone is rumored to have made some convert to the Tengri religion on the spot.;;;;;;;;;x 
EVTOPTA_SOA_2009;Let them ride forward in the name of the Sky-Father!;;;;;;;;;x 
EVTOPTB_SOA_2009;What will these barbarians think of next?;;;;;;;;;x 
EVTDESC_SOA_2031;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Lords of the Sky in their tireless pursuit of heathenry, even though this will forever disinherit him.;;;;;;;;;x 
EVTDESC_SOA_2041;Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation will aid us greatly as we ride into battle against the enemies of the Sky-Father! Upon my honor, I shall name one of my finest steeds after you!\n\nFor the Sky-Father!\nWarchief [From.GetFirstName];;;;;;;;;x 
EVTTOOLTIP_SOA_2032;[This.GetTitledFirstName] becomes a Sky Lord.;;;;;;;;;x 
EVTDESC_SOA_2053;Most righteous [Root.GetTitledFirstName], the Lords of the Sky are in need of more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nFor the Sky-Father!\nWarchief [From.GetFirstName];;;;;;;;;x 
EVTDESC_SOA_2054;The Lords of the Sky have constructed a castle in [Root.GetName]!;;;;;;;;;x 
EVTDESC_SOA_2061;Your majesty, this antagonism is completely unwarranted! The Lords of the Sky seek only to ride into battle against the enemies of the Sky-Father. Can you make that same claim?\n\nWith anger and sadness,\n\nWarchief [From.GetFirstName];;;;;;;;;x 
expel_sky_lords;Expel the Lords of the Sky;;;;;;;;;x 
expel_sky_lords_desc;I can drive the Lords of the Sky from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;x 
donate_money_to_sky_lords;Donate 300¤ to the Lords of the Sky;;;;;;;;;x 
donate_money_to_sky_lords_desc;I can donate money to the Lords of the Sky in exchange for [Player.Religion.GetPietyName] and lifelong respect from the Tengri Priesthood.;;;;;;;;;x 
expelled_d_sky_lords;Expelled the Lords of the Sky;;;;;;;;;x 
EVTTITLE_SOA_2109;The Spirit Guardians;;;;;;;;;x 
EVTDESC_SOA_2109;With the reformation of the many West African pagan belief systems into a single coherent whole, several tribes have agreed to pool together their best warriors into a single holy order. They claim to be the Guardians of the Spirits and they have vowed to defend the spirits and those who believe in them from all who would do them harm.;;;;;;;;;x 
EVTOPTA_SOA_2109;The Spirits be praised!;;;;;;;;;x 
EVTDESC_SOA_2131;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Spirit Guardians in their brave defense of our faith, even though this will forever disinherit him.;;;;;;;;;x 
EVTDESC_SOA_2141;Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation shall aid us greatly in our unceasing efforts to defend the Spirits and their faithful believers! You have my friendship, as well as that of the priesthood.\n\nMay the Spirits walk with you,\nWarchief [From.GetFirstName];;;;;;;;;x 
EVTTOOLTIP_SOA_2132;[This.GetTitledFirstName] becomes a Spirit Guardian.;;;;;;;;;x 
EVTDESC_SOA_2153;Most righteous [Root.GetTitledFirstName], the Spirit Guardians are in need of more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nMay the Spirits walk with you,\nWarchief [From.GetFirstName];;;;;;;;;x 
EVTDESC_SOA_2154;The Spirit Guardians have constructed a castle in [Root.GetName]!;;;;;;;;;x 
EVTDESC_SOA_2161;Your majesty, this antagonism is completely unwarranted! The Spirit Guardians walk with the Spirits and are prepared to give their lives to defend them, but, one has to wonder, are you?\n\nWith anger and sadness,\n\nWarchief [From.GetFirstName];;;;;;;;;x 
expel_spirit_guardians;Expel the Spirit Guardians;;;;;;;;;x 
expel_spirit_guardians_desc;I can drive the Spirit Guardians from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;x 
donate_money_to_spirit_guardians;Donate 300¤ to the Spirit Guardians;;;;;;;;;x 
donate_money_to_spirit_guardians_desc;I can donate money to the Spirit Guardians in exchange for [Player.Religion.GetPietyName] and lifelong respect from the Priesthood.;;;;;;;;;x 
expelled_d_spirit_guardians;Expelled the Spirit Guardians;;;;;;;;;x 
EVTTITLE_SOA_2209;The Warriors of Perun;;;;;;;;;x 
EVTDESC_SOA_2209;The Slavic faith has been reformed and this has led to a religious fervor throughout the lands of the Slavs the likes of which has never been seen before. Many of the greatest champions have come together to form a new Slavic holy order. They call themselves the Warriors of Perun, the god of thunder, and have all taken vows to defend the Slavic faith and its believers to their dying breaths.;;;;;;;;;x 
EVTOPTA_SOA_2209;May the enemies of Perun quake in their boots!;;;;;;;;;x 
EVTDESC_SOA_2231;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Warriors of Perun in their heroic deeds to smite the enemies of the gods, even though this will forever disinherit him.;;;;;;;;;x 
EVTDESC_SOA_2241;Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation shall aid us greatly in our quest to serve the will of Perun! You have my friendship, as well as that of the priesthood.\n\nMay Perun watch over you,\nWarchief [From.GetFirstName];;;;;;;;;x 
EVTTOOLTIP_SOA_2232;[This.GetTitledFirstName] becomes a Warrior of Perun.;;;;;;;;;x 
EVTDESC_SOA_2253;Most righteous [Root.GetTitledFirstName], the Warriors of Perun are in need of more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nMay Perun watch over you,\nWarchief [From.GetFirstName];;;;;;;;;x 
EVTDESC_SOA_2254;The Warriors of Perun have constructed a castle in [Root.GetName]!;;;;;;;;;x 
EVTDESC_SOA_2261;Your majesty, this antagonism is completely unwarranted! The Warriors of Perun serve at the pleasure of the gods, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nWarchief [From.GetFirstName];;;;;;;;;x 
expel_warriors_perun;Expel the Warriors of Perun;;;;;;;;;x 
expel_warriors_perun_desc;I can drive the Warriors of Perun from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;x 
donate_money_to_warriors_perun;Donate 300¤ to the Warriors of Perun;;;;;;;;;x 
donate_money_to_warriors_perun_desc;I can donate money to the Warriors of Perun in exchange for [Player.Religion.GetPietyName] and lifelong respect from the Priesthood.;;;;;;;;;x 
expelled_d_warriors_perun;Expelled the Warriors of Perun;;;;;;;;;x 
EVTTITLE_SOA_2309;The Chosen of Perkunas;;;;;;;;;x 
EVTDESC_SOA_2309;Perkunas, the god of thunder, has spoken! As the Romuvan religion reforms to better face the modern world, several champions have stepped forward, claiming that Perkunas has willed them to found a new holy order. The Chosen of Perkunas, as they call themselves, have sworn to defend the Romuvan faith and to direct the wrath of the gods towards the skulls of their enemies.;;;;;;;;;x 
EVTOPTA_SOA_2309;Like a thunderbolt, they shall strike down their foes!;;;;;;;;;x 
EVTDESC_SOA_2331;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Chosen of Perkunas in their war against unbelievers, even though this will forever disinherit him.;;;;;;;;;x 
EVTDESC_SOA_2341;Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation shall aid us greatly in our quest to serve the will of Perkunas! You have my friendship, as well as that of the priesthood.\n\nMay Perkunas watch over you,\nWarchief [From.GetFirstName];;;;;;;;;x 
EVTTOOLTIP_SOA_2332;[This.GetTitledFirstName] becomes a Chosen of Perkunas.;;;;;;;;;x 
EVTDESC_SOA_2353;Most righteous [Root.GetTitledFirstName], the Chosen of Perkunas are in need of more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nMay Perkunas watch over you,\nWarchief [From.GetFirstName];;;;;;;;;x 
EVTDESC_SOA_2354;The Chosen of Perkunas have constructed a castle in [Root.GetName]!;;;;;;;;;x 
EVTDESC_SOA_2361;Your majesty, this antagonism is completely unwarranted! The Chosen of Perkunas serve at the pleasure of the gods, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nWarchief [From.GetFirstName];;;;;;;;;x 
expel_chosen_perkunas;Expel the Chosen of Perkunas;;;;;;;;;x 
expel_chosen_perkunas_desc;I can drive the Chosen of Perkunas from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;x 
donate_money_to_chosen_perkunas;Donate 300¤ to the Chosen of Perkunas;;;;;;;;;x 
donate_money_to_chosen_perkunas_desc;I can donate money to the Chosen of Perkunas in exchange for [Player.Religion.GetPietyName] and lifelong respect from the Priesthood.;;;;;;;;;x 
expelled_d_chosen_perkunas;Expelled the Chosen of Perkunas;;;;;;;;;x 
EVTTITLE_SOA_2409;The Sons of Kaleva;;;;;;;;;x 
EVTDESC_SOA_2409;A new Finnish holy order has surfaced dedicated to the preservation and defense of the new reformed Suomenusko religion. These warriors call themselves the 'Sons of Kaleva' and they are prepared to march into battle against all those who would deny the truth of their faith. Many Finns look upon them as the heroes of their ancient myths, and they seem to have no shortage of recruits.;;;;;;;;;x 
EVTOPTA_SOA_2409;They are like the heroes of myth!;;;;;;;;;x 
EVTDESC_SOA_2431;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the heroes in the Sons of Kaleva in struggle against heathens, even though this will forever disinherit him.;;;;;;;;;x 
EVTDESC_SOA_2441;Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation shall aid us greatly in our quest to serve the will of Kaleva! You have my friendship, as well as that of the priesthood.\n\nMay the Gods watch over you,\nWarchief [From.GetFirstName];;;;;;;;;x 
EVTTOOLTIP_SOA_2432;[This.GetTitledFirstName] becomes a Son of Kaleva.;;;;;;;;;x 
EVTDESC_SOA_2453;Most righteous [Root.GetTitledFirstName], the Sons of Kaleva are in need of more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nMay the Gods watch over you,\nWarchief [From.GetFirstName];;;;;;;;;x 
EVTDESC_SOA_2454;The Sons of Kaleva have constructed a castle in [Root.GetName]!;;;;;;;;;x 
EVTDESC_SOA_2461;Your majesty, this antagonism is completely unwarranted! The Sons of Kaleva serve at the pleasure of the gods, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nWarchief [From.GetFirstName];;;;;;;;;x 
expel_sons_kaleva;Expel the Sons of Kaleva;;;;;;;;;x 
expel_sons_kaleva_desc;I can drive the Sons of Kaleva from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;x 
donate_money_to_sons_kaleva;Donate 300¤ to the Sons of Kaleva;;;;;;;;;x 
donate_money_to_sons_kaleva_desc;I can donate money to the Sons of Kaleva in exchange for [Player.Religion.GetPietyName] and lifelong respect from the Priesthood.;;;;;;;;;x 
expelled_d_sons_kaleva;Expelled the Sons of Kaleva;;;;;;;;;x 
EVTTITLE_SOA_2509;The Cult of Huitzilopochtli;;;;;;;;;x 
EVTDESC_SOA_2509;The Easterners across the sea have more religions than a parrot has feathers, but the Aztec faith has now been reformed and reorganized to better stand against the heathens. Several warrior-priests have also founded a new holy order: the Cult of Huitzilopochtli. Devoted to the Aztec deity of war, this cult is bent on the forceful conversion of the world – preferably with lots of human sacrifice in the process.;;;;;;;;;x 
EVTOPTA_SOA_2509;May their sacrifices be many and gruesome.;;;;;;;;;x 
EVTDESC_SOA_2531;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Cult of Huitzilopochtli in their ongoing efforts to rip the heart out of every heathen unbeliever, even though this will forever disinherit him.;;;;;;;;;x 
EVTDESC_SOA_2541;Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation shall aid us greatly in organizing the sacrifice rituals that Huitzilopochtli demand! You have my friendship, as well as that of the priesthood.\n\nHuitzilopochtli's faithful servant,\nHigh Priest [From.GetFirstName];;;;;;;;;x 
EVTTOOLTIP_SOA_2532;[This.GetTitledFirstName] becomes a member of the Cult of Huitzilopochtli.;;;;;;;;;x 
EVTDESC_SOA_2553;Most righteous [Root.GetTitledFirstName], the Cult of Huitzilopochtli are in need of more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nHuitzilopochtli's faithful servant,\nHigh Priest [From.GetFirstName];;;;;;;;;x 
EVTDESC_SOA_2554;The Cult of Huitzilopochtli has constructed a castle in [Root.GetName]!;;;;;;;;;x 
EVTDESC_SOA_2561;Your majesty, this antagonism is completely unwarranted! The Cult of Huitzilopochtli serve the will of Huitzilopochtli, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nHigh Priest [From.GetFirstName];;;;;;;;;x 
expel_huitzilopochtli;Expel the Cult of Huitzilopochtli;;;;;;;;;x 
expel_huitzilopochtli_desc;I can drive the Cult of Huitzilopochtli from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;x 
donate_money_to_huitzilopochtli;Donate 300¤ to the Cult of Huitzilopochtli;;;;;;;;;x 
donate_money_to_huitzilopochtli_desc;I can donate money to the Cult of Huitzilopochtli in exchange for [Player.Religion.GetPietyName] and lifelong respect from the Priesthood.;;;;;;;;;x 
expelled_d_huitzilopochtli;Expelled the Cult of Huitzilopochtli;;;;;;;;;x 
EVTTITLE_SOA_2609;The Knights of Santiago;;;;;;;;;x 
EVTOPTA_SOA_2609;Brave warriors of Christ!;;;;;;;;;x 
EVTOPTB_SOA_2609;Worrying...;;;;;;;;;x 
EVTDESC_SOA_2631;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Knights of Santiago in their struggle against the infidel, even though this will forever disinherit him.;;;;;;;;;x 
EVTTOOLTIP_SOA_2632;[This.GetTitledFirstName] becomes a Knight of Santiago.;;;;;;;;;x 
EVTDESC_SOA_2653;Most righteous [Root.GetTitledFirstName], the Knights of Santiago need more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nPax Christi,\nGrand Master [From.GetFirstName];;;;;;;;;x 
EVTDESC_SOA_2654;The Knights of Santiago have constructed a castle in [Root.GetName]!;;;;;;;;;x 
EVTDESC_SOA_2661;Your majesty, this antagonism is completely unwarranted! The Knights of Santiago serve Christ, but, one has to wonder, do you?\nWith anger and sadness,\n\nGrand Master [From.GetFirstName];;;;;;;;;x 
expel_knights_santiago;Expel the Knights of Santiago;;;;;;;;;x 
expel_knights_santiago_desc;I can drive the Knights of Santiago from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;x 
donate_money_to_knights_santiago;Donate 300¤ to the Santiago Knights;;;;;;;;;x 
expelled_d_knights_santiago;Expelled the Knights of Santiago;;;;;;;;;x 
EVTTITLE_SOA_2709;The Knights of Calatrava;;;;;;;;;x 
EVTOPTA_SOA_2709;May their battles end in victory!;;;;;;;;;x 
EVTOPTB_SOA_2709;More sheep to the slaughter!;;;;;;;;;x 
EVTDESC_SOA_2731;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Knights of Calatrava in their struggle against the infidel, even though this will forever disinherit him.;;;;;;;;;x 
EVTTOOLTIP_SOA_2732;[This.GetTitledFirstName] becomes a Knight of Calatrava.;;;;;;;;;x 
EVTDESC_SOA_2753;Most righteous [Root.GetTitledFirstName], the Knights of Calatrava need more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nPax Christi,\nGrand Master [From.GetFirstName];;;;;;;;;x 
EVTDESC_SOA_2754;The Knights of Calatrava have constructed a castle in [Root.GetName]!;;;;;;;;;x 
EVTDESC_SOA_2761;Your majesty, this antagonism is completely unwarranted! The Knights of Calatrava serve Christ, but, one has to wonder, do you?\n\nWith anger and sadness,\nGrand Master [From.GetFirstName];;;;;;;;;x 
expel_knights_calatrava;Expel the Knights of Calatrava;;;;;;;;;x 
expel_knights_calatrava_desc;I can drive the Knights of Calatrava from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;x 
donate_money_to_knights_calatrava;Donate 300¤ to the Calatrava Knights;;;;;;;;;x 
expelled_d_knights_calatrava;Expelled the Knights of Calatrava;;;;;;;;;x 
catholic_pilgrimage;Go on a Pilgrimage;;;;;;;;;x 
catholic_pilgrimage_desc;Some faithful Christians choose to make a great pilgrimage at some point in their lives. The devout pilgrim is prepared to travel long distances in order to visit the holiest places of the faith.;;;;;;;;;x 
on_pilgrimage;On pilgrimage;;;;;;;;;x 
on_pilgrimage_desc;The character is currently away on a great pilgrimage.;;;;;;;;;x 
appeased_religious;The people living in this province feel that they and their ruler are blessed by God. They are therefore less likely to revolt.;;;;;;;;;x 
defied_church;You have defied the will of the holy church. They are not pleased.;;;;;;;;;x 
sympathy_islam;Sympathy for Islam;;;;;;;;;x 
sympathy_islam_desc;This character, though not a Muslim, has a special sympathy and understanding for the Muslim faith and its practitioners.;;;;;;;;;x 
sympathy_judaism;Sympathy for Judaism;;;;;;;;;x 
sympathy_judaism_desc;This character, though not a Jew, has a special sympathy and understanding for the Jewish faith and its practitioners.;;;;;;;;;x 
sympathy_christendom;Sympathy for Christendom;;;;;;;;;x 
sympathy_christendom_desc;This character, though not a Christian, has a special sympathy and understanding for the Christian faith and its practitioners.;;;;;;;;;x 
sympathy_pagans;Sympathy for Pagans;;;;;;;;;x 
sympathy_pagans_desc;This character, though not a Pagan, has a special sympathy and understanding for the Pagan faiths and their practitioners.;;;;;;;;;x 
sympathy_zoroastrianism;Sympathy for Zoroastrianism;;;;;;;;;x 
sympathy_zoroastrianism_desc;This character, though not a Zoroastrian, has a special sympathy and understanding for the Zoroastrian faith and its practitioners.;;;;;;;;;x 
owns_relic;Owns a Holy Relic;;;;;;;;;x 
EVTDESC_SoA_5000;I shall go on a pilgrimage to seek God's grace at one of the holy places of Christianity.;;;;;;;;;x 
EVTOPTA_SoA_5000;I will start making travel plans.;;;;;;;;;x 
EVTDESC_SoA_5011;There are several different holy places that you could visit on your pilgrimage. All of them are considered most sacred by the holy church, but a somewhat closer destination might mean a safer journey.;;;;;;;;;x 
EVTOPTA_SoA_5011;I will go to Jerusalem and see the wonders of the Holy Land.;;;;;;;;;x 
EVTOPTB_SoA_5011;I will go to Constantinople and see its great cathedrals.;;;;;;;;;x 
EVTOPTC_SoA_5011;I will go to Antioch, like the apostles.;;;;;;;;;x 
EVTOPTD_SoA_5011;I will travel to Aksum, where the Ark of the Covenant lies.;;;;;;;;;x 
EVTDESC_SoA_5016;I am blessed to be living in [Root.Capital.GetName], but I shall make my pilgrimage to the most holy of our Lord's places – Jerusalem!;;;;;;;;;x 
EVTOPTA_SoA_5016;I will start making travel plans.;;;;;;;;;x 
EVTDESC_SoA_5017;I am blessed to live near the holy places of our Lord in Palestine, but I shall follow in the footsteps of the apostles and make a pilgrimage to Rome.;;;;;;;;;x 
EVTOPTA_SoA_5017;I will start making travel plans.;;;;;;;;;x 
EVTDESC_SoA_5018;There are a number of different holy places that you could visit on your pilgrimage. All of them are considered most sacred by the holy church, but a somewhat closer destination might mean a safer journey.;;;;;;;;;x 
EVTOPTA_SoA_5018;I shall visit a holy site in the West.;;;;;;;;;x 
EVTOPTB_SoA_5018;I will go to one of the ancient sites, Jerusalem or Rome.;;;;;;;;;x 
EVTDESC_SoA_5019;A pilgrimage in the west is just as worthy as a journey to Jerusalem or Rome.;;;;;;;;;x 
EVTOPTA_SoA_5019;I will visit the tomb of Thomas Becket in Canterbury.;;;;;;;;;x 
EVTOPTB_SoA_5019;I will visit Köln to see the relics of the Three Kings.;;;;;;;;;x 
EVTOPTC_SoA_5019;I will visit the tomb of Saint James in Santiago.;;;;;;;;;x 
EVTDESC_SoA_5020;Jerusalem and Rome are the two oldest and holiest places of the Catholic church.;;;;;;;;;x 
EVTOPTA_SoA_5020;I will travel to the Holy Land.;;;;;;;;;x 
EVTOPTB_SoA_5020;I will go to Rome and see the tombs of the apostles.;;;;;;;;;x 
EVTDESC_SoA_5021;My things are packed, everything is in order. Soon, I shall see fair Canterbury and the tomb of Thomas Becket.;;;;;;;;;x 
EVTOPTA_SoA_5021;My journey begins!;;;;;;;;;x 
EVTDESC_SoA_5022;My things are packed, everything is in order. At the end of my journey the Holy Land awaits.;;;;;;;;;x 
EVTOPTA_SoA_5022;My journey begins!;;;;;;;;;x 
EVTDESC_SoA_5023;My things are packed, everything is in order. Soon I will see Köln and the Shrine of the Three Kings.;;;;;;;;;x 
EVTOPTA_SoA_5023;My journey begins!;;;;;;;;;x 
EVTDESC_SoA_5024;My things are packed, everything is in order. Soon I will walk the streets of the Eternal City and see all its marvels.;;;;;;;;;x 
EVTOPTA_SoA_5024;My journey begins!;;;;;;;;;x 
EVTDESC_SoA_5025;My things are packed, everything is in order. I am ready to walk the Way of Saint James.;;;;;;;;;x 
EVTOPTA_SoA_5025;My journey begins!;;;;;;;;;x 
EVTDESC_SoA_5094;My things are packed, everything is in order. Soon I will stand at the Bosphorus and see the marvels of Constantinople.;;;;;;;;;x 
EVTOPTA_SoA_5094;My journey begins!;;;;;;;;;x 
EVTDESC_SoA_5095;My things are packed, everything is in order. Soon I will see old Aksum, the holiest place in Christian Africa.;;;;;;;;;x 
EVTOPTA_SoA_5095;My journey begins!;;;;;;;;;x 
EVTDESC_SoA_5096;My things are packed, everything is in order. Ancient Antioch awaits.;;;;;;;;;x 
EVTOPTA_SoA_5096;My journey begins!;;;;;;;;;x 
EVTDESC_SoA_5026;The rain has been pouring down for days, it's almost impossible to travel the roads. Why does the Lord punish his faithful pilgrims so?;;;;;;;;;x 
EVTOPTA_SoA_5026;Blessed is [Root.GetSheHe] who perseveres under trial. ;;;;;;;;;x 
EVTOPTB_SoA_5026;This is absurd - I should have stayed home!;;;;;;;;;x 
EVTDESC_SoA_5027;You look out across the beautiful valley stretching out before you. It would be a wonderful moment, if not for the fact that there should be no valley here. You are a pilgrim in an unfamiliar land and you have no idea where you are.;;;;;;;;;x 
EVTOPTA_SoA_5027;If only I hadn't listened to those useless peasants that gave me directions.;;;;;;;;;x 
EVTOPTB_SoA_5027;If only I'd listened more to those peasants that gave me directions.;;;;;;;;;x 
EVTNAME_SoA_5028;Deep in the night...;;;;;;;;;x 
EVTDESC_SoA_5028;Sleeping at the pilgrim's inn, you dream a beautiful dream. You are walking through a dense wood, filled with the wonderful sounds and smells of nature. Little squirrels run across your path and birds sing in the trees. You keep walking through the wood, and then you notice a new and strange but familiar smell. You can't quite put your finger on what it is, though. Hmm, it's something you should know, something important... Hmm... yes, it's... it's... it's fire! You are instantly wide awake. The room is hot, you can hear the sound of crackling flames and a moment later you also hear people screaming. Indeed, the inn is on fire!;;;;;;;;;x 
EVTOPTA_SoA_5028;Help put it out!;;;;;;;;;x 
EVTOPTB_SoA_5028;Save yourself and let others handle it.;;;;;;;;;x 
EVTDESC_SoA_5029;They said this was a lawless stretch of road, but you still feel rather unlucky to be in this situation. The robbers are many and armed, and they demand that you pay a 'toll' before you are allowed to pass.;;;;;;;;;x 
EVTOPTA_SoA_5029;Pay up.;;;;;;;;;x 
EVTOPTB_SoA_5029;Give these scoundrels the only thing they deserve – steel!;;;;;;;;;x 
EVTDESC_SoA_5030;The old wooden bridge has carried many pilgrims in its day. It creaks suspiciously as you step on it.;;;;;;;;;x 
EVTOPTA_SoA_5030;No time to stop, I'm sure it'll hold.;;;;;;;;;x 
EVTOPTB_SoA_5030;Stop and help repair it.;;;;;;;;;x 
EVTOPTC_SoA_5030;These people deserve a stone bridge. I shall pay for it.;;;;;;;;;x 
EVTDESC_SoA_5031;You lay awake at night reflecting on your pilgrimage. It's an inner journey as well as a physical one, but can you be sure of which destination it will take you to? And do you even want to have that certainty?;;;;;;;;;x 
EVTOPTA_SoA_5031;The mind wanders where it will.;;;;;;;;;x 
EVTOPTB_SoA_5031;It's all right there on the map. Time to get some sleep!;;;;;;;;;x 
EVTDESC_SoA_5032;Travelling down a long and lonesome road, you come upon a man lying in a ditch. He seems to have been robbed and beaten up quite badly.;;;;;;;;;x 
EVTOPTA_SoA_5032;Bind up his wounds, help him to an inn and pay for his recovery.;;;;;;;;;x 
EVTOPTB_SoA_5032;Leave him, he's probably dead anyway.;;;;;;;;;x 
EVTNAME_SoA_5033;The flood;;;;;;;;;x 
EVTDESC_SoA_5033;There have been strong rains in the area lately, and the valley that you need to cross has been transformed into a sizeable lake. The water is still rising, so you start to build a large raft in order to cross. When you're almost finished building it, a group of farmers show up and explain that they also need to cross the valley in order to get back to their homes. They bring with them a number of animals that they've rescued from the flood.;;;;;;;;;x 
EVTOPTA_SoA_5033;I'm not sharing my raft with anyone, man or beast.;;;;;;;;;x 
EVTOPTB_SoA_5033;Bring the farmers with all their animals.;;;;;;;;;x 
EVTOPTC_SoA_5033;Only let them bring the cats and dogs.;;;;;;;;;x 
noahs_ark_cats_dogs;It had better not rain any more.;;;;;;;;;x 
EVTDESC_SoA_5034;At your camp at night, a large group of fellow pilgrims appear. They have travelled far and are hungry and out of food. You look through your supplies, but you have only just over half a dozen loaves of bread and a few fishes.;;;;;;;;;x 
EVTOPTA_SoA_5034;Share it around, it's more filling than it looks.;;;;;;;;;x 
EVTOPTB_SoA_5034;Sorry, there's not enough for everyone.;;;;;;;;;x 
EVTDESC_SoA_5035;You have spent the last fews days of your journey on water. The vessel you are travelling on rocks gently in the breeze, as the sailors go about their business. Being on board ship is quite unlike being on land – so much is different, so many strange words for all the things here. Starboard? Abaft? Aground? What does it all mean?;;;;;;;;;x 
EVTOPTA_SoA_5035;This is fascinating. I must take the opportunity to learn.;;;;;;;;;x 
EVTOPTB_SoA_5035;This does not concern me. I will spend my time in prayer.;;;;;;;;;x 
EVTDESC_SoA_5036;As you stop to make camp near a river crossing along with other pilgrims, you observe a group of builders working on a new bridge just upstream. You walk up to them and see that the arches of the bridge are already half completed. The master builder notices your interest and walks up to you and offers to tell you about the construction techniques they are using.;;;;;;;;;x 
EVTOPTA_SoA_5036;Yes, tell me more about this.;;;;;;;;;x 
EVTOPTB_SoA_5036;Nobles build castles. This is for peasants.;;;;;;;;;x 
EVTDESC_SoA_5037;The journey is long and hard. Your feet are sore, and your back as well. Far from the castle kitchens the food is barely edible, and on top of that you seem to feel cold all the time. Perhaps you were not quite cut out for this pilgrimage thing?;;;;;;;;;x 
EVTOPTA_SoA_5037;My faith will see me through.;;;;;;;;;x 
EVTOPTB_SoA_5037;Maybe this was a bad idea. I'll stay and rest for a while.;;;;;;;;;x 
EVTDESC_SoA_5038;As you pass through a small village along the pilgrim's path, an old woman comes up to you. She has recognized you as a pilgrim and explains that her daughter and her family live close to your destination. They are suffering hard times and she asks you to bring them a large purse of money.;;;;;;;;;x 
EVTOPTA_SoA_5038;Of course I will help you.;;;;;;;;;x 
EVTOPTB_SoA_5038;Of course I will help you (secretly add some money of your own).;;;;;;;;;x 
EVTOPTC_SoA_5038;Of course I will help you (lie and keep the money for yourself).;;;;;;;;;x 
EVTOPTD_SoA_5038;This is not my business, old crone.;;;;;;;;;x 
EVTDESC_SoA_5039;There is a star shining unusually bright in the clear sky. You see it every night, and its position coincides more or less with the direction to the destination of your pilgrimage.;;;;;;;;;x 
EVTOPTA_SoA_5039;The Lord is showing me the way.;;;;;;;;;x 
EVTOPTB_SoA_5039;It's a bright star, so what?;;;;;;;;;x 
EVTNAME_SoA_5045;Riders approach...;;;;;;;;;x 
