#CODE;ENGLISH;;;;;;;;;x 
gamer;Game Master;;;;;;;;;x 
EVTDESC_WOL_10442;There's a faint knock on your door, followed by a small figure peeking into the room. You remember him well, it's one of the craftsmen that you funded a couple of years ago. He shamefully tells you that the enterprise didn't go exactly as planned, and that their workshop is now bankrupt, with nothing to show for it.;;;;;;;;;x 
EVTOPTA_WOL_10442;That was a bad investment...;;;;;;;;;x 
EVTDESC_WOL_10410;There's a group of carpenters in [From.GetName] that are working together more and more, as well as taking on apprentices. This is a situation that cannot be ignored, and so you need to either approve of this carpenters' guild to ensure you have a good reputation amongst the skilled workers, or you could outlaw them to make sure that they're not an impediment on the local market structure.;;;;;;;;;x 
EVTOPTA_WOL_10410;I'll support the carpenters.;;;;;;;;;x 
EVTOPTB_WOL_10410;Outlaw the guilds.;;;;;;;;;x 
artisan_workshop;Artisan Workshop;;;;;;;;;x 
desc_artisan_workshop;A workshop in this province provide goods of high-quality.;;;;;;;;;x 
sold_off_land;Sold off Land to Burgher;;;;;;;;;x 
desc_sold_off_land;The ruler has sold of valuable land for short term profits.;;;;;;;;;x 
#EVTDESC_WOL_10999;After roaming around for months in unknown areas, following a map that you cannot make much sense of, you decide to give up on trying to find a realm to engage in trade with.;;;;;;;;;x 
#EVTOPTA_WOL_10999;Time to find our way home then.;;;;;;;;;x 
EVTDESC_WOL_10500;Ever since your pursuit of wealth began and you started keeping a close eye on both income and expenses, your coffers seems to be filled to the brim more often than not.;;;;;;;;;x 
EVTOPTA_WOL_10500;A thriving economy is good for the realm.;;;;;;;;;x 
