#CODE;ENGLISH;;;;;;;;;x 
PLOT_POWER_CONTRIB_LOWER_THAN;Contribution to $PLOTTER$'s plot to $PLOT$ less than §Y$POWER$%§!\n;;;;;;;;;x 
EVTDESC8172;My co-conspirator, [From.GetTitledName], is asking for funds to arrange a tragic falling accident for [Root.PlotTarget.GetTitledName]. Certain retainers need to be bribed...;;;;;;;;;x 
EVTOPTA8172;Expensive, but worthwhile!;;;;;;;;;x 
EVTDESC8173;[From.GetTitledName] has sent me enough money to bribe someone to give [From.PlotTarget.GetTitledName] a gentle push off the parapets.;;;;;;;;;x 
EVTDESC8174;[From.GetTitledName] has refused to give me the necessary bribes to have [From.PlotTarget.GetTitledName] fall off the parapets.;;;;;;;;;x 
EVTDESC8175;I love the thrill of heights, running on the castle walls and looking down at the little people below. If I reach out, maybe I can reach that bird's nest...;;;;;;;;;x 
EVTOPTA8175;Almost there...;;;;;;;;;x 
EVTOPTB8175;Wait, who's that behind me?!;;;;;;;;;x 
EVTDESC8176;AAAH, someone pushed me! I'm falling! NOOO!;;;;;;;;;x 
EVTOPTA8176;Death to [FromFrom.GetTitledFirstName]!;;;;;;;;;x 
EVTOPTA8177;Why? Who? [Root.Religion.GetRandomGodNameCap]...;;;;;;;;;x 
EVTDESC8178;He was going to push me! I will find out who bribed him and why!;;;;;;;;;x 
EVTOPTA8178;[FromFrom.GetTitledFirstName] must be behind this!;;;;;;;;;x 
EVTDESC8179;Was that scullery maid going to push me off the wall? Who would want me dead?;;;;;;;;;x 
EVTOPTA8179;I guess I'll never know...;;;;;;;;;x 
EVTDESC8180;Good news! My co-conspirator, [From.GetTitledName], has let me know that [Root.PlotTarget.GetTitledName] will soon have a tragic fall off the castle parapets...;;;;;;;;;x 
EVTOPTA8180;Fly, little bird, fly!;;;;;;;;;x 
EVTDESC8181;[From.GetTitledName] approves of my scheme to push [From.PlotTarget.GetTitledName] of a wall. May [Root.Religion.GetRandomGodName] forgive me!;;;;;;;;;x 
EVTDESC8182;[From.GetTitledName] has let me know that the plot to kill [From.PlotTarget.GetTitledName] is proceeding well. [From.PlotTarget.GetSubjectPronounCap] will soon fall off the castle walls. Such tragedy!;;;;;;;;;x 
EVTDESC8183;Success! [From.GetTitledName] flew off those walls like an ostrich! Unfortunately, the assassin was caught and my complicity was discovered.;;;;;;;;;x 
EVTDESC8184;Success! It seems little [From.GetTitledName] had not yet learned how to fly. [From.GetSubjectPronounCap] died a quick and presumably painless death.;;;;;;;;;x 
EVTOPTA8184;Chicken for lunch today, I think;;;;;;;;;x 
EVTDESC8185;Failure! [From.GetTitledName] dodged the assassin and ran off. My complicity was discovered.;;;;;;;;;x 
EVTOPTA8185;Curses!;;;;;;;;;x 
EVTDESC8186;Failure! The hired assassin did not get a chance to push [From.GetTitledName] off the walls, and will likely not get another. At least the plot remains unknown...;;;;;;;;;x 
opinion_beautiful_poem;Beautiful Poem;;;;;;;;;x 
opinion_beautiful_song;Beautiful Song;;;;;;;;;x 
opinion_seduce_spouse;Tried to seduce spouse;;;;;;;;;x 
beautiful_hilya;Beautiful Hilya;;;;;;;;;x 
mod_dissatisfied_calligrapher;Dissatisfying Calligraphic Designs;;;;;;;;;x 
mod_perfect_work_calligrapher;Perfect Calligraphic Designs;;;;;;;;;x 
SPECIAL_EVENTOPTION_0;This option is available due to your high §YDiplomacy§! skill;;;;;;;;;x 
SPECIAL_EVENTOPTION_1;This option is available due to your high §YMartial§! skill;;;;;;;;;x 
SPECIAL_EVENTOPTION_2;This option is available due to your high §YStewardship§! skill;;;;;;;;;x 
SPECIAL_EVENTOPTION_3;This option is available due to your high §YIntrigue§! skill;;;;;;;;;x 
SPECIAL_EVENTOPTION_4;This option is available due to your high §YLearning§! skill;;;;;;;;;x 
SPECIAL_EVENTOPTION_TRAIT;This option is available because you have the §Y$TRAITNAME$§! trait;;;;;;;;;x 
DECADENCE_TITLE;Dynastic Decadence;;;;;;;;;x 
COMBAT_MODIFIER_DESC;§YCombat Modifier§!\nThis modifies any flank led by this character\n\n;;;;;;;;;x 
EVTDESC38304;The voices are whispering to me, telling me what to do... horrible, horrible things they want me to do... I have gained the Lunatic trait.;;;;;;;;;x 
architect_improvements;Chief Architect Improvements;;;;;;;;;x 
EVTNAME89500;The Travels of Marco Polo;;;;;;;;;x 
EVTDESC89500;The Venetian merchant Marco Polo has finally returned to Europe after many years of travel in the Far East with his father and uncle. An account of their journey has been published as "The Travels of Marco Polo," describing, among other things, the distant lands of Cathay and Manji. Readers are provided a rare glimpse of the world beyond Europe, but there are those who discount the entire chronicle as a fabrication...;;;;;;;;;x 
EVTOPTA89500;A stunning tale, nonetheless!;;;;;;;;;x 
EVTNAME89501;The Voyages of Zheng He;;;;;;;;;x 
EVTDESC89501;A great fleet from the distant lands of China has appeared in the Arabian Sea. Commanded by the eunuch explorer Zheng He, or Hajji Mahmud Shamsuddin as he is known in Arabic, the fleet's colossal treasure ships are of a size never before seen in these waters. Despite its formidable strength, the expedition does not seem bent on conquest and will soon depart to explore other lands.;;;;;;;;;x 
EVTOPTA89501;Safe journey.;;;;;;;;;x 
EVTNAME60116;The Mongols sack Baghdad!;;;;;;;;;x 
EVTDESC60116;The great city of Baghdad, one of the world's foremost centers of learning, has succumbed to the ravenous Mongol hordes after a siege. Nothing can sate their appetite for destruction it seems. The Tigris river runs not only red with blood, but black with the ink of priceless and irreplaceable tomes from the House of Wisdom and the city's other great libraries.;;;;;;;;;x 
EVTOPTA60116;Like raging wolves...;;;;;;;;;x 
EVTOPTB60116;Let us pray the Mongols are swallowed up by the desert now.;;;;;;;;;x 
EVTNAME60117;The Mongols sack Damascus!;;;;;;;;;x 
EVTDESC60117;Damascus, the ancient City of Jasmine, has been sacked by the advancing Mongols. They have gathered a colossal pile of severed heads on a field just outside the city walls, now renamed "burj al-ru'us" by the massacre's few survivors - the Tower of Heads.;;;;;;;;;x 
EVTOPTA60117;May they suffer a thousand deaths for their crimes!;;;;;;;;;x 
EVTOPTB60117;It will fall on those of the True Faith to stop the Tartar scourge.;;;;;;;;;x 
EVTNAME60118;The Mongols sack Jerusalem!;;;;;;;;;x 
EVTDESC60118;The Tartar infidels have sacked Jerusalem, spurring a moment of rare solidarity between members of all the city's different religions as they suffer equal horrors under the cruel yoke of the pagans.;;;;;;;;;x 
EVTOPTA60118;Infidels!;;;;;;;;;x 
EVTOPTB60118;Heathens!;;;;;;;;;x 
EVTNAME60119;The Mongols sack Alexandria!;;;;;;;;;x 
EVTDESC60119;Not content with their vast empire surpassing Alexander the Great's in sheer size, the Mongol hordes are now laying waste to the city that is his namesake as well. Pompey's Pillar has been toppled, but at least the Pharos Lighthouse is spared when the Mongols deem it not worth the great effort it would require to raze it to the ground.;;;;;;;;;x 
EVTOPTA60119;May they suffer an eternity of pain!;;;;;;;;;x 
EVTOPTB60119;Would that I could follow in Alexander's footsteps...;;;;;;;;;x 
EVTNAME60120;The Mongols sack Cairo!;;;;;;;;;x 
EVTDESC60120;Riding through the fertile Nile Delta, the Tartar hordes have arrived at the Great Pyramids of Giza and breached the gates of Cairo. Surely even the cruelest Pharaoh would be given pause by the pain and misery now inflicted on the city's hapless population.;;;;;;;;;x 
EVTOPTA60120;Have they no shame?;;;;;;;;;x 
EVTOPTB60120;But who is left to tax?;;;;;;;;;x 
EVTNAME60121;The Mongols sack Mecca!;;;;;;;;;x 
EVTDESC60121;The Holy City of Mecca now burns at the cruel touch of the Mongol infidels. Pilgrims journeying from distant lands to show their submission to Allah are met only with death when approaching the city gates. This unforgivable desecration will be remembered for ages to come.;;;;;;;;;x 
EVTOPTA60121;Not a single infidel taking part in this affront will escape justice;;;;;;;;;x 
EVTOPTB60121;God forbid this scourge continues west...;;;;;;;;;x 
EVTOPTB60100;They will not come here, Inshallah;;;;;;;;;x 
EVTOPTB60101;May the snows of the frozen north claim them;;;;;;;;;x 
EVTOPTB60102;These horsemen know how to fight!;;;;;;;;;x 
EVTOPTB60103;Their walls were not strong enough...;;;;;;;;;x 
EVTOPTB60104;Not even the Franks deserve such a fate;;;;;;;;;x 
EVTOPTB60105;Impressive;;;;;;;;;x 
EVTOPTB60106;So not even fabled Rome can stand against them;;;;;;;;;x 
EVTOPTB60107;A city floating on water?;;;;;;;;;x 
EVTOPTB60108;Ar-Rum is no longer a threat...;;;;;;;;;x 
EVTOPTB60109;Their reach seems unlimited...;;;;;;;;;x 
EVTOPTB60110;Disconcerting...;;;;;;;;;x 
EVTOPTB60111;A waste, by the Prophet;;;;;;;;;x 
EVTOPTB60112;Is this what we can expect?;;;;;;;;;x 
EVTOPTB60113;Interesting;;;;;;;;;x 
EVTOPTB60114;Unfortunate;;;;;;;;;x 
EVTOPTB60115;Barbaric;;;;;;;;;x 
EVTOPTB39010;No, wait. On second thought...;;;;;;;;;x 
#EVTDESC88000;Word is spreading that a Shiite missionary, Hassan-i Sabbah, has founded a religious order known as the "Hashshashin" somewhere in western Persia. Using trickery and guile, this mysterious cult of trained killers has seized control of the mountain fortress of Alamut and converted it into their headquarters. Already a string of violent murders can be traced back to Hassan's devoted and fearless disciples...;;;;;;;;;x 
EVTNAME88000;Birth of the Assassins;;;;;;;;;x 
EVTOPTA88000;These hashish smokers are harmless...;;;;;;;;;x 
EVTDESC88001;The Hashshashin, the elusive Order of Assassins, have expanded their influence into Syria. A branch of their sect has established itself in the mountain fortress of Masyaf, from where they control the surrounding countryside. All across the Holy Land, the Assassins are now hunting those they see as obstacles to their obscure plans...;;;;;;;;;x 
EVTNAME88001;The Assassins Spread to Syria;;;;;;;;;x 
EVTOPTA88001;Perhaps these Hashshashin should be taken seriously...;;;;;;;;;x 
EVTDESC88002;With the fall of their last fortress, the Hashshashin - the notorious Assassin Order - has been scattered to the winds. The few remaining members of the order have gone into hiding, biding their time in the vain hope that they will one day be able to resume their work.;;;;;;;;;x 
EVTNAME88002;The Assassins Scatter!;;;;;;;;;x 
EVTOPTA88002;Their demise was inevitable.;;;;;;;;;x 
EVTDESC88003;The Hashshashin have returned! Somehow, throughout the years, their surviving members have managed to rebuild a measure of their order's former strength. Striking from the shadows, they have retaken one of their old mountain fortresses and now their trained killers are once again hounding those who would act against their interests...;;;;;;;;;x 
EVTNAME88003;The Assassins Resurface!;;;;;;;;;x 
EVTOPTA88003;Surely they wouldn't dare strike at me.;;;;;;;;;x 
EVTDESC88004;The Hashshashin are no more. As their fortresses and mountain hideouts burn, the last members of the once feared Assassin Order are hunted like animals and cut down without mercy or compassion when found. Their legacy now survives only in the legends and stories spawned from their exploits.;;;;;;;;;x 
EVTNAME88004;The Assassins are Destroyed!;;;;;;;;;x 
EVTOPTA88004;Good riddance!;;;;;;;;;x 
EVTDESC88007;The word is spreading like wildfire across the lands of the East! Members of the Hashshashin have killed the great warlord [From.GetTitledName]. They stabbed him at his camp in full view of his men, and though the assassins outlived the [From.GetTitle] by only a few seconds, their mission was accomplished. His men swear vengeance against the Assassin Order!;;;;;;;;;x 
EVTNAME88007;The [From.GetTitle] is Dead!;;;;;;;;;x 
EVTOPTA88007;By the Prophet!;;;;;;;;;x 
EVTDESC88009;Not even the dreaded Hashshashin have been able to give pause to the Mongols in their bid to conquer the world. Several of their members have been killed in a failed attempt on the life of [From.GetTitledName]. He and his men now swear revenge against the hated Order of Assassins.;;;;;;;;;x 
EVTNAME88009;The [From.GetTitle] Foils Assassins!;;;;;;;;;x 
EVTOPTA88009;By the Prophet!;;;;;;;;;x 
EVTDESC88010;You wake suddenly in cold sweat with a strong sensation that something is amiss. The flickering candlelight in your tent reveals a plate of hot biscuits and a note pinned by a poisoned dagger next to your bed. It reads: "Mend your decadent ways before it is too late, [Root.GetFirstName]. The Hashshashin are watching.";;;;;;;;;x 
EVTOPTA88010;Perhaps the time for change has come...;;;;;;;;;x 
EVTDESC88011;Master, terrible news! Your faithful servant, [From.GetTitledName], has been found dead in [From.GetHerHis] home, no doubt at the hands of the vile Hashshashin. Carved by knife into [From.GetHerHis] chest were the words: "[Root.GetFirstName] - You were warned.";;;;;;;;;x 
EVTOPTA88011;How dare they?!;;;;;;;;;x 
EVTDESC88012;As you turn a street corner in [Root.Location.GetName], a strange whistling sound swishes past your ear. Your bodyguards topple over, knives in their throats, and before you can react you are surrounded by robed Hashshashin. Their leader approaches you with a sad look on his face. "May you find what you seek in the life hereafter, friend.";;;;;;;;;x 
EVTOPTA88012;But... but I am not ready!;;;;;;;;;x 
EVTDESC88016;[From.GetTitledName] staggers past your guards, bleeding profusely from a dozen stab-wounds. As [From.GetSheHe] collapses in a pool of blood at your feet, [From.GetSheHe] gasps with [From.GetHerHis] last breath: "The H-Hashshashin...";;;;;;;;;x 
EVTOPTA88016;Oh my.;;;;;;;;;x 
EVTDESC88017;Your guards bring in a covered basket left just outside your palace. Believing it to be confections from one of your subjects, you hungrily pull away the covering blanket only to reveal the severed, gaping head of [From.GetTitledName]. The mark of the Hashshashin has been carved into the forehead.;;;;;;;;;x 
EVTOPTA88017;I think I've lost my appetite...;;;;;;;;;x 
EVTDESC88018;As you stroll through your palace garden with [From.GetTitledFirstName], you see the brief glint of reflected sunlight on metal as a thrown dagger flashes past and buries itself in your friend's throat. Your bodyguards rush you to safety, but you glimpse a robed assassin scurrying over the palace walls...;;;;;;;;;x 
EVTOPTA88018;The Hashshashin! Was I the intended target?;;;;;;;;;x 
EVTDESC88019;You wake suddenly in cold sweat with a strong sensation that something is amiss. The flickering candlelight in your tent reveals a plate of hot biscuits and a note pinned by a poisoned dagger next to your bed. It reads: "There are a thousand ways to kill a [Root.GetManWoman], [Root.GetFirstName]. The Hashshashin know them all.";;;;;;;;;x 
EVTOPTA88019;Guards! Search the area!;;;;;;;;;x 
EVTDESC7700;[Root.PlotTarget.GetTitledName] is due to tour [Root.PlotTarget.Location.GetName] in an open carriage to receive the accolades and adulation of the common folk. There is bound be an escort, but what if a few archers were placed on the [Root.PlotTarget.GetTitle]'s path on certain key rooftops...;;;;;;;;;x 
EVTOPTA7700;My co-conspirators will find some good men...;;;;;;;;;x 
EVTOPTB7700;Hire bowmen;;;;;;;;;x 
EVTOPTC7700;I know just the men for this job...;;;;;;;;;x 
#EVTDESC7701;Through my sources I have learned that [Root.PlotTarget.GetTitledName] will be touring [Root.PlotTarget.Location.GetName] in an open carriage. The guards will keep a close watch on the streets, but will they expect bowmen on the rooftops?;;;;;;;;;x 
EVTDESC7702;My co-conspirator, [From.GetTitledName], has asked for coin to hire some bowmen to ambush [Root.PlotTarget.GetTitledName] as [Root.PlotTarget.GetSheHe] tours [Root.PlotTarget.Location.GetName] in an open carriage...;;;;;;;;;x 
EVTOPTA7702;Make it happen.;;;;;;;;;x 
EVTDESC7703;[From.GetTitledFirstName] has sent me sufficient coin to hire some skilled archers to greet [From.PlotTarget.GetTitledFirstName] with as [From.PlotTarget.GetSheHe] tours the streets of [Root.PlotTarget.Location.GetName].;;;;;;;;;x 
EVTDESC7704;[From.GetTitledFirstName] has refused to grant me the coin necessary to hire skilled bowmen to skewer [From.PlotTarget.GetTitledFirstName].;;;;;;;;;x 
EVTDESC7705;I decided to tour [Root.Location.GetName] to receive the adulation of my subjects, but as my open carriage took a turn past the scroll depository I suddenly heard the whizzing sound of an arrow flying past mere inches from my head.;;;;;;;;;x 
EVTOPTA7705;My God. They're going to kill us all!;;;;;;;;;x 
EVTOPTB7705;Did that come from the grassy knoll?;;;;;;;;;x 
EVTTOOLTIP7705;Ambush [This.GetTitledFirstName] with an arrow barrage next month.;;;;;;;;;x 
EVTDESC7706;I have been caught in a deadly crossfire! One of the arrows digs into my shoulder, and as I struggle to remove it, the final blow is delivered - an arrow strikes my temple, and my head is thrown back and to the left...;;;;;;;;;x 
EVTOPTA7706;This was no lone bowman. [FromFrom.GetTitledFirstName] orchestrated this!;;;;;;;;;x 
EVTOPTA7707;Back and to the left...;;;;;;;;;x 
EVTDESC7708;My carriage was bombarded with arrows, but thanks to what must surely have been the intervention of [Root.Religion.GetRandomGodName], I miraculously emerged unscathed!;;;;;;;;;x 
EVTOPTA7708;[FromFrom.GetTitledFirstName] has conspired to kill me!;;;;;;;;;x 
EVTOPTA7709;Who were those bowmen working for?;;;;;;;;;x 
EVTDESC7710;I have received word from my co-conspirator, [From.GetTitledFirstName], that the bowmen are in place and waiting for the right moment to strike at [Root.PlotTarget.GetTitledFirstName].;;;;;;;;;x 
EVTOPTA7710;We are committed then.;;;;;;;;;x 
EVTDESC7711;[From.GetTitledFirstName] approves of my plan to ambush [From.PlotTarget.GetTitledFirstName] with archers from the rooftops of [From.PlotTarget.Location.GetName]. May [Root.Religion.GetRandomGodName] forgive me!;;;;;;;;;x 
EVTDESC7712;[From.GetTitledFirstName] has let me know that the plot to kill [From.PlotTarget.GetTitledFirstName] is proceeding well. [From.PlotTarget.GetSubjectPronounCap] will soon be skewered by arrows while touring [From.PlotTarget.Location.GetName].;;;;;;;;;x 
EVTDESC7713;Success! [From.GetTitledFirstName] was caught in a deadly arrow crossfire between the scroll depository and a grassy knoll. Unfortunately, the scapegoat we had arranged to take the blame spilled my name.;;;;;;;;;x 
EVTDESC7714;Success! [From.GetTitledFirstName] was caught in a deadly arrow crossfire between the scroll depository and a grassy knoll. The story we concocted about a "lone bowman" seems to be working perfectly.;;;;;;;;;x 
EVTOPTA7714;One less threat to the establishment.;;;;;;;;;x 
EVTDESC7715;Failure! [From.GetTitledFirstName] escaped the arrow barrage unharmed, and one of the captured bowmen revealed my name.;;;;;;;;;x 
EVTOPTA7715;Go to damage control!;;;;;;;;;x 
EVTDESC7716;Failure! [From.GetTitledFirstName] escaped the arrow barrage unharmed, but at least all of the hired bowmen made a quiet escape and the conspiracy remains uncovered.;;;;;;;;;x 
EVTDESC7720;Watching the animal pens outside [Root.Location.GetName] gave me an idea in how to deal with [Root.PlotTarget.GetTitledName]. Concentrated manure can be a very explosive substance, and if enough is gathered in a single place and ignited, the blast could prove lethal...;;;;;;;;;x 
EVTOPTA7720;My co-conspirators will procure the necessary manure...;;;;;;;;;x 
EVTOPTB7720;Buy vast amounts of manure;;;;;;;;;x 
EVTOPTC7720;I know a farmer who has what I need...;;;;;;;;;x 
EVTDESC7722;My co-conspirator, [From.GetTitledName], has asked for coin to buy copious amounts of explosive manure with which to blow [Root.PlotTarget.GetTitledName] sky high.;;;;;;;;;x 
EVTOPTA7722;It might just be crazy enough to work...;;;;;;;;;x 
EVTDESC7723;[From.GetTitledFirstName] has provided the money I need to procure enough manure to see to the end of [From.PlotTarget.GetTitledFirstName]...;;;;;;;;;x 
EVTDESC7724;[From.GetTitledFirstName] has refused to provide enough money to procure the manure needed for an explosion, calling it a "hare-brained scheme.";;;;;;;;;x 
EVTDESC7725;Riding through the countryside together with my escort, I come upon a lonely inn. It is empty aside from a nervous-looking innkeeper who nevertheless promises food and wine at a very reasonable price. My party and I sit down at a table.;;;;;;;;;x 
EVTOPTA7725;Innkeeper! Bring us the best you have to offer!;;;;;;;;;x 
EVTOPTB7725;By [Root.Religion.GetRandomGodName], what is that infernal smell?!;;;;;;;;;x 
EVTTOOLTIP7725;Prepare manure to blow [This.GetTitledFirstName] into the heavens next month.;;;;;;;;;x 
EVTDESC7726;Soon after the innkeeper disappears into the kitchen, we notice a foul odor emanating from somewhere below the floorboards. One of my escort pulls open a loose board to reveal... a massive manure pit. Before we can react further to this bizarre find, the floor explodes beneath my feet...;;;;;;;;;x 
EVTOPTA7726;Very clever, [FromFrom.GetTitledFirstName]...;;;;;;;;;x 
EVTOPTA7727;KABOOOOOOOM!!!;;;;;;;;;x 
EVTDESC7728;My guards detain the innkeeper and pull open the floorboards to reveal a massive pit of manure beneath the inn. The innkeeper confesses to having been paid to ignite the manure once we were seated, blowing everyone to kingdom come.;;;;;;;;;x 
EVTOPTA7728;So this was the work of [FromFrom.GetTitledFirstName]...;;;;;;;;;x 
EVTDESC7729;My guards detain the innkeeper and pull open the floorboards to reveal a massive pit of manure beneath the inn. The innkeeper confesses to having been paid to ignite the manure once we were seated, blowing everyone to kingdom come, but his employer concealed his or her identity.;;;;;;;;;x 
EVTOPTA7729;Perhaps this wretch was working alone. Off with his head!;;;;;;;;;x 
EVTDESC7730;[From.GetTitledFirstName], my co-conspirator, has sent word that a massive pit of manure has been prepared under the floorboards of an abandoned inn on a path [Root.PlotTarget.GetTitledFirstName] will travel with [Root.PlotTarget.GetHerHis] escort. Once they are seated at a table...;;;;;;;;;x 
EVTOPTA7730;...KABOOM!;;;;;;;;;x 
EVTDESC7731;[From.GetTitledFirstName] approves of my plan to blow [From.PlotTarget.GetTitledFirstName] sky high with copious amounts of manure. May [Root.Religion.GetRandomGodName] forgive me!;;;;;;;;;x 
EVTDESC7732;[From.GetTitledFirstName] informs me that [From.PlotTarget.GetTitledFirstName] will soon perish. A pit of manure has been prepared under the floorboards of an abandoned inn where [From.PlotTarget.GetSheHe] will soon be dining. A single spark will send our little problem kingdom come...;;;;;;;;;x 
EVTDESC7733;Success! [From.GetTitledFirstName] perished in the manure explosion! Unfortunately, the farmer who provided the manure revealed my name...;;;;;;;;;x 
EVTDESC7734;Success! [From.GetTitledFirstName] perished in the manure explosion! There is no trace of my complicity to be found amongst the rubble.;;;;;;;;;x 
EVTOPTA7734;[From.GetFirstName] went out with a bang.;;;;;;;;;x 
EVTDESC7735;Failure! [From.GetTitledFirstName] discovered the manure and avoided the explosion. My complicity was revealed.;;;;;;;;;x 
EVTOPTA7735;What was I thinking? Manure...;;;;;;;;;x 
EVTDESC7736;Failure! [From.GetTitledFirstName] discovered the manure and avoided the explosion. Thankfully, my role in this remains unknown...;;;;;;;;;x 
EVTDESC7740;If that whelp [Root.PlotTarget.GetTitledName] is to die, we will need to buy the loyalty of someone unscrupulous nearby, like a maid or a guard.;;;;;;;;;x 
EVTOPTA7740;My co-conspirators will procure the necessary funds...;;;;;;;;;x 
EVTOPTB7740;Bribe maid;;;;;;;;;x 
EVTOPTC7740;I know who we can approach...;;;;;;;;;x 
#EVTDESC7741;If that whelp [Root.PlotTarget.GetTitledName] is to die, we will need to buy the loyalty of someone unscrupulous nearby, like a maid or a guard.;;;;;;;;;x 
EVTDESC7742;My co-conspirator, [From.GetTitledName], has requested funds to buy the loyalty of a serving maid close to [Root.PlotTarget.GetTitledFirstName]. She will see to it that the child ceases to be a problem... ceases to be altogether, in fact.;;;;;;;;;x 
EVTOPTA7742;I cannot think of a more worthy cause. Send the money!;;;;;;;;;x 
EVTDESC7743;[From.GetTitledFirstName] has given me the coin I need to bribe one of the serving maids working near [Root.PlotTarget.GetTitledFirstName].;;;;;;;;;x 
EVTDESC7744;[From.GetTitledFirstName] will not give me the coin I need to bribe one of the serving maids working near [Root.PlotTarget.GetTitledFirstName].;;;;;;;;;x 
EVTDESC7745;As you lie in your crib, staring up at the ceiling and contemplating your future exploits, an adult enters the room. You recognize her as one of the maids, but this time there is something very cold and distant in her eyes. She approaches you with a pillow in her hands...;;;;;;;;;x 
EVTOPTA7745;Gaga...?;;;;;;;;;x 
EVTOPTB7745;*emit ear-shattering wail*;;;;;;;;;x 
EVTTOOLTIP7745;Arrange for [This.GetTitledFirstName] to be murdered next month.;;;;;;;;;x 
EVTDESC7746;The maid puts the pillow over your face and the world grows dark. With luck perhaps you will be reborn in a gentler era...;;;;;;;;;x 
EVTOPTA7746;[FromFrom.GetTitledFirstName] had my short life cut shorter!;;;;;;;;;x 
EVTOPTA7747;Who put her up to this?;;;;;;;;;x 
EVTDESC7748;As the maid draws near, you take a deep breath and produce a piercing wail that echoes through the nearby hallways. The startled maid drops the pillow and runs away before someone comes to investigate.;;;;;;;;;x 
EVTOPTA7748;[FromFrom.GetTitledFirstName] put her up to this!;;;;;;;;;x 
EVTOPTA7749;Why would she harm me?;;;;;;;;;x 
EVTDESC7750;My co-conspirator, [From.GetTitledFirstName], has managed to get to one of the maids near [Root.PlotTarget.GetTitledFirstName]. For a princely sum, she has agreed to solve our little problem for us.;;;;;;;;;x 
EVTOPTA7750;Fabulous!;;;;;;;;;x 
EVTDESC7751;[From.GetTitledFirstName] approves of my efforts to bribe a maid to end the life of young [From.PlotTarget.GetTitledFirstName].;;;;;;;;;x 
EVTDESC7752;[From.GetTitledFirstName] tells me that the short life of young [From.PlotTarget.GetTitledFirstName] will soon come to an end. A maid close to the child has been bought, and will be solving our mutual problem.;;;;;;;;;x 
EVTDESC7753;Success! [From.GetTitledFirstName] was smothered with a pillow by the maid we had bribed! Unfortunately, the maid was caught and revealed my complicity in this matter before she hanged.;;;;;;;;;x 
EVTDESC7754;Success! [From.GetTitledFirstName] was smothered with a pillow by the maid we had bribed! She wasn't caught, and no one has any reason place blame on me.;;;;;;;;;x 
EVTOPTA7754;This world is too cruel for children.;;;;;;;;;x 
EVTDESC7755;Failure! [From.GetTitledFirstName] frightened off the maid with [From.GetHerHis] wailing, but she was caught and exposed my involvement.;;;;;;;;;x 
EVTOPTA7755;Oh dear.;;;;;;;;;x 
EVTDESC7756;Failure! [From.GetTitledFirstName] frightened off the maid with [From.GetHerHis] wailing, but at least she made a clean escape and no one suspects my involvement.;;;;;;;;;x 
EVTDESC7760;The fact that [Root.PlotTarget.GetTitledName] is in prison can work to our advantage. If we can get someone on the inside to kill [Root.PlotTarget.GetHerHim] and make it look like a failed escape attempt...;;;;;;;;;x 
EVTOPTA7760;My co-conspirators will find the man needed...;;;;;;;;;x 
EVTOPTB7760;Hire professional killer;;;;;;;;;x 
EVTOPTC7760;I know just the man for this...;;;;;;;;;x 
EVTDESC7762;My co-conspirator, [From.GetTitledName], has requested funds to arrange for [Root.PlotTarget.GetTitledName] to die tragically in a botched escape attempt from the prison [Root.PlotTarget.GetSheHe] is in.;;;;;;;;;x 
EVTOPTA7762;Yes, prison can be very dangerous to your health.;;;;;;;;;x 
EVTDESC7763;[From.GetTitledFirstName] has given me the funds I sought to place a man on the inside of the prison where [Root.PlotTarget.GetTitledFirstName] is jailed.;;;;;;;;;x 
EVTDESC7764;[From.GetTitledFirstName] has refused me the money I needed to place a man on the inside of the prison where [Root.PlotTarget.GetTitledFirstName] is jailed.;;;;;;;;;x 
EVTDESC7765;While languishing in my prison cell, a new prisoner approached me with a plan to escape this forsaken hellhole. Concealed amongst the many tattoos on his back is a crude map of the entire dungeon!;;;;;;;;;x 
EVTOPTA7765;We can use this to escape!;;;;;;;;;x 
EVTOPTB7765;Wait a second... that's not a real tattoo!;;;;;;;;;x 
EVTTOOLTIP7765;Arrange for [This.GetTitledFirstName] to perish in a botched escape attempt next month.;;;;;;;;;x 
EVTDESC7766;Using the map, we enter a hidden passageway behind the cells. Working our way to the dungeon's outer walls, we climb carefully on the parapet to avoid sentries. Suddenly, the cold hand of treachery makes itself felt as my "friend" pulls hard on my ankle and I lose my grip...;;;;;;;;;x 
EVTOPTA7766;You... you're working for [FromFrom.GetTitledFirstName]!;;;;;;;;;x 
EVTOPTA7767;Who sent you to kill me?!;;;;;;;;;x 
EVTDESC7768;The map is not a tattoo - it been carefully painted onto the prisoner's back. When confronted, he grudgingly admits that he was paid to help me escape while making certain I suffer a fatal accident in the attempt...;;;;;;;;;x 
EVTOPTA7768;So [FromFrom.GetTitledFirstName] put you up to this.;;;;;;;;;x 
EVTDESC7769;The map is not a tattoo - it been carefully painted onto the prisoner's back. When confronted, he grudgingly admits that he was paid to help me escape while making certain I suffer a fatal accident in the attempt. He claims he never saw the face or learned the name of the person who hired him.;;;;;;;;;x 
EVTOPTA7769;You expect me to believe that?;;;;;;;;;x 
EVTDESC7770;[From.GetTitledFirstName], my co-conspirator, tells me that a man is now on the inside of the prison where [Root.PlotTarget.GetTitledFirstName] sits. He will arrange an escape attempt in which one of the prisoners will sadly suffer a tragic and very fatal accident...;;;;;;;;;x 
EVTOPTA7770;No one will expect foul play on our part.;;;;;;;;;x 
