#CODE;ENGLISH;;;;;;;;;x 
LEDGER_SORT_DELAYED;§GClick to sort using this column§W;;;;;;;;;x 
EVTOPTB64120;Disregard [Root.Spouse.GetHerHis] talks;;;;;;;;;x 
EVTDESC64125;My spouse [Root.Spouse.GetTitledFirstName] has humiliated me publicly! [Root.Spouse.GetSheHeCap] kissed [Root.Spouse.GetHerHis] lover in public and now everyone knows about their adulterous affair!;;;;;;;;;x 
EVTOPTA64125;Bear it stoically;;;;;;;;;x 
EVTOPTB64125;Arrest [Root.Spouse.GetHerHis] lover;;;;;;;;;x 
EVTOPTC64125;Arrest [Root.Spouse.GetHerHim];;;;;;;;;x 
EVTOPTD64125;Arrest both of them;;;;;;;;;x 
EVTDESC64126;I was arrested and imprisoned by [From.GetTitledFirstName] when [From.GetSheHe] saw me kiss [From.Spouse.GetTitledFirstName] in public, revealing to everyone our adulterous affair.;;;;;;;;;x 
EVTOPTA64126;That was a bit careless...;;;;;;;;;x 
EVTDESC64127;I hadn't exactly surmised that my spouse [From.GetTitledFirstName] would have me arrested and imprisoned for kissing my lover and making our affair public.;;;;;;;;;x 
EVTOPTA64127;I should've been more discreet with the affair;;;;;;;;;x 
EVTDESC64130;I am married to a [Root.Spouse.GetManWoman] I love and it is such a blissful state! I wish everyone could experience love such as ours!;;;;;;;;;x 
EVTOPTA64130;It's such a stress-relief;;;;;;;;;x 
EVTOPTB64130;It makes you feel so healthy;;;;;;;;;x 
EVTDESC64135;I want to give a special surprise to my loved one, what shall it be? A poem, telling of my deep love for [Root.GetHerHimOpp], finding the most beautiful flower in the forest to prove my love or maybe find a small trinket in the market for [Root.GetHerHimOpp] to treasure for ever?;;;;;;;;;x 
EVTOPTA64135;I shall craft a love poem;;;;;;;;;x 
EVTOPTB64135;I shall find the most beautiful flower in the forest;;;;;;;;;x 
EVTOPTC64135;I shall buy something nice in the market;;;;;;;;;x 
EVTDESC64140;This war is a necessary one, but the heart is aching worse than any wounds the war might inflict upon me, simply by being separated from my love. The camp has no lack in women willing to embrace those men who seek them out, and they might be able ease my pain, although for just a short while...;;;;;;;;;x 
EVTOPTA64140;This war will deepen my love;;;;;;;;;x 
EVTOPTB64140;I will resist Satan's temptations;;;;;;;;;x 
EVTOPTC64140;Visiting some camp-followers should ease my pain;;;;;;;;;x 
EVTTOOLTIP72052;You refusing more wine insults [This.GetTitledFirstName];;;;;;;;;x 
EVTDESC72052;Everyone drank and were happy, except [From.GetTitledFirstName] who refused more wine! This insulting gesture means that [From.GetSheHe] does not appreciate my hospitality!;;;;;;;;;x 
EVTOPTA72052;How dare [From.GetTitledFirstName] insult me!;;;;;;;;;x 
EVTDESC72036;The duel was over when I reached them, [From.GetTitledFirstName]'s opponent lay wounded at his feet.;;;;;;;;;x 
EVTOPTA72036;What on Earth have you done!;;;;;;;;;x 
EVTOPTB72036;Excellent work!;;;;;;;;;x 
EVTOPTC72036;Leave, now!;;;;;;;;;x 
EVTTOOLTIP72036;[This.GetTitledFirstName] is notified about wounded opponent;;;;;;;;;x 
EVTDESC72037;[From.GetTitledFirstName]'s maimed opponent tried to stand up when I reached them, but collapsed once again at [From.GetTitledFirstName]'s feet.;;;;;;;;;x 
EVTOPTA72037;Don't just stand there, help him!;;;;;;;;;x 
EVTOPTB72037;Your opponent surely deserved it;;;;;;;;;x 
EVTOPTC72037;Leave my feast, now!;;;;;;;;;x 
EVTTOOLTIP72037;[This.GetTitledFirstName] is notified about maimed opponent;;;;;;;;;x 
EVTOPTA24505;Someone suspects I did not die naturally!;;;;;;;;;x 
EVTTOOLTIP24506;reacts to the strange circumstances of [Root.GetTitledFirstName]'s death;;;;;;;;;x 
#tp_wall_q_1;Church Moat;;;;;;;;;x 
AT_WAR_WITH;At war with: ;;;;;;;;;x 
ISNT_PRIMARY_HOLDER_TITLE_TIER;Is not same tier as primary title.;;;;;;;;;x 
IS_PRIMARY_HOLDER_TITLE_TIER;Is same tier as primary title.;;;;;;;;;x 
INTERACTION_REQUIRES_TPC_IS_ADULT;[ThirdPartyCharacter.GetBestName] must be an adult;;;;;;;;;x 
EVTOPTA20370;Then use it as you see fit;;;;;;;;;x 
EVTOPTB20370;It is just a rumor, let it be;;;;;;;;;x 
EVTDESC70028;I was at the tournament and although I did not have an opportunity to distinguish myself in the melee, I was sitting around and listening to two knights plot together to advantage themselves in the next bought. I offered some advice, how was I supposed to know?;;;;;;;;;x 
EVTOPTA70028;Oops;;;;;;;;;x 
EVTDESC70001;It is time to let the tournament begin and for the next 2 months let all show their martial brilliance.;;;;;;;;;x 
EVTDESC76000;Being male, unmarried and almost handsome in a court filled with young women who all seek your attention is not half bad. A particularly young wench, almost irresistible, desires the pleasure of my company...;;;;;;;;;x 
EVTOPTA76000;Surely one night's passion won't tarnish my soul?;;;;;;;;;x 
EVTOPTB76000;I won't soil my soul with a night of passion!;;;;;;;;;x 
EVTDESC38287;My actions has killed a close relative of mine! I have gained the Kinslayer trait.;;;;;;;;;x 
EVTDESC76005;My unwed daughter has been... indiscreet. She has been hiding her pregnancy from me and now presents me with her child.;;;;;;;;;x 
EVTOPTA76005;Pay heavily to deal with it quietly;;;;;;;;;x 
EVTTOOLTIP76006;Spymaster [Root.job_spymaster.GetTitledFirstName] advises you on how to deal with your daughter's bastard child;;;;;;;;;x 
EVTOPTB76005;The child is of my blood and I will take care of both of them;;;;;;;;;x 
EVTOPTC76005;Punish her harshly and give away the child!;;;;;;;;;x 
EVTDESC76006;There are several ways to deal with this unfortunate situation,' Spymaster [Root.job_spymaster.GetTitledFirstName] told me when I asked [Root.job_spymaster.GetHerHim] for advice on how to deal with my daughter's bastard child...;;;;;;;;;x 
EVTOPTA76006;Keep her hidden, then dispose of the child';;;;;;;;;x 
EVTOPTB76006;Slay the father and take the child away';;;;;;;;;x 
EVTOPTC76006;I don't want to know, just deal with it...;;;;;;;;;x 
EVTTOOLTIP76007;Spymaster [This.GetTitledFirstName] takes care of the situation with your daughter's bastard child;;;;;;;;;x 
EVTDESC76007;My liege [From.GetTitledFirstName] came to me, dragging [From.GetHerHis] daughter with [From.GetHerHim] with a newborn child in her arms.\n'I trust you to deal with my daughter's bastard child discreetly', [From.GetTitledFirstName] told me coldly and left [From.GetHerHis] daughter and her bastard child with me.;;;;;;;;;x 
EVTOPTA76007;This is just part of my job;;;;;;;;;x 
EVTTOOLTIP76008;[Root.GetTitledFirstName] failed to cover up [This.GetTitledFirstName]'s daughter's unwanted pregnancy.;;;;;;;;;x 
EVTOPTB76007;What an interesting opportunity...;;;;;;;;;x 
opinion_saved_me_and_child;Saved me and my child;;;;;;;;;x 
EVTTOOLTIP76009;[Root.GetTitledFirstName] saved [This.GetTitledFirstName]'s daughter and her bastard child;;;;;;;;;x 
EVTDESC76008;I trusted Spymaster [From.GetTitledFirstName] to deal with my daughter and her bastard child in a discreet manner but [From.GetSheHe] failed miserably!;;;;;;;;;x 
EVTOPTA76008;Accuse Spymaster [From.GetTitledFirstName] of treason and imprison [From.GetHerHim];;;;;;;;;x 
EVTOPTB76008;I confess my part of this blunder;;;;;;;;;x 
EVTOPTC76008;I pardon everyone;;;;;;;;;x 
EVTDESC76009;Despite my clear instructions on how to deal with my daughter and her bastard child, Spymaster [From.GetTitledFirstName] let them live!;;;;;;;;;x 
EVTOPTA76009;As long as I don't get involved, again...;;;;;;;;;x 
EVTDESC76010;'A bastard can cause a lot of trouble', insisted [Root.GetSpymasterName] [Root.job_spymaster.GetTitledFirstName] and advised me of a possible opportunity to get rid of the bastard in the court.;;;;;;;;;x 
EVTOPTA76010;Go ahead, see if your plan works;;;;;;;;;x 
EVTOPTB76010;I doubt the bastard child will cause any trouble;;;;;;;;;x 
EVTDESC76015;A bastard son of mine petitioned me to recognize him as a legitimate heir.;;;;;;;;;x 
EVTOPTA76015;Not a chance;;;;;;;;;x 
EVTOPTB76015;I'm not sure you're worthy;;;;;;;;;x 
EVTOPTC76015;I welcome you with open arms!;;;;;;;;;x 
EVTDESC76020;Am I not all that any child could be? I should ask my father to be included in the succession!;;;;;;;;;x 
EVTOPTA76020;I'll ask him right now;;;;;;;;;x 
EVTTOOLTIP76021;[Root.GetTitledFirstName] asks [Root.GetHerHis] father [This.GetTitledFirstName] to legitimise [Root.GetHerHim];;;;;;;;;x 
EVTOPTB76020;Why bother?;;;;;;;;;x 
EVTDESC76021;My illegitimate [GetFromRelation] [From.GetTitledFirstName] asked me to acknowledge [From.GetHerHim] as my [GetFromRelation] and thus include [From.GetHerHim] in the succession.;;;;;;;;;x 
EVTOPTA76021;Unthinkable!;;;;;;;;;x 
EVTOPTB76021;I agree. You are a worthy heir;;;;;;;;;x 
EVTDESC76022;I waited silently and patiently for my father [From.GetTitledFirstName] to answer my request to acknowledge me and include me in the succession. Finally, [From.GetTitledFirstName] answered...;;;;;;;;;x 
EVTOPTA76022;...that it was unthinkable!;;;;;;;;;x 
EVTOPTB76022;...that [From.GetSheHe] agreed and would legitimise me as [From.GetHerHis] child;;;;;;;;;x 
opinion_crestfallen;Crestfallen;;;;;;;;;x 
#EVTDESC5042;We started early, the sun had barely risen above the horizon. There was plenty of prey, the dogs caught many rabbits and I slew one great boar before he killed my horse and myself.;;;;;;;;;x 
obj_become_exalted_desc;[This.GetTitledFirstName] wants [This.GetHerHis] name to live forever in the annals of history.;;;;;;;;;x 
EVTDESC76025;Raising a child on your own is hard, but raising a bastard child is even harder. We are an embarrassment to our family and very few of them are willing to help us.;;;;;;;;;x 
EVTOPTA76025;My father might be able to help us;;;;;;;;;x 
EVTTOOLTIP76026;[Root.GetTitledFirstName]'s asks her father [This.GetTitledFirstName] to help her;;;;;;;;;x 
EVTOPTB76025;I keep quiet and toil hard;;;;;;;;;x 
EVTDESC76026;The embarrassment and black stain on our dynasty that is my daughter [From.GetTitledFirstName] and her bastard child asked me today to help her. I refuse to do this, blaming  the embarrassment that has been brought upon the family on...;;;;;;;;;x 
EVTOPTA76026;...my daughter [From.GetTitledFirstName];;;;;;;;;x 
EVTOPTB76026;...my daughter's bastard child;;;;;;;;;x 
EVTOPTC76026;...the father of my daughter's bastard child;;;;;;;;;x 
EVTTOOLTIP76027;The father, [This.GetTitledFirstName], is blamed;;;;;;;;;x 
EVTTOOLTIP76028;The Grandfather, [This.GetTitledFirstName], is blamed for not raising his son properly;;;;;;;;;x 
EVTDESC76027;[From.GetTitledFirstName] blames me for the difficult situation [From.GetHerHis] daughter is in, what with me being the father of her bastard child...;;;;;;;;;x 
EVTOPTA76027;I am guilty;;;;;;;;;x 
EVTOPTB76027;That has nothing to do with me!;;;;;;;;;x 
EVTDESC76028;[From.GetTitledFirstName] blames me for the hopeless situation [From.GetHerHis] daughter is in, what with my son being the father of her bastard child...;;;;;;;;;x 
EVTOPTA76028;I will take care of it;;;;;;;;;x 
EVTOPTB76028;That has nothing to do with me, or my son!;;;;;;;;;x 
EVTDESC76030;A dream is born and a sword sharpened...;;;;;;;;;x 
EVTOPTA76030;The seed is planted;;;;;;;;;x 
EVTDESC76035;The other children at court tease me relentlessly because I don't have a real father. I'm a bastard and they know it!;;;;;;;;;x 
EVTOPTA76035;Fight them back!;;;;;;;;;x 
EVTOPTB76035;Hide from them;;;;;;;;;x 
EVTOPTC76035;Try to become friendly with them;;;;;;;;;x 
EVTOPTD76035;Try to do bad things to them when they can't notice it's you;;;;;;;;;x 
opinion_despised_fighting_bastard;Despised fighting bastard;;;;;;;;;x 
opinion_despised_hiding_bastard;Despised hiding bastard;;;;;;;;;x 
despised_bastard;Despised bastard;;;;;;;;;x 
EVTDESC76040;People keep telling me I am a bastard but no one explains what it is! Maybe [Root.Guardian.GetTitledFirstName] knows?;;;;;;;;;x 
EVTOPTA76040;What does 'bastard' means?;;;;;;;;;x 
EVTTOOLTIP76041;[Root.GetTitledFirstName] asks [Root.GetHerHis] guardian [This.GetTitledFirstName] what being a bastard means;;;;;;;;;x 
EVTDESC76041;[From.GetTitledFirstName] asked me while looking seriously at me with [From.GetHerHis] big, innocent eyes what being a 'bastard' actually means.;;;;;;;;;x 
EVTOPTA76041;You are an abomination in the eyes of God;;;;;;;;;x 
EVTOPTB76041;You will not inherit anything;;;;;;;;;x 
EVTOPTC76041;You will make your own way in the world!;;;;;;;;;x 
EVTDESC39000;The [Root.Religion.GetName] heresy has reared its ugly head in the province of [Root.GetName]!;;;;;;;;;x 
EVTDESC39400;The [From.Religion.GetName] heresy has appeared in the province of [From.GetName]!;;;;;;;;;x 
EVTOPTA39400;Horrible!;;;;;;;;;x 
EVTDESC39401;Disturbing news! Heresy apparently appeared in a catholic province over two years ago and the ruler has done nothing!;;;;;;;;;x 
EVTOPTA39401;Horrible! I will write to him.;;;;;;;;;x 
EVTDESC20001;My [Root.GetTitle], I am pleased to report that the majority of the population in [From.Location.GetName] has been converted to the [From.Religion.GetName] faith!\nYour humble vassal\n[From.GetTitledName];;;;;;;;;x 
EVTDESC39402;To find that you have a province in your demesne that has turned heretic is bad enough. But I am shocked to learn that you have let this situation be for over two years! This heresy must be rooted out.;;;;;;;;;x 
EVTOPTA39402;I shall redouble my efforts;;;;;;;;;x 
pope_disappointed_over_heretic_province;Allowing Heretic Province;;;;;;;;;x 
demand_liege_title;Demand Duchy from Liege;;;;;;;;;x 
demand_liege_title_desc;My liege holds a duchy that should rightfully be mine. I can present my demand, though it could be risky...;;;;;;;;;x 
AIREASON_GOT_NO_REASON_TO_MOVE;No reason to move;;;;;;;;;x 
NOT_PLAYER_HEIR_DESC;§Y$HEIR$§! is not §Y$RULER$'s§! Dynastic Heir. For players, this means Game Over.;;;;;;;;;x 
DYNASTIC_HEIR;§YDynastic Heir§!;;;;;;;;;x 
NOT_DYNASTIC_HEIR;§RNot Dynastic Heir!§!;;;;;;;;;x 
PLAYER_HEIR_DESC;The Dynastic Heir is the legal successor to a character. If a player has no Dynastic Heir, the game will end. On succession, the Prestige and [Player.Religion.GetPietyName] of a character is carried over to the Heir in the form of Score.;;;;;;;;;x 
BECOMES_EXCOMMUNICATED_EFFECT;Becomes Excommunicated\n;;;;;;;;;x 
EXCOMMUNICATION_LIFTED_EFFECT;Excommunication Lifted\n;;;;;;;;;x 
SUPPLY_TOTAL_MODIFIED;Final supply(rounded down): §Y$VALUE$§!;;;;;;;;;x 
GAIN_ALL_OCCUPIED_TITLES_EFFECT;Takes occupied titles from $HOLDER$;;;;;;;;;x 
TITLE_CREATION_KING_DESC;You need to control §Y$REQ_PERC$%§! of its de jure Counties to create this title. Currently, you control $PERC$ ($HELD$/§Y$ALL$§!). Creating this title would give you §G$PRESTIGE$§! Prestige and cost you §R$GOLD$§! Gold and §R$PIETY$§! $PIETYNAME$.;;;;;;;;;x 
TITLE_CREATION_KING_COST_DESC;Creating this title would give you §G$PRESTIGE$§! Prestige and cost you §R$GOLD$§! Gold and §R$PIETY$§! $PIETYNAME$.;;;;;;;;;x 
AMBITION_OPINION;Ambitious: $VALUE$;;;;;;;;;x 
EVTDESC39403;Heresy has appeared in a catholic province. I will encourage the local ruler to swiftly deal with it.;;;;;;;;;x 
EVTOPTA39403;I will write to him immediately.;;;;;;;;;x 
EVTDESC39404;Troubling news have reached me about a heretic province in your demesne. I urge you to swiftly deal with this problem as this heresy must be rooted out!;;;;;;;;;x 
EVTOPTA39404;I will strike at these heretics!;;;;;;;;;x 
EVTOPTB39404;Peaceful conversion is a better way;;;;;;;;;x 
#force_converting;Force Converting;;;;;;;;;x 
heretic_stronghold;Heretic Stronghold;;;;;;;;;x 
pope_heretic_removal_approve;Removed Heretic Advisor;;;;;;;;;x 
pope_heretic_removal_disapprove;Refused to Remove Heretic Advisor;;;;;;;;;x 
EVTDESC39410;There are rumors that one of the rulers of Christendom is employing a heretic in their court. This is not acceptable to the Church, and this earthly lord will surely be damned unless we intervene.;;;;;;;;;x 
EVTOPTA39410;Demand that this advisor be imprisoned!;;;;;;;;;x 
EVTDESC39441;I am most concerned that you allow heretics as your advisors. They should immediately be removed from position their position.;;;;;;;;;x 
EVTOPTA39441;Imprison the heretic;;;;;;;;;x 
EVTOPTB39441;I rule in my realm!;;;;;;;;;x 
opinion_liege_has_heretic_advisor;Liege has Heretic Advisor;;;;;;;;;x 
EVTDESC39445;My liege has a heretic as one of [Root.Liege.GetHerHis] advisors!;;;;;;;;;x 
EVTOPTA39445;Shocking! I must send a complaint!;;;;;;;;;x 
EVTOPTB39445;It is not of my concern;;;;;;;;;x 
EVTDESC39446;My liege, I am shocked to find that you have appointed a heretic as one of your advisors.\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA39446;That is too bad;;;;;;;;;x 
AIREASON_POSITIVE_OPINION;Positive Opinion of §Y[GetTitledFirstName]§!;;;;;;;;;x 
AIREASON_NEGATIVE_OPINION;Negative Opinion of §Y[GetTitledFirstName]§!;;;;;;;;;x 
AIREASON_FREE_VS_PAPAL_INVEST;Target has Papal Investiture and you do not;;;;;;;;;x 
INCLUDE_ALL_VASSALS;Include Lower Titles;;;;;;;;;x 
opinion_repented_sins;Repented Sins;;;;;;;;;x 
UNDER_CONSTRUCTION;Under Construction;;;;;;;;;x 
UPGRADING_TO;Upgrading To:;;;;;;;;;x 
CONSTRUCTION_STALLED;§RConstruction has stalled due to enemy occupation§!;;;;;;;;;x 
GRANT_LANDED_TITLE_INTERACTION_6;Grant the §Y[ThirdPartyTitle.GetFullName]§W and all titles under it to §Y[Recipient.GetTitledFirstName]§W, increasing [Recipient.GetPossPronoun] opinion of you by §G$OPINION$§W.;;;;;;;;;x 
desc_job_chancellor;The §Y$JOB$§! is your advisor on matters of diplomacy. The position is traditionally considered the highest on the council.;;;;;;;;;x 
desc_job_marshal;The §Y$JOB$§! is the councillor in charge of the military. When the ruler cannot or will not command armies, the §Y$JOB$§! will do it.;;;;;;;;;x 
desc_job_treasurer;The §Y$JOB$§! helps you collect taxes and administer your demesne.;;;;;;;;;x 
desc_job_spymaster;§Y$JOB$§! is an unofficial position on the council. The office holder is responsible for all matters of intrigue and skullduggery.;;;;;;;;;x 
desc_job_spiritual;The §Y$JOB$§! is your personal advisor on matters of the faith, but does not necessarily have to belong to the clergy.;;;;;;;;;x 
job_spiritual_pagan_group;Chief Diviner;;;;;;;;;x 
job_spiritual_christian;Court Chaplain;;;;;;;;;x 
job_chancellor_arabic;Grand Vizier;;;;;;;;;x 
EVTTOOLTIP63053;is set free;;;;;;;;;x 
religious_tension;Religious Tension;;;;;;;;;x 
PEACE_DEMAND;Enforce Demands;;;;;;;;;x 
PEACE_WHITEPEACE;Offer White Peace;;;;;;;;;x 
REL_HEAD_SUCCESSION_SETUP;A New Religious Head;;;;;;;;;x 
ANTI_POPE_CREATION_SETUP;An Anti-Pope;;;;;;;;;x 
ANTI_POPE_CESSATION_SETUP;Anti-Papacy Ends;;;;;;;;;x 
WE_JOIN_A_WAR_SETUP;We join a War;;;;;;;;;x 
CHAR_EDUCATED_LOG;§Y$NAME$§! is now of legal age. $PRONOUN$ became a §Y$TRAIT$§!.;;;;;;;;;x 
BASE_TROOP_VALUE;Base Levy size: $VALUE$;;;;;;;;;x 
MODIFIED_TROOP_VALUE;Final Levy size: §Y$VALUE$§!;;;;;;;;;x 
BASE_TROOP_VALUE_TYPE;Base $TYPE$: $VALUE$;;;;;;;;;x 
FINAL_TROOP_VALUE_TYPE;Final $TYPE$: §Y$VALUE$§!;;;;;;;;;x 
FINAL_TROOP_VALUE_TYPE_TOTAL;Final $TYPE$ based on Levy size($LEVY$): §Y$VALUE$§!;;;;;;;;;x 
EVTDESC70032;I was simply passing time at the tournament when I saw two knights argue over honor. I knew straight away that the argument was spurious and the result would be unnecessary bloodshed. I attempted to mediate the dispute and they told me that at least one of the knights should survive the resulting duel.;;;;;;;;;x 
stop_commerce;Stopped commerce in all Church Squares;;;;;;;;;x 
prima_noctae;Prima Noctae;;;;;;;;;x 
peasants_forbidden_sale;Peasants are forbidden to sell goods within City walls;;;;;;;;;x 
clergy_extra_tithe;The Church collect an extra tithe on free peasants;;;;;;;;;x 
LAW_CHANGE_NO_CIVIL_WAR;Not in a Civil War;;;;;;;;;x 
#EVTOPTA75031;Give a stern talking to [Root.GetChancellorName] [This.GetTitledFirstName];;;;;;;;;x 
c_carcassonne_adj;Carcassonian;;;;;;;;;x 
EVTDESC77000;Fish! Fresh fish straight from the river!' 'Fruits and vegetables, a day or two old!\n\nThe clergy in [Root.GetName] is not happy about the merchants setting up stalls in all the Church squares, and demands that it be forbidden.;;;;;;;;;x 
EVTOPTA77000;I agree;;;;;;;;;x 
EVTOPTB77000;They do no harm, let them stay;;;;;;;;;x 
EVTDESC77001;The burghers of [Root.GetName] demand that city law be set higher than canonical laws but the bishops protest, declaring that the law of the Church should supersede the law of the city.;;;;;;;;;x 
EVTOPTA77001;I agree with the burghers;;;;;;;;;x 
EVTOPTB77001;The laws should be equal;;;;;;;;;x 
EVTDESC77002;An old legal right, almost forgotten by all but the barons, called Prima Noctae or Droit du Seigneur, is the subject of a heated debate. The barons in [Root.GetName] claim that it is their right to take the virginity of their serfs' maiden daughters and the serfs are protesting against 'such a barbaric right!'.;;;;;;;;;x 
EVTOPTA77002;Let the barons have some fun;;;;;;;;;x 
EVTOPTB77002;That isn't and shouldn't be legal. I forbid it;;;;;;;;;x 
EVTDESC77003;They come from smaller farms, some with a goat or a pig to sell, some with only a bushel of vegetables or fruits, others with a whole wagon of produce. The peasants sell their produce inside the city walls but the burghers protest against it and want to forbid it.;;;;;;;;;x 
EVTOPTA77003;The peasants always cause trouble. Don't let them in!;;;;;;;;;x 
EVTOPTB77003;They should be able to sell their produce inside the city;;;;;;;;;x 
EVTDESC77004;The forest is not big enough for the barons. They demand hunting rights on the Church lands after chasing all the game to the Church's side of the forest and having to stop the hunt unless they'd risk the anger of the Church.;;;;;;;;;x 
EVTOPTA77004;It's not a big deal. Let them hunt on the Church land.;;;;;;;;;x 
EVTOPTB77004;Stay on your side of the forest!;;;;;;;;;x 
EVTDESC77005;The clergy is not satisfied with collecting a tithe from all free peasants, they demand the right to collect an extra tithe! A tithe is a tenth of the peasant's harvest or a tenth of the craftsmen's production, if the priests were allowed to collect another tithe it would double the taxes and thus make the peasants protest wildly.;;;;;;;;;x 
EVTOPTA77005;An extra tithe? Sure!;;;;;;;;;x 
EVTOPTB77005;The peasants would starve, I won't allow it;;;;;;;;;x 
EVTDESC77006;Rich merchants want to buy titles and the Barons protest, saying their titles are priceless. Mere merchant should not be allowed to gain the noble rights just because they can afford it!;;;;;;;;;x 
EVTOPTA77006;As long as I get paid, I couldn't care less;;;;;;;;;x 
EVTOPTB77006;Titles cannot be bought;;;;;;;;;x 
EVTDESC77007;The Burghers, the Clergy and the barons all claim the right to spoils from shipwrecks that capsize outside of [Root.GetName]. The rights to the spoils will be given to...;;;;;;;;;x 
EVTOPTA77007;...the Church;;;;;;;;;x 
EVTOPTB77007;...the Commoners;;;;;;;;;x 
EVTOPTC77007;...the Nobility;;;;;;;;;x 
EVTOPTD77007;...the Crown;;;;;;;;;x 
EVTDESC72120;The travelling dancers first danced for us and, while dancing to a fast and glad tune which made me want to dance, invited everyone to join them. I danced until I panted and my face was red, then I had to sit down and rest for a while, watching the dancers and the courtiers having more fun than in a long time...;;;;;;;;;x 
EVTOPTA72120;I'd like to hire you for my feast!;;;;;;;;;x 
EVTOPTB72120;Great fun, but my guests are too old for this;;;;;;;;;x 
e_timurids;Timurids;;;;;;;;;x 
e_timurids_adj;Timurid;;;;;;;;;x 
TITLE_CANNOT_GAIN_INDEPENDENCE;Cannot create or usurp a title of the same or higher rank as our liege's;;;;;;;;;x 
HAS_CROWN_LAW_TITLE;Affected by a Crown Law title;;;;;;;;;x 
HAS_NOT_CROWN_LAW_TITLE;NOT Affected by a Crown Law title;;;;;;;;;x 
EVTNAME60003;The Iron Khan;;;;;;;;;x 
EVTDESC60003;My liege, the great Khan Timur has gathered many of the horse clans of Central Asia under his banner, intent on creating an empire to rival that of the legendary Genghis Khan himself. His fearsome horde has been sighted in Khiva, poised to overrun the ancient realm of Persia.;;;;;;;;;x 
EVTOPTB60003;Is there no end to these steppe warriors?;;;;;;;;;x 
amphibious_landing;Amphibious landing;;;;;;;;;x 
ACHIEVEMENTS_ENABLED;Achievements enabled;;;;;;;;;x 
ACHIEVEMENTS_DISABLED;Achievements disabled;;;;;;;;;x 
MORALE_EFFECT;$SIDE$ troops gets $PERC$ morale.\n;;;;;;;;;x 
REINFORCE_EFFECT;$SIDE$ troops are reinforced by $PERC$.\n;;;;;;;;;x 
INVERTREINFORCE_EFFECT;$SIDE$ troops take $PERC$ losses.\n;;;;;;;;;x 
FLANK_SIDE_ATTACKER;Attacking;;;;;;;;;x 
FLANK_SIDE_DEFENDER;Defending;;;;;;;;;x 
CANNOT_ACTUALLY_CALL_DESC_3;$CHAR$ cannot join any of the current wars fought by $CALLER$;;;;;;;;;x 
ASK_FOR_INVASION_INTERACTION_DESC;Ask §Y[Recipient.RelHead.GetTitledFirstName]§W for permission to invade the realm of §Y[Recipient.GetTitledFirstName]§W. This will cost you §R[GetPietyCost]§W [Player.Religion.GetPietyName], but will allow you to start a war for control of the §Y[Recipient.PrimaryTitle.GetFullName]§W.;;;;;;;;;x 
ASK_FOR_INVASION_INTERACTION_0;Ask §Y[Recipient.GetTitledFirstName]§W for permission to invade the realm of §Y[ThirdPartyCharacter.GetTitledFirstName]§W. This will cost you §R[GetPietyCost]§W [Player.Religion.GetPietyName], but will allow you to start a war for control of the §Y[ThirdPartyCharacter.PrimaryTitle.GetFullName]§W.;;;;;;;;;x 
OTHER_WAR_ENDS_SETUP;A War you were NOT part of ends;;;;;;;;;x 
OTHER_WAR_ENDS_LOG;The §Y$WAR$§! has ended: $OUTCOME$;;;;;;;;;x 
CONFIRM_CANCEL_AMBITION_TITLE;Abandon Ambition;;;;;;;;;x 
CONFIRM_CANCEL_AMBITION_DESC;Abandon the ambition to $PLOT$?;;;;;;;;;x 
#CONFIRM_CANCEL_PLOT_TITLE;Cancel Plot;;;;;;;;;x 
#CONFIRM_CANCEL_PLOT_DESC;Cancel my plot to $PLOT$?;;;;;;;;;x 
CANNOT_CANCEL_ACTIVE_PLOT;§RCannot cancel a plot that has been set in motion!§!;;;;;;;;;x 
EVTDESC3085;We are taught that to uphold the virtue of charity, we have to ransom our prisoners, and to forgive offenses willingly. I have prisoners in my dungeons...;;;;;;;;;x 
EVTDESC69071;I gave a small shriek when [From.GetTitledFirstName] touched my arm, which didn't really help when I tried to defend myself from [From.GetHerHis] accusations about my cowardice...;;;;;;;;;x 
CANNOT_CHANGE_ANOTHER_LAW;$RULER$ cannot change another regular Law in $TITLE$ until $DATE$;;;;;;;;;x 
#EVTDESC20061;My liege, my mission to [FromFrom.Location.GetName] has so far been a success! During my visit to the court of [From.GetBestName], I seem to have managed to make [From.GetHerHim] understand what a benevolent and pious ruler you really are and [From.GetSheHe] sends [From.GetHerHis] regards.\n\nYour humble Lord Spiritual,\n[Root.job_spiritual.GetTitledName];;;;;;;;;x 
#LOADING_TIP_28;Sending gifts to Bishops will increase your Piety.;;;;;;;;;x 
LOADING_TIP_29;You gain more Prestige in battle as an ally than as a primary participant.;;;;;;;;;x 
LOADING_TIP_30;Hold down shift while giving orders to a unit to create a custom path.;;;;;;;;;x 
alert_allies_not_called_in_instant;§YWe can call in Allies§!;;;;;;;;;x 
alert_allies_not_called_in_delayed;We can ask the following allies to support us:\n$LIST$;;;;;;;;;x 
alert_vassal_levies_raised_long_instant;§YVassal Levies Raised too Long§!;;;;;;;;;x 
alert_vassal_levies_raised_long_delayed;The following Vassals are upset about their levies:\n$LIST$;;;;;;;;;x 
alert_owns_wrong_settlement_type_instant;§YWrong type of Holding in Demesne§!;;;;;;;;;x 
