#CODE;ENGLISH;;;;;;;;;x 
ADD_AMBITION_EFFECT;$CHAR$ gains the ambition §Y$OBJECTIVE$§!\n;;;;;;;;;x 
EVTDESC94136;You speak gently with the distressed man, as if addressing a child. While keeping a safe distance so as not to alarm him, you lecture him at length about the wonders of life. You follow this with several long-winded anecdotes from your own life, including important moral lessons at the end. The man jumps.;;;;;;;;;x 
EVTOPTA94136;Well, at least I have learned what works and what doesn't...;;;;;;;;;x 
EVTTOOLTIP94137;failing to prevent the suicide.;;;;;;;;;x 
EVTDESC94137;You speak gently with the man, addressing him as an equal and a friend. As you talk, you carefully guide the conversation and subtly make him realize the folly of ending his life. To the crowd's dismay, he agrees to come down with you.;;;;;;;;;x 
EVTOPTA94137;I too have learned from this.;;;;;;;;;x 
obj_improve_intrigue_title;Improve Intrigue;;;;;;;;;x 
obj_improve_intrigue_desc;[This.GetTitledFirstName] wants to improve [This.GetHerHis] Intrigue, since it is poor (lower than §Y8§!).;;;;;;;;;x 
improve_intrigue_quit;You look for some other way to improve your intrigue.;;;;;;;;;x 
EVTDESC94140;A local dignitary is visiting together with his pretty young wife. She wears a shining necklace, apparently some kind of priceless family heirloom. While he prattles on, your mind begins to wander. Suppose the bauble was to disappear? This could prove an excellent opportunity to better your skill at intrigue.;;;;;;;;;x 
EVTOPTA94140;Stage the theft of the necklace.;;;;;;;;;x 
EVTOPTB94140;No, it would be too cruel.;;;;;;;;;x 
EVTTOOLTIP94141;You wait for the sun to set.;;;;;;;;;x 
EVTDESC94141;As night falls, you sneak into the guest room and carefully remove the heirloom from the neck of the dignitary's sleeping wife. She stirs slightly in her sleep, but does not wake. Now that you have the necklace, a worthless gewgaw, you need to decide where to plant it. Who shall take the blame?;;;;;;;;;x 
EVTOPTA94141;Magda, the cook's overweight wife.;;;;;;;;;x 
EVTOPTB94141;Meldrick, local dung gatherer and dogsbody.;;;;;;;;;x 
EVTOPTC94141;Wafaa, the cook's overweight wife.;;;;;;;;;x 
EVTOPTD94141;Ba'ah al-Drik, local dung gatherer and dogsbody.;;;;;;;;;x 
EVTTOOLTIP94142;The cook's wife will take the fall.;;;;;;;;;x 
EVTDESC94142;You stealthfully place the necklace in the kitchen, where the cook's wife is sure to find it. Perhaps the poor woman will think it a gift from her husband... or a particularly generous pixie. With your work done, you retire for the night to see what will happen.;;;;;;;;;x 
EVTOPTA94142;This will be interesting.;;;;;;;;;x 
EVTTOOLTIP94143;Morning arrives...;;;;;;;;;x 
EVTDESC94143;The loud wailing coming from the guest room informs you that your little theft has been discovered. The dignitary and his wife are both unconsolable, and their grief over the missing necklace knows no bounds. Before they leave, you offer them a meal in the dining room.;;;;;;;;;x 
EVTOPTA94143;Magda, bring us some soup, please.;;;;;;;;;x 
EVTOPTB94143;Wafaa, bring us some soup, please.;;;;;;;;;x 
EVTTOOLTIP94144;Soup is served by the cook's wife.;;;;;;;;;x 
EVTDESC94144;The cook's wife serves the soup while the dignitary describes, in detail, how the necklace has passed from generation to generation in his family. Suddenly his wife emits a shrill cry and points at the massive wrist of the cook's wife. She is wearing the missing necklace as a bracelet!;;;;;;;;;x 
EVTOPTA94144;Guards, seize her!;;;;;;;;;x 
EVTTOOLTIP94145;Your scheme is complete.;;;;;;;;;x 
EVTDESC94145;After the necklace has been returned, the affronted dignitary and his wife soon depart. The cook's wife will have to endure a brief spell in the dungeons, but for a good cause - you have learned some valuable lessons in the art of manipulating events to your liking. Your skill at intrigue has increased.;;;;;;;;;x 
EVTOPTA94145;All's well that ends well.;;;;;;;;;x 
EVTDESC94146;You suddenly wake up in cold sweat. The cook's wife! You had her imprisoned for the supposed theft of a necklace all those years ago... but you forgot to let her out!;;;;;;;;;x 
EVTOPTA94146;M-Magda! Quick, to the dungeons!;;;;;;;;;x 
EVTOPTB94146;W-Wafaa! Quick, to the dungeons!;;;;;;;;;x 
EVTDESC94147;You are too late. The jailor explains that she passed away in a dark corner of her cell several years ago from the plague. Her remains were dumped together with the countless other thieves and cutthroats who perished in the same epidemic. This might explain why you caught your cook spitting in your stew the other day.;;;;;;;;;x 
EVTOPTA94147;Well, there's not much I can do about it now, is there?;;;;;;;;;x 
EVTDESC94148;The jailor leads you to an especially dark and damp corner of the dungeon. He unlocks a rusty door to reveal an extremely thin and famished old woman. She looks up at you with frightened eyes and only then do you recognize her as the cook's formerly overweight wife.;;;;;;;;;x 
EVTOPTA94148;Why, Magda! You've... lost weight.;;;;;;;;;x 
EVTTOOLTIP94149;The dung gatherer will take the fall.;;;;;;;;;x 
EVTDESC94149;Disguised by a simple cowl, you present the necklace to your dung gathering servant, claiming it is a gift from a secret admirer. He is delighted, saying it will go well with the dirty rags he wears as clothes. With your work done, you retire for the night to see what will happen.;;;;;;;;;x 
EVTOPTA94149;This will be interesting.;;;;;;;;;x 
EVTDESC94150;The loud wailing coming from the guest room informs you that your little theft has been discovered. The dignitary and his wife are both unconsolable, and their grief over the missing necklace knows no bounds. As they prepare to leave your household, you call on your servant to bring their luggage.;;;;;;;;;x 
EVTOPTA94150;Meldrick, bring down their belongings!;;;;;;;;;x 
EVTOPTB94150;Ba'ah al-Drik, bring down their belongings!;;;;;;;;;x 
EVTTOOLTIP94151;Your servant gathers up their luggage.;;;;;;;;;x 
EVTDESC94151;Your servant dumps the luggage in front of the dignitary's carriage, but as he turns to leave, the dignitary's wife emits a shrill cry. She points at the shining heirloom around the servant's filthy neck. He gives her a toothless smile. "D'you like it, m'lady? 'Tis from a secret admirer, it is.";;;;;;;;;x 
EVTOPTA94151;Guards, seize him!;;;;;;;;;x 
EVTDESC94152;After the necklace has been returned, the affronted dignitary and his wife soon depart. Your dung gathering servant will have to endure a brief spell in the dungeons, but for a good cause - you have learned some valuable lessons in the art of manipulating events to your liking. Your skill at intrigue has increased.;;;;;;;;;x 
EVTOPTA94152;All's well that ends well.;;;;;;;;;x 
EVTDESC94153;You suddenly wake up in cold sweat. The dung gatherer! You had him imprisoned for the supposed theft of a necklace all those years ago... but you forgot to let him out!;;;;;;;;;x 
EVTOPTA94153;M-Meldrick! Quick, to the dungeons!;;;;;;;;;x 
EVTOPTB94153;Ba'ah al-Drik! Quick, to the dungeons!;;;;;;;;;x 
EVTDESC94154;You are too late. The jailor explains that he passed away in a dark corner of his cell several years ago from the plague. His remains were dumped together with the countless other thieves and cutthroats who perished in the same epidemic. You had been wondering about all that ungathered dung laying about.;;;;;;;;;x 
EVTOPTA94154;Well, there's not much I can do about it now, is there?;;;;;;;;;x 
EVTDESC94155;The jailor leads you to an especially dark and damp corner of the dungeon. He unlocks a rusty door to reveal a disgusting ghoul. An unholy smell washes over you as you look at the tiny, clammy, hairy creature that lies before you. Your formerly dung gathering servant looks up at you with a toothless smile. "M'lord?";;;;;;;;;x 
EVTOPTA94155;Meldrick? On second thought, jailor, close that door...;;;;;;;;;x 
EVTOPTB94155;Ba'ah al-Drik? On second thought, jailor, close that door...;;;;;;;;;x 
hurry_dungeons;You hurry to the dungeons...;;;;;;;;;x 
EVTDESC94070;To improve your stewardship and better learn how to administrate a realm, it strikes you that it might be a good idea to conduct a survey of the land. Trustworthy men would have to be sent out to every corner of your domains and record their findings. This information will then be collected into a single, great tome.;;;;;;;;;x 
EVTOPTA94070;Let us write this tome of judgment!;;;;;;;;;x 
EVTOPTB94070;No, I fear it would be a waste of time.;;;;;;;;;x 
EVTTOOLTIP94071;The men are dispatched to survey the land.;;;;;;;;;x 
EVTDESC94071;The men you sent out to survey the land have returned. You now have a precise count of the households, down to how many cows they own. This was a wise initiative, and your stewardship ability has increased.;;;;;;;;;x 
EVTOPTA94071;The [Root.GetTitle] sees all!;;;;;;;;;x 
EVTDESC94160;It dawns on you one day that there is plenty of intrigue happening right under your nose. Your servants, from the kitchen maids to the stable boys, share juicy gossip with each other on a daily basis. If you want to improve at this twisted game of manipulation and deceit, then perhaps you ought to dive in and join the prattle!;;;;;;;;;x 
EVTOPTA94160;Said and done!;;;;;;;;;x 
EVTOPTB94160;Never!;;;;;;;;;x 
EVTTOOLTIP94161;You join the servants' gossip sessions.;;;;;;;;;x 
EVTDESC94161;Taking part in the gossip sessions of your servants has proved an enlightening experience. Not only have you learned of new ways to obtain sensitive information, but also that one of the milk maids is secretly carrying the blacksmith's unborn child!;;;;;;;;;x 
EVTOPTA94161;Oh, the scandal!;;;;;;;;;x 
EVTDESC94165;By chance, you have learned that an old tailor in [Root.Location.GetName] once worked as spymaster for a local nobleman many years ago. The stories of his deeds and exploits are the stuff of legends. If even half of it is true, then this man could surely teach you a thing or two about intrigue.;;;;;;;;;x 
EVTOPTA94165;I will seek him out!;;;;;;;;;x 
EVTOPTB94165;No, this man sounds dangerous.;;;;;;;;;x 
EVTTOOLTIP94166;You set time aside to pay this "tailor" a visit.;;;;;;;;;x 
EVTDESC94166;As you visit the tailor in his modest shop, the harmless-looking little man feigns ignorance and for a moment you wonder if you have the wrong person. He kindly turns to fetch you some tea, but then suddenly, before you can react, he is standing behind you with a knife at your throat. "Who sent you?" he hisses into your ear.;;;;;;;;;x 
EVTOPTA94166;N-no one! I only wish to learn from you!;;;;;;;;;x 
EVTTOOLTIP94167;The old man does not look convinced.;;;;;;;;;x 
EVTDESC94167;After questioning you, the old man is finally satisfied that you're not there to kill him. He grudgingly agrees to teach you some of his tricks, if you promise to keep the secret of his past to yourself.;;;;;;;;;x 
EVTOPTA94167;Agreed!;;;;;;;;;x 
EVTTOOLTIP94168;You begin your training.;;;;;;;;;x 
EVTDESC94168;You have studied long and hard under the old spymaster in your sparetime, and he has taught you much about the game of cloak and dagger. Your intrigue has improved!;;;;;;;;;x 
EVTOPTA94168;I do not fear the dark.;;;;;;;;;x 
obj_lower_decadence_title;Lower Decadence;;;;;;;;;x 
obj_lower_decadence_desc;[This.GetTitledFirstName] wants to lower the decadence of [This.GetHerHis] dynasty, as its value is above 60.;;;;;;;;;x 
lower_decadence_quit;You look for some other way to lower your dynasty's decadence.;;;;;;;;;x 
EVTDESC94170;Your dynasty has become renowned for its decadence and the common folk view you with disdain. As a gesture to show them that you remember your ancient roots, perhaps you should leave the luxuries of your palace behind for a few days and spend some time with the desert nomads?;;;;;;;;;x 
EVTOPTA94170;Yes... for a few days.;;;;;;;;;x 
EVTOPTB94170;No, I refuse to live in filth and squalor!;;;;;;;;;x 
EVTTOOLTIP94171;You spend some time with the Berbers.;;;;;;;;;x 
EVTDESC94171;You spend a few days in the deep desert with a Berber tribe. These are poor and simple folk, but their knowledge of the land and how to live off it impresses you. They treat you as one of their own, and when you finally return to your palace with your face and robe caked in dust, you have a newfound respect for these warriors.;;;;;;;;;x 
EVTOPTA94171;Time well spent.;;;;;;;;;x 
EVTDESC94175;A group of vicious highwaymen have been preying on travellers in [Root.Location.GetName]. Your scouts have discovered the location of their camp, but if you march an army towards them they will disperse long before it arrives. A small band of hand-picked warriors personally led by you might stand a better chance of capturing their leader.;;;;;;;;;x 
EVTOPTA94175;Yes, I will show them!;;;;;;;;;x 
EVTOPTB94175;I will not risk my neck to fight bandits!;;;;;;;;;x 
EVTOPTC94175;Alas, I am too old for such heroics...;;;;;;;;;x 
EVTTOOLTIP94176;You prepare to strike at the bandits.;;;;;;;;;x 
EVTDESC94176;You select twelve of the bravest and most capable men from your personal levies. Together you set off towards the bandit camp and approach it under the cover of darkness. Their leader, a big one-eyed brute of a man, sits at a campfire with his lieutenants and is dividing up the spoils of their latest raid.;;;;;;;;;x 
EVTOPTA94176;Charge!!!;;;;;;;;;x 
EVTOPTB94176;This was a bad idea. Let's go home.;;;;;;;;;x 
EVTTOOLTIP94177;The assault against the bandit's camp begins.;;;;;;;;;x 
EVTDESC94177;Your men storm the bandit camp and cut down the startled highwaymen in droves. Their leader proves to be a capable fighter, and two of your men have their skulls cleaved by his massive axe. As the wild melee continues on all sides, you and the leader are seperated from the others and face each other in single combat.;;;;;;;;;x 
EVTOPTA94177;L-Let's not be hasty! We can talk this over!;;;;;;;;;x 
EVTOPTB94177;My, I can't wait to see your head impaled on a spear.;;;;;;;;;x 
EVTOPTC94177;It is a good day to die.;;;;;;;;;x 
EVTTOOLTIP94178;You face off with the bandit leader.;;;;;;;;;x 
EVTDESC94178;The fight was hard and the bandit leader's axe came close to splitting your head more than once. In the end, you managed to dig your blade into his unprotected flank and the brute was felled. The rest of the bandits were killed or rounded up by your men, and they will plague travellers no longer.;;;;;;;;;x 
EVTOPTA94178;A job well done!;;;;;;;;;x 
EVTOPTB94178;Help me with this head...;;;;;;;;;x 
EVTDESC94180;There is a legend amongst the peasant folk of a two-headed albino dromedary stalking the desert sands after night has fallen. Their name for the beast is "Adh-Dhi'ban" - The Two Jackals. Organising a hunt for this unholy creature and mounting its two heads on your wall would make your dynasty seem less decadent.;;;;;;;;;x 
EVTOPTA94180;A worthy quest. Let us slay this affront to nature.;;;;;;;;;x 
EVTOPTB94180;I have not the stomach to face such a creature.;;;;;;;;;x 
EVTTOOLTIP94181;You organize a hunt.;;;;;;;;;x 
EVTDESC94181;You set out into the desert together with a local guide. He warns you that a mere gaze from the beast's four eyes has been enough to drive men mad in the past. You tell him not to worry, for you intend to pluck the creature's eyes from out of their sockets, and then boil and eat them. The guide looks queasy.;;;;;;;;;x 
EVTOPTA94181;Let us not dally. Forward!;;;;;;;;;x 
EVTTOOLTIP94182;You begin your search for this legendary creature.;;;;;;;;;x 
EVTDESC94182;The search proves fruitless. At one point you thought you had found an even more twisted creature. Although not albino, this dromedary possessed not only two heads, but two bodies as well! Your guide then pointed out that it was two dromedaries standing next to each other.;;;;;;;;;x 
EVTOPTA94182;We waste time! That beast must be here somewhere!;;;;;;;;;x 
EVTTOOLTIP94183;You continue the search.;;;;;;;;;x 
EVTDESC94183;The beast does not exist. Days of search has proven as much. You briefly contemplate taking the heads of two ordinary dromedaries and painting them white, but in the end decide it would be too much work. You and your guide head for home.;;;;;;;;;x 
EVTOPTA94183;This was an unproductive trip...;;;;;;;;;x 
EVTTOOLTIP94184;You return home in disgrace.;;;;;;;;;x 
EVTDESC94184;To your surprise, when you and your guide return you are both hailed as heroes by the populace. They claim your courageous hunt drove the evil Adh-Dhi'ban away from the mortal realm for good. Men and women may now tread safely in the desert at night.;;;;;;;;;x 
EVTOPTA94184;Well... of course!;;;;;;;;;x 
EVTDESC65170;You have mastered the art of desert warfare. This difficult terrain provides many obstacles for an army to overcome, but also great opportunities for those who know where to look for them. Your forces will always fight better in the desert.;;;;;;;;;x 
EVTOPTA65170;The sands will swallow my foes.;;;;;;;;;x 
EVTDESC65171;Forests and hills have become your preferred battleground. Using them to your benefit, you are better able to safely close the distance to your opponents or keep your forces away as the situation dictates. Your troops will gain an important edge in this terrain.;;;;;;;;;x 
EVTOPTA65171;The land shall be my greatest ally.;;;;;;;;;x 
EVTDESC65172;You no longer see fighting in difficult mountainous terrain as a disadvantage, but as an opportunity. The movement of your army is easier to obscure, and your opponents can be funneled towards battlegrounds of your chosing. If battle is joined in the mountains, your army gains an advantage.;;;;;;;;;x 
EVTOPTA65172;The very mountains shall be my shield.;;;;;;;;;x 
EVTDESC65173;Large, open battlefields are where you fight best. When fighting in plains or on farmland, you are better able to array your army for battle and maneuver it to gain an advantage. Forces under your command will perform better in this terrain.;;;;;;;;;x 
EVTOPTA65173;If caught in the open, my foes shall feel my wrath.;;;;;;;;;x 
EVTDESC96500;Your experience in matters of war has increased and there are many things you will do differently in future battles. What will you focus on?;;;;;;;;;x 
EVTOPTA96500;Master Rough Terrain.;;;;;;;;;x 
EVTOPTB96500;Master Flat Terrain.;;;;;;;;;x 
EVTOPTC96500;Master Mountain Terrain.;;;;;;;;;x 
EVTOPTD96500;Master Desert Terrain.;;;;;;;;;x 
EVTOPTE96500;Focus on Cavalry.;;;;;;;;;x 
EVTOPTF96500;Focus on Light Foot.;;;;;;;;;x 
EVTOPTG96500;Focus on Heavy Infantry.;;;;;;;;;x 
EVTOPTH96500;Focus on the Attack.;;;;;;;;;x 
EVTOPTI96500;Focus on the Defense.;;;;;;;;;x 
EVTOPTJ96500;Learn to Inspire.;;;;;;;;;x 
EVTOPTH96501;Focus on the Feint.;;;;;;;;;x 
EVTOPTI96501;Focus on the Flank.;;;;;;;;;x 
EVTOPTA96502;Study Organization.;;;;;;;;;x 
EVTOPTB96502;Experiment with tactics.;;;;;;;;;x 
EVTOPTC96502;Fight with Religious Fervour.;;;;;;;;;x 
EVTOPTD96502;Never Surrender.;;;;;;;;;x 
opinion_insane_law;Introduced Insane Law;;;;;;;;;x 
ignore_law;For the good of all, you and everyone else in the realm ignore the existence of this law.;;;;;;;;;x 
EVTDESC6300;You have decided to introduce a new law to the good people of the realm, as is your right as their ruler. Now you just have to decide on its contents...;;;;;;;;;x 
EVTOPTA6300;The Turnip Act.;;;;;;;;;x 
EVTOPTB6300;The Pants Act.;;;;;;;;;x 
EVTOPTC6300;The Hole in the Wall Act.;;;;;;;;;x 
EVTOPTD6300;The Cessation of Violence Act.;;;;;;;;;x 
EVTTOOLTIP6305;You give the order to implement the Turnip Act.;;;;;;;;;x 
EVTTOOLTIP6306;You give the order to implement the Pants Act.;;;;;;;;;x 
EVTTOOLTIP6307;You give the order to implement the Hole in the Wall Act.;;;;;;;;;x 
EVTTOOLTIP6308;You give the order to implement the Cessation of Violence Act.;;;;;;;;;x 
EVTNAME6301;The Turnip Act;;;;;;;;;x 
EVTDESC6301;Your slightly eccentric liege has proclaimed a new law that is to be upheld throughout the realm. It reads:\n\n"Whereas the turnip represents the very best qualities to be found in society, and: whereas it is of fine texture, particularly when boiled, and has been proven to remedy all ailments known to Man when consumed:\n\nTherefore I, [From.GetTitledName], decree that the turnip shall henceforth be used as currency throughout the realm, taking the place of gold, silver or any other precious metal. These shall instead be turned over to the Crown for immediate disposal.";;;;;;;;;x 
EVTOPTA6301;What the...;;;;;;;;;x 
EVTNAME6302;The Pants Act;;;;;;;;;x 
EVTDESC6302;Your slightly eccentric liege has proclaimed a new law that is to be upheld throughout the realm. It reads:\n\n"Whereas pants constrict not only the lower limbs and reproductive organs, but also the human soul, and: whereas pants are known to be an affront to all forms of life but Man:\n\nTherefore I, [From.GetTitledName], command that the use of pants be outlawed throughout the realm under penalty of death. All existing variants of this garment are to be immediately burned, and the ashes distributed evenly over the graves of our forefathers.";;;;;;;;;x 
EVTOPTA6302;They will have to pry them from my cold, dead legs...;;;;;;;;;x 
EVTNAME6303;The Hole in the Wall Act;;;;;;;;;x 
EVTDESC6303;Your slightly eccentric liege has proclaimed a new law that is to be upheld throughout the realm. It reads:\n\n"Whereas the positive effects of fresh air is known to all, and: whereas the movement of the wind must not be obstructed by man-made structures:\n\nTherefore I, [From.GetTitledName], decree that all homesteads throughout the realm are to have two holes, each no smaller than a grown peasant standing with arms outstretched, in opposite walls facing each other to allow free passage of the wind. These holes are not to be covered by planks, windows, doors or cattle. If any member of the household is known to exhibit severe flatulence, the holes shall number three and no less.";;;;;;;;;x 
EVTOPTA6303;What?;;;;;;;;;x 
EVTNAME6304;The Cessation of Violence Act;;;;;;;;;x 
EVTDESC6304;Your slightly eccentric liege has proclaimed a new law that is to be upheld throughout the realm. It reads:\n\n"Whereas the children of the realm have become desensitised to violence, and: whereas the general populace seems to have lost all regard for the sanctity of human life:\n\nTherefore I, [From.GetTitledName], decree that all forms of violence directed at other human beings be outlawed, including both capital and corporal punishment as well as the torture of criminals, heathens and foreigners. These vulnerable social groups are instead to be rehabilitated and eventually released back into society as productive citizens.";;;;;;;;;x 
EVTOPTA6304;Rehabi...? What insanity is this?;;;;;;;;;x 
EVTDESC6305;The new law has been written and couriers are even now distributing it to all of your vassals. You admire your handiwork:\n\n"Whereas the turnip represents the very best qualities to be found in society, and: whereas it is of fine texture, particularly when boiled, and has been proven to remedy all ailments known to Man when consumed:\n\nTherefore I, [Root.GetTitledName], decree that the turnip shall henceforth be used as currency throughout the realm, taking the place of gold, silver or any other precious metal. These shall instead be turned over to the Crown for immediate disposal.";;;;;;;;;x 
EVTOPTA6305;This law will bring salvation to the realm.;;;;;;;;;x 
EVTDESC6306;The new law has been written and couriers are even now distributing it to all of your vassals. You admire your handiwork:\n\n"Whereas pants constrict not only the lower limbs and reproductive organs, but also the human soul, and: whereas pants are known to be an affront to all forms of life but Man:\n\nTherefore I, [From.GetTitledName], command that the use of pants be outlawed throughout the realm under penalty of death. All existing variants of this garment are to be immediately burned, and the ashes distributed evenly over the graves of our forefathers.";;;;;;;;;x 
EVTDESC6307;The new law has been written and couriers are even now distributing it to all of your vassals. You admire your handiwork:\n\n"Whereas the positive effects of fresh air is known to all, and: whereas the movement of the wind must not be obstructed by man-made structures:\n\nTherefore I, [From.GetTitledName], decree that all homesteads throughout the realm are to have two holes, each no smaller than a grown peasant standing with arms outstretched, in opposite walls facing each other to allow free passage of the wind. These holes are not to be covered by planks, windows, doors or cattle. If any member of the household is known to exhibit severe flatulence, the holes shall number three and no less.";;;;;;;;;x 
EVTDESC6308;The new law has been written and couriers are even now distributing it to all of your vassals. You admire your handiwork:\n\n"Whereas the children of the realm have become desensitised to violence, and: whereas the general populace seems to have lost all regard for the sanctity of human life:\n\nTherefore I, [From.GetTitledName], decree that all forms of violence directed at other human beings be outlawed, including both capital and corporal punishment as well as the torture of criminals, heathens and foreigners. These vulnerable social groups are instead to be rehabilitated and eventually released back into society as productive citizens.";;;;;;;;;x 
EVTDESC6315;You are sitting on the floor of your bedchamber, wearing one of your shoes as a hat, when suddenly a man-sized gopher enters the room. It is dressed as a maid and when you shout in alarm, the rodent squeaks and skitters away in panic. You chase it down the hall but find only a terrified maid cowering on the floor.;;;;;;;;;x 
EVTOPTA6315;Where did the gopher go? Did you see?;;;;;;;;;x 
EVTDESC6316;You are hosting a dinner for some local dignitaries when the full moon comes into view in one of the windows. Trembling, you excuse yourself and hurry up the stairs to your bedchamber while stripping off your clothes. You are completely naked when the guards find you crouched on your balcony, howling at the moon.;;;;;;;;;x 
EVTOPTA6316;AAAAAAAAOOOOOOO!!!!!!;;;;;;;;;x 
EVTDESC6317;Your horse has always struck you as being of a dependable sort, a quality you feel is sorely lacking in your councillors. Time to shake things up a bit. You will appoint him as your new [Root.GetChancellorName].;;;;;;;;;x 
EVTOPTA6317;Glitterhoof, I appoint thee as the [Root.GetChancellorName] of the realm.;;;;;;;;;x 
EVTDESC6318;Your mad [Root.Liege.GetTitle] has decided, in [Root.Liege.GetHerHis] infinite wisdom, to relieve you of your post as [Root.Liege.GetChancellorName]. Glitterhoof, [Root.Liege.GetHerHis] beloved horse, will be taking your place.;;;;;;;;;x 
horse_chancellor;You are forced through the indignity of watching as Glitterhoof is led into the council chambers and appointed [Root.Liege.GetChancellorName].;;;;;;;;;x 
EVTOPTA6318;This time that maniac has gone too far...;;;;;;;;;x 
RAISE_PROVINCE_OWNLEVIES;Raise Own Local Holding Levies ( §Y$SIZE$§! Troops )\n;;;;;;;;;x 
RAISE_PROVINCE_OWNFLEET;Raise Own Local Holding Fleets ( §Y$SIZE$§! Ships )\n;;;;;;;;;x 
RAISE_PROVINCE_LIEGELEVIES;Raise Local Liege Levies;;;;;;;;;x 
RAISE_PROVINCE_LIEGEFLEET;Raise Local Liege Levy Fleets;;;;;;;;;x 
RAISE_LIEGELEVY;Raise the Liege Levy;;;;;;;;;x 
RAISE_LIEGEFLEET;Raise the Liege Levy Fleet;;;;;;;;;x 
RAISE_LIEGELEVY_LONG; of §Y$VASSAL$§! ( §Y$SIZE$§! $TYPE$ )\n;;;;;;;;;x 
DISMISS_LIEGELEVY;Dismiss the Liege Levy;;;;;;;;;x 
CANNOT_BUY_RET_ROOM;\nYou cannot create this retinue, your maximum retinue cap has been reached.;;;;;;;;;x 
CANNOT_BUY_RET_WEALTH;\nYou cannot create this retinue, you cannot afford it.;;;;;;;;;x 
COST_TO_CREATE;Cost to create: §Y$COST$§!\n;;;;;;;;;x 
RETINUE_CAP_USAGE;Current Retinue cap usage: §Y$SIZE$§!\n;;;;;;;;;x 
RETINUE_CAP;Retinue Cap: §Y$SIZE$§!\n;;;;;;;;;x 
RETINUE_CAP_USAGE_BUY;Retinue Cap Usage: §Y$SIZE$§!\n;;;;;;;;;x 
RETTYPE_CUL_ENG;Longbow;;;;;;;;;x 
RETTYPE_CUL_SCOT;Schiltron;;;;;;;;;x 
RETTYPE_CUL_BALT;Baltic Warrior;;;;;;;;;x 
RETTYPE_CUL_ALTAIC;Horse Archer;;;;;;;;;x 
RETTYPE_CUL_FRANK_NOR_GER;Knight;;;;;;;;;x 
RETTYPE_CUL_IBER;Caballero;;;;;;;;;x 
RETTYPE_CUL_ITA;Pike;;;;;;;;;x 
RETTYPE_CUL_RUS;Druzhina;;;;;;;;;x 
RETTYPE_CUL_NORTHGER;Housecarl;;;;;;;;;x 
RETTYPE_CUL_HUNG;Hussar;;;;;;;;;x 
RETTYPE_CUL_ARAB;Camel Warrior;;;;;;;;;x 
RETTYPE_CUL_BYZ;Cataphract;;;;;;;;;x 
RETTYPE_CUL_IRISH;Gallowglass;;;;;;;;;x 
RETTYPE_CUL_ETHIO;Ethiopian Skirmisher;;;;;;;;;x 
RETTYPE_CUL_W_AFR;Free Warrior;;;;;;;;;x 
RETTYPE_CUL_SOUTH_SLA;Gusar;;;;;;;;;x 
RETTYPE_CUL_DUTCH;Goedendag Militia;;;;;;;;;x 
MAKE_CAPITAL_EFFECT;Move capital to §Y$CAPITAL$§!\n;;;;;;;;;x 
MAKE_PROVINCE_CAPITAL_EFFECT;Make §Y$CAPITAL$§! the capital of §Y$PROVINCE$§!\n;;;;;;;;;x 
ARMY_LEVIES;Army Levies;;;;;;;;;x 
FLEET_LEVIES;Fleet Levies;;;;;;;;;x 
CREATE_RETINUE_EFFECT;$WHO$ gets a §Y$RETINUE$§! retinue;;;;;;;;;x 
CAN_BUY_RETINUE_TRIGGER_NOT;$WHO$ does not have at least §Y$NEED$§! retinue space;;;;;;;;;x 
CAN_BUY_RETINUE_TRIGGER;$WHO$ has at least §Y$NEED$§! retinue space;;;;;;;;;x 
TROOPTYPE_RETCOST_ENTRY;$TYPE$: §Y$COST$§! ( §Y$EACH$§! for each soldier )\n;;;;;;;;;x 
TECH_RECRUIT_DESC;§Y$BONUS$ Retinues;;;;;;;;;x 
TECH_RECRUIT_DESC2;§Y$BONUS$§! Levies;;;;;;;;;x 
TECH_CAPITAL;Technology in §Y$CAPITAL$§!: $BONUS$;;;;;;;;;x 
MODIFIER_GLOBAL_SUPPLY_LIMIT;Global Supply Limit;;;;;;;;;x 
REINF_UNIT_SOL;Reinforcing: §Y$AMOUNT$§! soldiers / month;;;;;;;;;x 
REINF_UNIT_SHP;Reinforcing: §Y$AMOUNT$§! ships / month;;;;;;;;;x 
GAME_USES;This game is running §Y$DLC$§! DLC;;;;;;;;;x 
RETINUE_EXPL;§YRetinues§!\nThese numbers are the current size of your Retinue and the maintenance you pay for it.;;;;;;;;;x 
#RETINUE_EXPL_DEL;Your Retinue is a standing army consisting of §Y500-man§! regiments. Unlike Army Levies, retinues are always on the map and reinforce slowly. Retinues only cost maintenance while reinforcing.\nThe maximum number of retinue regiments you can field depends on your §YMilitary Organization§! technology and the size of all the levies in your realm.;;;;;;;;;x 
ARMY_EXPL;§YArmy Levies§!\nThese numbers are the current size of all raised levies and the maintenance you pay for them.;;;;;;;;;x 
ARMY_EXPL_DEL;Your Army Levies can be raised from your Demesne holdings and your direct vassals.\nYou pay maintenance for levies from your own holdings, but your vassals will pay for the levies they provide you (which does not make them happy). Army levies do not reinforce while raised.;;;;;;;;;x 
NAVY_EXPL;§YFleet Levies§!\nThese numbers are the current number of raised ships and the maintenance you pay for them.;;;;;;;;;x 
NAVY_EXPL_DEL;Your Fleet Levies can be raised from your Demesne holdings and your direct vassals.\nYou pay maintenance for levies from your own holdings, but your vassals will pay for the levies they provide you (which does not make them happy).;;;;;;;;;x 
